gene,rho,p,n,med_log10tpm
CKMT2,-0.7790176061905145,3.548183740889691e-08,35,0.2684675122572856
ADAM32,-0.6825170456829391,6.291119381697385e-06,35,0.1631139459981069
REEP1,-0.6736805117992511,9.178337011694628e-06,35,0.3169858678759679
WNT11,-0.6676492267675278,1.1792505709579307e-05,35,0.38836766715730114
AAR2,-0.6540677202103674,2.7247352991452432e-05,34,1.436160871888816
ZNF252P-AS1,-0.6474602011860874,3.490377018261234e-05,34,0.0674230978391866
LINC00940,-0.6418292595515399,4.2907331313359805e-05,34,0.005031357720393405
LINC00552,-0.6316149875667402,6.175508814097888e-05,34,0.0030734487937010583
CACNA1C-AS1,-0.6282049582273181,6.953774774135642e-05,34,0.06003011568436027
COL9A1,-0.6262718062010528,5.7140481265382464e-05,35,0.11644667985660534
TECTB,-0.6261625811630294,5.7361840064797444e-05,35,0.0
ZNF423,-0.6236068197916865,6.27673536592425e-05,35,0.35405732006281776
ZSWIM3,-0.6229055075786957,6.432885204782426e-05,35,0.5197656660772032
ZNF663P,-0.6222637736811399,8.522929421230821e-05,34,0.016039296786713043
ZNF251,-0.6201002587267311,7.093118706521014e-05,35,0.9674800187914804
VIPR2,-0.6097635399976951,0.00010086166220006442,35,0.058993576999043
PTP4A3,-0.6093000506466683,0.00010243699181590944,35,1.5439471571686598
TMEM132C,-0.6052748274879352,0.00011707682911975472,35,0.013686430486778834
GRK1,-0.5980457519776394,0.00014815618871333116,35,0.004818592722535213
TMEM187,-0.5961153810424356,0.00015761954632050818,35,0.9657555789599992
GJC2,-0.5952738063868462,0.00016191222889565165,35,0.25127238315318334
DRD2,-0.5943335907453954,0.00016683175497438676,35,0.06434603165065483
HSPB7,-0.5920477702070871,0.00017935524339945464,35,0.32680759260318354
BTBD7P1,-0.5913931189079193,0.00023022764482842536,34,0.014350708636159485
HSPB6,-0.589382783797721,0.0001950144661077893,35,0.8418501836824552
PDE3A,-0.5884009466995334,0.00020108518560225415,35,0.40432936871231845
ARHGDIG,-0.5884009466995334,0.00020108518560225415,35,0.13002031998155275
SLC38A3,-0.5829307114382029,0.00023810993258686303,35,0.09302538580707266
SMIM17,-0.5829068662333385,0.0002973413755482258,34,0.03845982049514468
NPY,-0.5815563597636296,0.0002483210537090487,35,0.0
AMER3,-0.5813659539795943,0.0003112442135142906,34,0.0
SAYSD1,-0.5774307827008309,0.0002813649524406671,35,1.1251015230971444
SLC19A3,-0.577320213734274,0.0002823021521175538,35,0.24022290565072243
SLC35C2,-0.5761981141934882,0.0002919720842049422,35,1.6289840879669868
NFIX,-0.5753565395378989,0.0002994174020237015,35,1.4124788764543847
TMC2,-0.574876010253965,0.00030374415345038933,35,0.008643173302241331
F7,-0.573643431520721,0.00031509861105494903,35,0.039214575510865726
NDUFA4,-0.5717353773294179,0.00041202808942206464,34,2.0563760238289808
WFS1,-0.571679619797701,0.0003339725303401692,35,1.2860701936027155
NDUFC2,-0.5701668291617649,0.00034919221205413766,35,2.3732327600236904
NAALADL2,-0.56974604183397,0.00035353404215285127,35,0.47261385448938803
GRID1,-0.5659589558838182,0.0003948284564908376,35,0.15424559271140145
UBE2R2,-0.5658186934412199,0.00039643709452932477,35,1.4595494643734606
KRCC1,-0.562031607491068,0.0004421357951041918,35,1.3612341592384094
ATP9A,-0.560769245507684,0.00045837767060561964,35,1.163031753332726
CARTPT,-0.5605698269320678,0.0004609913881405103,35,0.0
LRRTM1,-0.5603787709298489,0.00046350791956747446,35,0.012078021914083248
LDLRAD4,-0.5597649653322574,0.0005770552940532138,34,0.7265720633476431
UBR5-DT,-0.5593044549108355,0.0007150159800675523,33,0.6815482112502296
THUMPD3-AS1,-0.5587274792906063,0.0005937960891452641,34,1.261646121521199
GYG2,-0.5581042590983178,0.0004944190743264051,35,0.6723621427211821
CPSF4L,-0.5570835468568205,0.0005088764278097544,35,0.021230061345229468
FAM3A,-0.5568418971149338,0.0005123536371990671,35,1.6199308257805354
NXPH3,-0.556280847344541,0.0005205083435822714,35,0.19899229886262684
MINDY4,-0.5561258996828439,0.0006376809012021298,34,0.7573858789929965
C1QTNF9,-0.55573522507019,0.0005285491584124854,35,0.022856680299148672
ATP5F1E,-0.554617078455432,0.0008097864636090073,33,2.0032623098630262
LRRC74A,-0.553789712298626,0.0006795097942531419,34,0.0
