category,n_samples,normalization,n_any_gt25,n_unknown_gt25,n_any_gt50,n_unknown_gt50,n_any_p90,n_unknown_p90,n_any_p95,n_unknown_p95,n_any_gt25_nomage,n_unknown_gt25_nomage,n_any_gt50_nomage,n_unknown_gt50_nomage,n_any_p90_nomage,n_unknown_p90_nomage,n_any_p95_nomage,n_unknown_p95_nomage,source_cancer_codes
adrenal,259,tpm_clean,52,207,41,218,49,210,34,225,49,210,38,221,46,213,32,227,ACC;PCPG
brain_cns,818,tpm_clean,112,706,76,742,80,738,47,771,108,710,72,746,77,741,46,772,ATRT;GBM;LGG;MBL;MBL_G3;MBL_G4;MBL_SHH;MBL_WNT
bladder,407,tpm_clean,280,127,222,185,250,157,158,249,211,196,148,259,171,236,123,284,BLCA
breast,1099,tpm_clean,477,622,320,779,356,743,205,894,446,653,297,802,332,767,187,912,BRCA;BRCA_Basal;BRCA_HER2;BRCA_LumA;BRCA_LumB;BRCA_Normal
cervix,306,tpm_clean,195,111,100,206,135,171,63,243,175,131,85,221,114,192,50,256,CESC
gallbladder_biliary,36,tpm_clean,11,25,6,30,7,29,3,33,11,25,6,30,7,29,3,33,CHOL
colorectal,383,tpm_clean,127,256,53,330,62,321,32,351,105,278,30,353,37,346,15,368,COAD;COAD_MSI;COAD_MSS;READ;READ_MSI;READ_MSS
non_hodgkin_lymphoma,47,tpm_clean,22,25,18,29,20,27,13,34,16,31,10,37,11,36,6,41,DLBC
esophagus,182,tpm_clean,127,55,82,100,95,87,54,128,109,73,62,120,70,112,37,145,ESCA
liver,388,tpm_clean,174,214,133,255,177,211,120,268,168,220,128,260,171,217,115,273,HEPB;LIHC
head_and_neck,646,tpm_clean,396,250,276,370,332,314,199,447,284,362,152,494,206,440,101,545,HNSC;HNSC_HPVneg;HNSC_HPVpos;NPC;NUTM;THYM
kidney,886,tpm_clean,172,714,58,828,87,799,31,855,171,715,58,828,86,800,31,855,KICH;KIRC;KIRP
leukemia_AML,173,tpm_clean,102,71,39,134,39,134,25,148,102,71,39,134,39,134,25,148,LAML
lung,1013,tpm_clean,879,134,742,271,806,207,647,366,825,188,642,371,719,294,542,471,LUAD;LUAD_EGFR;LUAD_KRAS;LUAD_STK11;LUSC
mesothelioma,87,tpm_clean,36,51,15,72,22,65,11,76,35,52,14,73,21,66,11,76,MESO
ovary,426,tpm_clean,383,43,318,108,346,80,225,201,380,46,314,112,343,83,218,208,OV
pancreas,179,tpm_clean,67,112,41,138,53,126,29,150,67,112,41,138,53,126,29,150,PAAD
prostate,496,tpm_clean,82,414,30,466,38,458,15,481,82,414,29,467,37,459,14,482,PRAD
eye_ocular,94,tpm_clean,54,40,43,51,47,47,35,59,54,40,43,51,47,47,35,59,RB;UVM
soft_tissue_sarcoma,704,tpm_clean,427,277,350,354,372,332,289,415,420,284,340,364,361,343,286,418,SARC_ANGIO;SARC_ASPS;SARC_DDLPS;SARC_DSRCT;SARC_EHE;SARC_EPITH;SARC_GIST;SARC_IFS;SARC_IMT;SARC_LGFMS;SARC_LMS;SARC_LPS_UNSPEC;SARC_MPNST;SARC_MYXFIB;SARC_RMS_ARMS;SARC_RMS_ERMS;SARC_RMS_PRMS;SARC_RMS_SSRMS;SARC_SYN;SARC_UPS;SARC_WDLPS
bone_and_joint,383,tpm_clean,271,98,225,139,250,124,197,170,267,102,220,144,246,128,196,171,SARC_CHOR;SARC_EWS;SARC_OS
melanoma,469,tpm_clean,456,13,443,26,447,22,429,40,455,14,438,31,444,25,425,44,SKCM
stomach,414,tpm_clean,262,152,172,242,207,207,116,298,233,181,142,272,172,242,89,325,STAD;STAD_CIN;STAD_EBV;STAD_GS;STAD_MSI
testicular_germ_cell,154,tpm_clean,148,6,135,19,140,14,126,28,147,7,133,21,139,15,126,28,TGCT
thyroid,512,tpm_clean,110,402,53,459,68,444,32,480,110,402,53,459,68,444,32,480,THCA
uterus_endometrium,238,tpm_clean,234,4,210,28,225,13,185,53,234,4,208,30,224,14,184,54,UCEC;UCEC_CNH;UCEC_CNL;UCEC_MSI;UCEC_POLE;UCS
