cancer_code,n_samples,normalization,n_any_gt25,n_unknown_gt25,n_any_gt50,n_unknown_gt50,n_any_p90,n_unknown_p90,n_any_p95,n_unknown_p95,n_any_gt25_nomage,n_unknown_gt25_nomage,n_any_gt50_nomage,n_unknown_gt50_nomage,n_any_p90_nomage,n_unknown_p90_nomage,n_any_p95_nomage,n_unknown_p95_nomage
ACC,77,tpm_clean,43,34,35,42,41,36,30,47,42,35,33,44,40,37,28,49
ATRT,4,tpm_clean,4,0,4,0,4,0,2,2,4,0,4,0,4,0,2,2
BLCA,407,tpm_clean,280,127,222,185,250,157,158,249,211,196,148,259,171,236,123,284
BRCA,1099,tpm_clean,477,622,320,779,356,743,205,894,446,653,297,802,332,767,187,912
BRCA_Basal,172,tpm_clean,156,16,115,57,132,40,77,95,152,20,111,61,128,44,68,104
BRCA_HER2,77,tpm_clean,35,42,27,50,29,48,21,56,31,46,23,54,25,52,17,60
BRCA_LumA,501,tpm_clean,124,377,70,431,76,425,41,460,110,391,64,437,69,432,39,462
BRCA_LumB,199,tpm_clean,104,95,72,127,79,120,47,152,100,99,66,133,73,126,44,155
BRCA_Normal,35,tpm_clean,9,26,3,32,3,32,1,34,7,28,3,32,3,32,1,34
CESC,306,tpm_clean,195,111,100,206,135,171,63,243,175,131,85,221,114,192,50,256
CHOL,36,tpm_clean,11,25,6,30,7,29,3,33,11,25,6,30,7,29,3,33
DLBC,47,tpm_clean,22,25,18,29,20,27,13,34,16,31,10,37,11,36,6,41
ESCA,182,tpm_clean,127,55,82,100,95,87,54,128,109,73,62,120,70,112,37,145
GBM,166,tpm_clean,15,151,9,157,13,153,5,161,15,151,9,157,13,153,5,161
HEPB,20,tpm_clean,5,15,2,18,4,16,1,19,5,15,2,18,4,16,1,19
HNSC,520,tpm_clean,335,185,245,275,294,226,181,339,223,297,121,399,168,352,83,437
HNSC_HPVneg,415,tpm_clean,284,131,213,202,254,161,160,255,180,235,98,317,136,279,69,346
HNSC_HPVpos,72,tpm_clean,30,42,16,56,22,50,11,61,27,45,14,58,20,52,8,64
KICH,66,tpm_clean,37,29,15,51,24,42,5,61,37,29,15,51,24,42,5,61
KIRC,531,tpm_clean,79,452,31,500,43,488,15,516,79,452,31,500,43,488,15,516
KIRP,289,tpm_clean,56,233,12,277,20,269,11,278,55,234,12,277,19,270,11,278
LAML,173,tpm_clean,102,71,39,134,39,134,25,148,102,71,39,134,39,134,25,148
LGG,523,tpm_clean,16,507,8,515,8,515,4,519,15,508,7,516,7,516,4,519
LIHC,368,tpm_clean,169,199,131,237,173,195,119,249,163,205,126,242,167,201,114,254
LUAD,515,tpm_clean,436,79,389,126,412,103,369,146,433,82,383,132,408,107,362,153
LUAD_EGFR,67,tpm_clean,56,11,48,19,50,17,45,22,56,11,48,19,50,17,45,22
LUAD_KRAS,153,tpm_clean,125,28,111,42,119,34,102,51,125,28,110,43,118,35,102,51
LUAD_STK11,142,tpm_clean,123,19,106,36,116,26,100,42,122,20,104,38,115,27,96,46
LUSC,498,tpm_clean,443,55,353,145,394,104,278,220,392,106,259,239,311,187,180,318
MBL,125,tpm_clean,77,48,55,70,55,70,36,89,74,51,52,73,53,72,35,90
MBL_G3,44,tpm_clean,34,10,31,13,31,13,23,21,33,11,29,15,30,14,22,22
MBL_G4,39,tpm_clean,18,21,11,28,10,29,5,34,18,21,11,28,10,29,5,34
MBL_SHH,25,tpm_clean,10,15,7,18,7,18,5,20,9,16,6,19,6,19,5,20
MBL_WNT,17,tpm_clean,15,2,6,11,7,10,3,14,14,3,6,11,7,10,3,14
MESO,87,tpm_clean,36,51,15,72,22,65,11,76,35,52,14,73,21,66,11,76
NPC,4,tpm_clean,1,3,1,3,1,3,1,3,1,3,1,3,1,3,1,3
NUTM,3,tpm_clean,3,0,3,0,2,1,1,2,3,0,3,0,2,1,1,2
OV,426,tpm_clean,383,43,318,108,346,80,225,201,380,46,314,112,343,83,218,208
PAAD,179,tpm_clean,67,112,41,138,53,126,29,150,67,112,41,138,53,126,29,150
PCPG,182,tpm_clean,9,173,6,176,8,174,4,178,7,175,5,177,6,176,4,178
PRAD,496,tpm_clean,82,414,30,466,38,458,15,481,82,414,29,467,37,459,14,482
RB,15,tpm_clean,12,3,8,7,7,8,6,9,12,3,8,7,7,8,6,9
SARC_ANGIO,20,tpm_clean,17,3,16,4,16,4,15,5,17,3,16,4,16,4,15,5
SARC_ASPS,3,tpm_clean,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3
