,ORR,TMB,logTMB,CTA,viral,indel,exclusion,antigen,pred,resid
BLCA,28.6,7.1,0.8512583487190752,0.0,0.0,0.0,-0.10988237272738736,-0.2802737701239861,24.654461688688,3.945538311312003
BRCA_Basal,5.0,1.8,0.25527250510330607,3.0,0.0,0.0,0.5093409989091545,-0.05163099901141932,2.827491765581428,2.172508234418572
CESC,15.0,5.0,0.6989700043360189,1.0,1.0,0.0,-0.00302180854274355,0.6029041875501204,26.574358639380126,-11.574358639380126
CHOL,6.0,2.0,0.3010299956639812,0.0,0.0,0.0,0.45561474005201646,-0.589892775859181,8.125125392342039,-2.1251253923420386
CRC_MSI,45.0,46.0,1.662757831681574,4.0,0.0,2.0,0.4602415937379863,1.6525852420288805,33.78594215432449,11.214057845675512
CRC_MSS,0.0,3.1,0.4913616938342727,1.0,0.0,0.0,0.09351050066182094,-0.29478789776193437,14.725753345903634,-14.725753345903634
ESCA,18.0,4.0,0.6020599913279624,0.0,0.0,0.0,0.6418796211515158,-0.4205001819725854,10.733216243578905,7.266783756421095
GBM,8.0,2.2,0.3424226808222063,0.0,0.0,0.0,0.31732559721853504,-0.5666006973026323,10.611712183839591,-2.6117121838395914
HL,71.0,2.0,0.3010299956639812,0.0,0.5,0.0,-1.576403388409295,-0.19945837113766585,38.07165433421459,32.92834566578541
HNSC_HPVneg,16.0,4.6,0.6627578316815741,0.0,0.0,0.0,0.4255281293629145,-0.38634489921368853,14.555648705835775,1.4443512941642247
HNSC_HPVpos,24.0,2.8,0.4471580313422192,1.0,1.0,0.0,-0.3537776698605389,0.46120706802209177,26.923701249922757,-2.9237012499227575
KICH,10.0,0.7,-0.1549019599857432,3.0,0.0,0.0,-0.20162461782733418,-0.2824402791106595,5.209279194340565,4.790720805659435
KIRC,25.0,1.9,0.2787536009528289,0.0,0.0,2.0,-0.5062983397512197,0.12177889807884279,28.340266177852453,-3.3402661778524525
KIRP,25.0,1.3,0.11394335230683679,1.0,0.0,2.0,-1.0721060186882465,0.2170418453530351,31.65568477810816,-6.65568477810816
LIHC,17.0,4.0,0.6020599913279624,0.0,0.5,0.0,-0.8871860356416971,-0.030065777251070278,34.14980410813128,-17.149804108131278
LUAD,19.0,8.1,0.9084850188786497,2.0,0.0,0.0,-0.12528291900462507,0.12793490048053358,23.25256878450447,-4.252568784504469
LUAD_STK11,10.0,8.1,0.9084850188786497,3.0,0.0,0.0,-0.33158535661620886,0.3159382255222687,24.652349981317617,-14.652349981317617
LUSC,20.0,9.9,0.9956351945975499,3.0,0.0,0.0,0.3135593670576681,0.36497850235626084,17.73147448202125,2.2685255179787482
MESO,10.0,1.8,0.25527250510330607,0.0,0.0,0.0,0.6183601283196162,-0.6156409741366246,5.248137103200406,4.751862896799594
NPC,25.0,0.95,-0.022276394711152253,0.0,1.0,0.0,0.390966974091258,0.009048289257376094,10.694889302916858,14.305110697083142
OV,8.0,1.7,0.2304489213782739,3.0,0.0,0.0,0.360290736013648,-0.06559947822382961,4.348155191859245,3.651844808140755
PAAD,1.0,2.1,0.3222192947339193,0.0,0.0,0.0,1.262673636902704,-0.577969345025723,-1.9992898960065375,2.9992898960065375
PRAD,4.0,0.7,-0.1549019599857432,1.0,0.0,0.0,0.5991514782188043,-0.6584469291941296,-2.629994390044388,6.629994390044388
SCLC,13.0,8.6,0.9344984512435677,2.4153005464480874,0.0,0.0,0.8186001373868087,0.22065080306485174,10.901246191625251,2.098753808374749
SKCM,42.0,12.9,1.110589710299249,4.0,0.0,0.0,-0.7804173057897487,0.6176678848479782,32.57556059567157,9.424439404328432
STAD,12.0,5.0,0.6989700043360189,1.0,0.5,1.0,-0.0287084578812573,0.5745731950175559,27.39264317321458,-15.39264317321458
UCEC_CNH,6.0,2.8,0.4471580313422192,3.0,0.0,0.0,-0.053634455513052716,0.056344908662531654,13.340707245856649,-7.340707245856649
UCEC_CNL,6.0,2.5,0.3979400086720376,1.0,0.0,0.0,0.06392642193156377,-0.3473572157795055,13.549953726102874,-7.549953726102874
UCEC_MSI,50.0,18.0,1.255272505103306,1.0,0.0,2.0,-0.5182301301987597,0.8592791919807391,43.521785303107606,6.478214696892394
UVM,4.0,0.34,-0.46852108295774486,1.0,0.0,0.0,-0.7828111845639052,-0.8349235511184313,10.07571324260846,-6.07571324260846
