Symbol,gyn_minus_skcm_log10
WFDC2,2.7705615197874147
SLPI,2.6782756800791927
KRT19,2.5973355078384803
EPCAM,2.492887842304075
CD24,2.4602526469552264
CLDN3,2.332597310838491
ELF3,2.312496282836712
KRT7,2.3051155925386912
CLDN4,2.2594482869349575
MMP7,2.1493459739374816
SMIM22,2.1407551710268016
PRSS8,2.123556293448141
RAB25,2.110897903224263
TACSTD2,2.035270604172514
LCN2,1.9624679145544233
MUC1,1.952861564464989
AP1M2,1.9385837407069182
MAL2,1.9056069647902103
SPINT2,1.8492759109224761
SCGB2A1,1.8245345833697102
KRT8,1.7836115698944153
SLC34A2,1.7546017792512925
XIST,1.7289510094892726
CP,1.7159235650310602
FOLR1,1.715912340808059
C19orf33,1.6804728237624775
VTCN1,1.679854122857146
CLDN7,1.6591736982282475
MSLN,1.6532928840128913
SFN,1.6124044912906246
S100A14,1.6007347310207491
RHEX,1.5611642228575766
PDZK1IP1,1.556587901478202
KRT18,1.555682130823635
SCNN1A,1.5542774991935902
KRT17,1.5482616496000303
ASS1,1.526968026709921
KRTCAP3,1.5144233720561202
LARGE2,1.49920793588647
DEFB1,1.4789272274987728
KRT23,1.4628009235045607
TMC4,1.4578878368264245
EYA2,1.4558189382174649
PPP1R1B,1.452655035618409
ST14,1.4418380310856151
PKP3,1.4417604589965098
DSP,1.4309945777196562
RBP1,1.4281983476299893
GRB7,1.4013572916833836
MUC16,1.4002072333265558
SOX17,1.3980002008798946
AQP5,1.3972849406275398
KLK10,1.3957126546711156
TJP3,1.388812226399179
TRIM29,1.3664181433281344
EHF,1.353737387258778
CRABP2,1.3470668467579772
TMEM125,1.3438524845661872
TMPRSS4,1.3230308703719997
MIR200CHG,1.3119827667118313
CRB3,1.3106156051327
LSR,1.3052166033319117
KLK8,1.3027259891097525
PAX8,1.3009919241521
EMX2,1.2989153142509318
TMEM139,1.291889137127293
LAMC2,1.283531962266758
CBLC,1.2817364284514114
CXCL17,1.2777110591676446
CFB,1.2754680030334504
SPINT1,1.2555499969133859
TMPRSS3,1.2530874296543102
SYNE4,1.251023554251593
CITED4,1.2505208536214485
PROM2,1.250228587437995
PRR15L,1.2501328673675414
SAA1,1.2499681010594428
IRF6,1.2457366448242706
CLU,1.245673601973223
FGFR2,1.2333755920505984
KDF1,1.230475088954208
IGSF9,1.2281045401333408
SMPDL3B,1.22793763625057
