cancer_code,cohort,n_samples,cta,q1,median,q3
BL,Burkitt Lymphoma [BL] (n=184),184,ADAM29,0.229049,0.798913,1.967079
BL,Burkitt Lymphoma [BL] (n=184),184,AKNAD1,0.015048,0.033154,0.077077
BL,Burkitt Lymphoma [BL] (n=184),184,ANKRD7,0.336107,0.905339,1.488898
BL,Burkitt Lymphoma [BL] (n=184),184,C12orf42,0.052491,0.160803,0.840051
BL,Burkitt Lymphoma [BL] (n=184),184,C1orf94,0.0,0.0,0.004182
BL,Burkitt Lymphoma [BL] (n=184),184,CAGE1,0.231619,0.365233,0.481751
BL,Burkitt Lymphoma [BL] (n=184),184,CGB8,0.0,0.0,0.0
BL,Burkitt Lymphoma [BL] (n=184),184,COX7B2,0.0,0.0,0.0
BL,Burkitt Lymphoma [BL] (n=184),184,CTCFL,0.019565,0.099895,1.473684
BL,Burkitt Lymphoma [BL] (n=184),184,DPEP3,0.045617,0.119008,0.271865
BL,Burkitt Lymphoma [BL] (n=184),184,EGFL6,0.357123,1.115325,3.201205
BL,Burkitt Lymphoma [BL] (n=184),184,FATE1,0.0,0.073893,0.238814
BL,Burkitt Lymphoma [BL] (n=184),184,H1-6,0.595516,1.639359,4.157207
BL,Burkitt Lymphoma [BL] (n=184),184,HORMAD1,0.746335,1.704437,4.122345
BL,Burkitt Lymphoma [BL] (n=184),184,LIN28B,0.006917,0.160862,10.145489
BL,Burkitt Lymphoma [BL] (n=184),184,LRRC36,0.051429,0.106299,0.277804
BL,Burkitt Lymphoma [BL] (n=184),184,MAGEA1,0.0,0.0,0.0
BL,Burkitt Lymphoma [BL] (n=184),184,MAGEA12,0.0,0.0,0.0
BL,Burkitt Lymphoma [BL] (n=184),184,MAGEA2,0.0,0.0,0.0
BL,Burkitt Lymphoma [BL] (n=184),184,MAGEA3,0.0,0.0,0.0
BL,Burkitt Lymphoma [BL] (n=184),184,MAGEA4,0.0,0.0,0.0
BL,Burkitt Lymphoma [BL] (n=184),184,MAGEA6,0.0,0.0,0.0
BL,Burkitt Lymphoma [BL] (n=184),184,MAGEA9B,0.0,0.0,0.0
BL,Burkitt Lymphoma [BL] (n=184),184,MAGEC1,0.0,0.0,0.0
BL,Burkitt Lymphoma [BL] (n=184),184,MAGEC2,0.0,0.0,0.0
BL,Burkitt Lymphoma [BL] (n=184),184,MEIOC,0.75847,1.623413,3.309086
BL,Burkitt Lymphoma [BL] (n=184),184,PAGE2,0.0,0.0,0.0
BL,Burkitt Lymphoma [BL] (n=184),184,PAGE2B,0.0,0.0,0.13616
BL,Burkitt Lymphoma [BL] (n=184),184,PAGE5,0.0,0.0,0.0
BL,Burkitt Lymphoma [BL] (n=184),184,PHF7,7.810846,10.044338,12.651213
BL,Burkitt Lymphoma [BL] (n=184),184,PIWIL1,0.0,0.017556,0.059746
BL,Burkitt Lymphoma [BL] (n=184),184,PRAME,0.115931,0.239154,0.722093
BL,Burkitt Lymphoma [BL] (n=184),184,RNF148,0.0,0.079397,0.215679
BL,Burkitt Lymphoma [BL] (n=184),184,SMC1B,0.826922,1.536641,2.942783
BL,Burkitt Lymphoma [BL] (n=184),184,SPATA32,0.875565,1.469603,2.66549
BL,Burkitt Lymphoma [BL] (n=184),184,SPATA4,0.0,0.094419,0.23112
BL,Burkitt Lymphoma [BL] (n=184),184,SSX1,0.0,0.0,0.0
BL,Burkitt Lymphoma [BL] (n=184),184,STKLD1,2.646266,3.644992,6.243777
BL,Burkitt Lymphoma [BL] (n=184),184,SYCE2,3.001202,4.427487,7.317029
BL,Burkitt Lymphoma [BL] (n=184),184,SYCP3,1.367762,2.822541,6.654708
BL,Burkitt Lymphoma [BL] (n=184),184,TEX14,0.265116,0.449892,0.839167
BL,Burkitt Lymphoma [BL] (n=184),184,TMEM210,0.0,0.0,0.114999
BL,Burkitt Lymphoma [BL] (n=184),184,TSPYL6,1.24083,2.266276,5.179365
BL,Burkitt Lymphoma [BL] (n=184),184,TULP2,0.141628,0.315839,0.891544
BL,Burkitt Lymphoma [BL] (n=184),184,WDR64,0.0,0.02152,0.086843
BL,Burkitt Lymphoma [BL] (n=184),184,XAGE1A,0.0,0.0,0.0
BL,Burkitt Lymphoma [BL] (n=184),184,XAGE1B,0.0,0.0,0.0
BL,Burkitt Lymphoma [BL] (n=184),184,YBX2,0.029251,0.071113,0.219287
BL,Burkitt Lymphoma [BL] (n=184),184,ZC3H11B,0.209897,0.373455,1.901555
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,ADAM29,0.0,0.0,0.01367
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,AKNAD1,0.013995,0.110273,0.298497
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,ANKRD7,0.0,0.10099,0.306507
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,C12orf42,0.034595,0.102736,0.242765
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,C1orf94,0.0,0.0,0.011189
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,CAGE1,0.0,0.028299,0.095599
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,CGB8,0.0,0.223298,0.971857
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,COX7B2,0.0,0.0,3.646976
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,CTCFL,0.0,0.0,0.013295
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,DPEP3,0.0,0.027334,0.085287
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,EGFL6,2.370625,4.233627,7.387386
BLCA,Bladder Urothelial Carcinoma [BLCA] (n=407),407,FATE1,0.061423,0.148491,0.282905
