cohort,PRAME,XAGE1A,XAGE1B,CTAG1A,RGPD4,TUBA3C,CTAG1B,DPPA5,MAGEA3,EGFL6,MAGEA6,TRIML2,UTF1,SSX1,CT47B1,SPATA4,SYCP3,GOLGA6L6,CTAGE9,ZPBP,CT47A11,LRRC36,PRM3,RIMBP3,DPEP3,SPACA3,CTAGE6,CTAGE1,PHF7,TEX14
Myxoid Liposarcoma [SARC_MYXLPS] (n=28),177.829429,7.588331,7.588331,413.072051,88.302907,32.702593,413.072051,,5.60728,81.753322,5.60728,,4.052778,9.463527,,,,,23.518625,6.783011,,30.753357,,,4.12686,,,3.683479,15.891992,5.670141
Testicular Germ Cell Tumors [TGCT] (n=154),26.671817,2.939072,2.657544,0.240278,0.011556,0.141304,0.313816,352.36317,0.156671,1.129157,0.098276,63.801575,53.366442,0.061948,0.0,0.11192,38.0535,0.011208,0.0,0.106438,0.0,0.969732,0.0,0.190521,3.652513,0.089683,0.0,0.0,8.634928,0.885225
Neuroblastoma MYCN-amplified [NBL_MYCNamp] (n=33),338.054231,0.0,0.0,0.0,0.644836,0.0,0.0,0.0,0.069867,1.338891,0.155586,0.0,0.0,0.0,0.0,0.297471,0.27631,0.0,0.0,0.0,0.0,1.255189,0.0,0.543749,0.213749,0.115293,0.0,0.033437,6.480319,2.660288
Skin Cutaneous Melanoma [SKCM] (n=469),316.359134,0.423893,0.352549,0.025773,0.0,0.0,0.029496,0.0,25.196118,0.573256,16.234008,0.057209,0.0,0.552028,0.0,0.038794,0.167693,0.0,0.0,0.0,0.0,0.479235,0.0,0.293954,0.059121,0.159117,0.0,0.0,5.496442,0.377735
Wilms Tumor / Nephroblastoma [WILMS] (n=125),247.247581,0.0,0.0,0.0,0.403991,0.0,0.0,0.090833,0.0,4.504954,0.0,0.015074,0.523668,0.0,0.0,0.479471,0.384524,0.0,0.181814,0.10779,0.0,0.799207,0.917925,0.234511,0.079526,0.316674,0.0,0.027604,2.850367,0.543599
Small Cell Lung Cancer — SCLC POU2F3-dominant [SCLC_POU2F3] (n=10),232.100835,,,0.0,0.105393,0.0,,0.025789,0.191114,12.994798,0.421374,0.0,0.013828,0.0,0.0,0.04991,1.678344,0.0,0.005679,0.0,0.0,0.888385,0.0,0.028455,0.070914,0.068023,,0.006679,4.390256,0.496206
Synovial Sarcoma [SARC_SYN] (n=50),230.434201,0.0,0.0,53.221265,0.0,0.0,14.733148,0.0,0.0,0.677899,0.0,0.0,1.021732,52.470842,0.0,0.106565,0.119807,0.0,0.0,0.0,0.0,0.845208,0.0,0.324119,0.033701,0.141388,0.0,0.0,6.038457,0.320979
Neuroblastoma [NBL] (n=155),230.064656,0.0,0.0,0.0,0.655682,0.04996,0.0,0.0,0.069867,1.466069,0.19689,0.0,0.085847,0.0,0.0,0.4556,0.412398,0.0,0.0,0.026444,0.0,2.88177,0.0,0.415548,0.393503,0.089007,0.009288,0.037835,7.278005,4.37142
Lung Adenocarcinoma — KRAS-mutant LUAD [LUAD_KRAS] (n=153),0.625429,201.44122,125.577074,0.0,0.0,0.0,0.0,0.0,0.0,6.996783,0.0,0.0,0.0,0.0,0.0,0.176079,0.134942,0.0,0.0,0.0,0.0,0.926454,0.0,0.270522,0.044588,0.126565,0.0,0.0,3.310391,0.328341
Angiosarcoma [SARC_ANGIO] (n=20),192.589052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.753654,3.745398,0.74265,0.0,0.0,0.0,0.0,0.0,0.361555,0.0,0.0,0.0,0.0,0.457799,0.0,0.046849,0.325959,0.0,0.017059,0.0,7.653411,0.279412
