cohort,PRAME,RGPD4,TUBA3C,CTAG1A,CTAG1B,DPPA5,SPATA4,CT47B1,ZPBP,GOLGA6L6,CTAGE9,RNF148,DPEP3,ODF4,CTAGE1,TEX35,SPACA3,DCAF4L2,C12orf42,DMRTB1,GOLGA6A,SPATA32,TEX38,EGFL6,SPACA1,CT47A11,CTAGE6,PSG5,PHF7,ZC3H11B
Myxoid Liposarcoma [SARC_MYXLPS] (n=28),144.454455,87.699863,34.795958,356.724735,356.724735,,,,7.312445,,22.713156,,4.453833,,3.924049,,,,,,5.194394,,,17.818479,3.538595,,,8.1634,17.016804,
Neuroblastoma MYCN-amplified [NBL_MYCNamp] (n=33),70.440862,0.357857,0.0,0.0,0.0,0.0,0.141978,0.0,0.0,0.0,0.0,0.0,0.077213,0.0,0.021819,0.0,0.051875,0.0,0.026848,0.0,0.0,0.259437,0.133191,0.783063,0.0,0.0,0.0,0.0,5.016232,0.505907
Skin Cutaneous Melanoma [SKCM] (n=469),176.147174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023939,0.012489,0.0,0.0,0.0,0.025035,0.0,0.022874,0.0,0.0,0.0,0.0,0.251308,0.0,0.0,0.0,0.0,3.872805,0.046023
Testicular Germ Cell Tumors [TGCT] (n=154),0.895949,0.0,0.021636,0.043128,0.062429,57.592363,0.044267,0.0,0.022909,0.0,0.0,0.0,1.332514,0.0,0.0,0.021485,0.0,0.134695,0.10964,0.191087,0.124797,0.034227,0.100251,0.515275,0.014047,0.0,0.0,0.0,5.590463,0.022623
Neuroblastoma [NBL] (n=155),44.018357,0.444889,0.0,0.0,0.0,0.0,0.299554,0.0,0.0,0.0,0.0,0.0,0.195021,0.0,0.016207,0.0,0.054699,0.022209,0.071226,0.0,0.007969,0.3389,0.285479,0.928234,0.0,0.0,0.0,0.0,5.399599,0.434162
Wilms Tumor / Nephroblastoma [WILMS] (n=125),36.565521,0.27537,0.0,0.0,0.0,0.0,0.283104,0.0,0.039269,0.0,0.091083,0.0,0.035648,0.0,0.01466,0.0,0.15111,0.0,0.045996,0.087507,0.0,0.131038,0.239972,2.18303,0.0,0.0,0.0,0.0,2.215006,0.640848
Neuroblastoma MYCN-non-amplified [NBL_MYCNnonamp] (n=122),42.395093,0.461612,0.0,0.0,0.0,0.0,0.380101,0.0,0.0,0.0,0.0,0.0,0.238138,0.0,0.015965,0.0,0.055201,0.023101,0.093425,0.0,0.019127,0.361712,0.353772,0.967903,0.0,0.0,0.0,0.0,6.178459,0.402347
Small Cell Lung Cancer — SCLC POU2F3-dominant [SCLC_POU2F3] (n=10),114.317014,0.07256,0.0,0.0,,0.0,0.02998,0.0,0.0,0.0,0.0,0.0,0.029136,0.0,0.0,,0.0,0.0,0.081214,0.0,0.0,,,6.446103,0.0,0.0,,0.0,3.895453,
Lung Adenocarcinoma — KRAS-mutant LUAD [LUAD_KRAS] (n=153),0.084312,0.0,0.0,0.0,0.0,0.0,0.046938,0.0,0.0,0.0,0.0,0.159751,0.021767,0.0,0.0,0.0,0.043748,0.0,0.084169,0.0,0.0,0.110637,0.022972,4.84699,0.0,0.0,0.0,0.0,2.709728,0.033411
Synovial Sarcoma [SARC_SYN] (n=50),128.599111,0.0,0.0,1.011067,1.547901,0.0,0.035049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01075,0.0,0.0,0.0,0.025909,0.022352,0.103244,0.170909,0.0,0.0,0.0,0.0,3.084796,0.086193
