cohort,PRAME,XAGE1A,XAGE1B,PHF7,EGFL6,MAGEA3,MAGEA6,CTAG1A,CTAG1B,PAGE5,TUBA3C,DPPA5,RGPD4,MAGEA4,UTF1,MAGEA12,MAGEA10,LRRC36,SYCP3,CT47B1,TRIML2,SPATA4,GOLGA6L6,MAGEA2,SSX1,CTAGE9,MAGEB2,RIMBP3,PRM3,ZPBP
Myxoid Liposarcoma [SARC_MYXLPS] (n=28),236.69713,36.770285,36.770285,19.426742,295.06919,6.99034,6.99034,551.809658,551.809658,,40.814983,,108.199964,3.199837,5.009255,4.532933,9.71464,47.611666,,,,,,3.165199,14.71433,29.290198,5.065968,,,8.404098
Neuroblastoma MYCN-amplified [NBL_MYCNamp] (n=33),605.421205,0.0,0.043159,9.743832,4.173855,1.484308,1.587812,0.0,0.0,98.418799,0.13227,0.0,0.870817,1.164799,0.152092,2.463367,1.430025,2.804276,0.604388,0.0,0.031,0.538451,0.0,0.077145,0.065257,0.0,0.144002,0.959589,0.0,0.026109
Skin Cutaneous Melanoma [SKCM] (n=469),498.480419,102.4223,46.316106,8.254976,1.234412,77.723324,67.461873,0.32978,0.32978,19.298569,0.051417,0.0,0.011378,0.785853,0.027244,43.394818,3.13665,0.995125,0.430216,0.0,0.203734,0.130079,0.0,28.190636,4.519956,0.0,0.269816,0.59615,0.0,0.0
Testicular Germ Cell Tumors [TGCT] (n=154),166.595789,36.391812,22.528174,13.121639,6.184383,0.905678,0.687202,0.746476,0.932564,4.177716,1.619601,824.715395,0.022443,6.621269,90.880602,0.281974,0.462219,1.590643,51.701545,0.044186,91.35091,0.260665,0.033274,0.539659,0.227221,0.0,58.307143,0.320258,0.0,0.243382
Neuroblastoma [NBL] (n=155),575.295125,0.125454,0.144449,12.2395,3.960926,1.523716,1.655933,0.105829,0.032267,240.770828,1.654616,0.114309,1.189227,2.462039,0.241836,1.664584,44.113803,5.943781,0.707853,0.0,0.04473,0.867995,0.004526,0.052718,0.148113,0.044875,0.236943,0.772719,0.0,0.095781
Wilms Tumor / Nephroblastoma [WILMS] (n=125),469.660297,0.0,0.0,4.260235,14.32118,0.0,0.0,0.0,0.0,0.093694,0.061758,0.244864,0.651969,0.0,2.059318,0.031369,0.022575,1.200706,0.631133,0.0,0.057725,0.837267,0.011864,0.0,0.087998,0.335143,0.032876,0.433263,1.632871,0.235033
Neuroblastoma MYCN-non-amplified [NBL_MYCNnonamp] (n=122),569.424137,0.162507,0.194503,12.958795,3.814952,1.500276,1.660214,0.171211,0.067737,306.929606,5.066983,0.122939,1.275377,5.053853,0.269877,1.51893,73.633882,6.414719,0.750178,0.0,0.054506,0.970555,0.017748,0.046989,0.205847,0.052509,0.412169,0.744936,0.0,0.116441
Small Cell Lung Cancer — SCLC POU2F3-dominant [SCLC_POU2F3] (n=10),712.097901,,,5.963833,27.000002,8.726367,3.860629,0.0,,0.086775,0.0,0.067906,0.154023,0.521959,0.043263,0.696715,0.067338,1.566989,2.765684,0.0,0.0,0.132394,0.007161,0.0,0.0,0.022621,0.02945,0.054672,0.0,0.040262
Lung Adenocarcinoma — KRAS-mutant LUAD [LUAD_KRAS] (n=153),11.731203,529.313406,425.938492,4.504481,11.590249,0.092218,0.053531,0.010811,0.011182,0.149263,0.0,0.0,0.01243,0.033196,0.043484,0.034219,0.011514,2.018362,0.337908,0.0,0.021468,0.46329,0.0,0.023914,0.0,0.091064,0.013713,0.472658,0.0,0.022282
Synovial Sarcoma [SARC_SYN] (n=50),308.907995,0.167553,0.280842,8.78512,1.992447,0.0,0.031369,235.20868,70.979965,0.0,0.0,0.126769,0.013278,37.905594,2.059727,0.0,0.273503,1.2869,0.4176,0.0,0.062705,0.180441,0.0,0.0,74.572304,0.008556,0.0,0.579474,0.0,0.029968
Angiosarcoma [SARC_ANGIO] (n=20),227.2683,0.0,0.0,9.962147,6.466281,52.150146,44.815326,0.05706,0.05706,0.024234,0.0,0.0,0.0,0.444286,0.0,28.313888,0.0,1.378406,1.028595,0.0,0.103464,0.0,0.0,29.304523,0.0,0.0,6.963467,0.152577,0.0,0.0
Lung Adenocarcinoma — EGFR-mutant LUAD [LUAD_EGFR] (n=67),16.455405,533.299815,309.063805,5.552403,10.594277,0.50565,0.344126,0.032876,0.055229,0.246663,0.0,0.0,0.032734,0.046413,0.043579,0.082743,0.086094,10.632842,0.408239,0.0,0.032706,0.598091,0.0,0.040054,0.021825,0.131689,0.033584,0.911687,0.0,0.053067
Lung Adenocarcinoma [LUAD] (n=515),16.372685,493.20347,376.141655,4.808514,11.950476,1.84965,1.048691,0.024205,0.033535,0.177487,0.0,0.0,0.013345,0.066449,0.042877,0.122521,0.055594,2.925491,0.374076,0.0,0.032369,0.499592,0.0,0.153336,0.016676,0.080592,0.045796,0.519992,0.0,0.023233
