cohort,CTAG1B,CTAG1A,PRAME,DPPA5,FKBP6,XAGE1A,XAGE1B,RGPD4,MAGEA3,EGFL6,MAGEA6,OOEP,CT47B1,SPATA4,TRIML2,UTF1,SSX1,GOLGA6L6,TUBA3C,CTAGE9,ZPBP,CT47A11,RIMBP3,SYCP3,DPEP3,SPACA3,CTAGE6,CTAGE1,RNF148,TEX35
Myxoid Liposarcoma [SARC_MYXLPS] (n=28),466.633993,466.633993,201.27189,,13.218594,8.625196,8.625196,99.931594,6.347025,91.997159,6.347025,,,,,4.637846,10.646923,,36.807297,26.821778,7.675919,,,,4.724252,,,4.213586,,
Neuroblastoma MYCN-amplified [NBL_MYCN_amp] (n=33),0.0,0.0,361.742381,0.0,0.054786,0.0,0.0,0.643824,0.076878,1.460463,0.185812,0.049344,0.0,0.295064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.573538,0.305275,0.235199,0.12161,0.0,0.035269,0.049053,0.026223
Skin Cutaneous Melanoma [SKCM] (n=469),0.033626,0.027457,350.070745,0.0,0.060083,0.473752,0.383514,0.0,28.080067,0.633664,18.449236,0.035574,0.0,0.043813,0.062326,0.0,0.595227,0.0,0.0,0.0,0.0,0.0,0.319754,0.182012,0.061895,0.174526,0.0,0.0,0.088186,0.0
Testicular Germ Cell Tumors [TGCT] (n=154),0.319356,0.247417,28.61495,341.082496,0.412617,3.013231,2.874618,0.011511,0.151408,1.122034,0.098179,24.322397,0.0,0.11379,60.283382,54.55753,0.064435,0.011413,0.134875,0.0,0.111587,0.0,0.185648,38.073877,3.535376,0.09091,0.0,0.0,0.045239,0.056259
Neuroblastoma [NBL] (n=155),0.0,0.0,283.561713,0.0,0.063853,0.0,0.0,0.743997,0.076878,1.743335,0.234097,0.131168,0.0,0.534966,0.0,0.104245,0.0,0.0,0.060538,0.0,0.033455,0.0,0.472081,0.501736,0.467483,0.108082,0.010907,0.046201,0.060965,0.027984
Wilms Tumor / Nephroblastoma [WILMS] (n=125),0.0,0.0,277.229191,0.099001,0.060501,0.0,0.0,0.453657,0.0,4.942993,0.0,0.031676,0.0,0.529716,0.016314,0.570907,0.0,0.0,0.0,0.199613,0.118176,0.0,0.260279,0.435879,0.091441,0.358651,0.0,0.030368,0.091553,0.009053
Pancreatic Neuroendocrine Tumor [PANNET] (n=113),0.0,,0.035602,0.0,229.39605,,,7.365673,0.071415,0.391753,0.07117,61.718056,0.0,0.910287,0.008831,0.0,0.066717,0.0,0.0,18.557659,0.007552,,3.767887,2.285482,0.06737,0.0,28.116549,10.572864,1.901413,0.775645
Midgut / Small Bowel Carcinoid [MID_NET] (n=81),0.165591,,0.053908,0.0,226.552882,,,10.860578,0.05775,0.132891,0.069013,46.113832,0.0,0.890383,0.013562,0.0,0.084934,0.01329,0.0,16.432902,0.007391,,7.306983,2.089862,0.124184,0.0,21.017232,13.811507,2.644448,0.978666
Neuroblastoma MYCN-non-amplified [NBL_MYCN_nonamp] (n=122),0.0,0.0,225.633519,0.0,0.064271,0.0,0.0,0.812032,0.080557,1.818388,0.306266,0.178381,0.0,0.608397,0.0,0.116582,0.0,0.0,0.093858,0.023072,0.047551,0.0,0.444222,0.533183,0.51463,0.104523,0.023126,0.050034,0.064509,0.028183
Small Cell Lung Cancer — SCLC POU2F3-dominant [SCLC_POU2F3] (n=10),,0.0,224.97648,0.021703,0.193781,,,0.108171,0.210009,13.466504,0.442357,0.157245,0.0,0.055465,0.0,0.010668,0.0,0.0,0.0,0.006678,0.0,0.0,0.033238,1.561558,0.079372,0.070332,,0.006401,0.0364,
Lung Adenocarcinoma — KRAS-mutant LUAD [LUAD_KRAS] (n=153),0.0,0.0,0.69014,0.0,0.069587,222.528521,143.396722,0.0,0.0,7.844992,0.0,0.10341,0.0,0.203755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.302059,0.141953,0.046225,0.145086,0.0,0.0,0.319166,0.011762
Synovial Sarcoma [SARC_SYN] (n=50),14.480503,54.422212,216.822927,0.0,0.067475,0.0,0.0,0.0,0.0,0.674861,0.0,0.078281,0.0,0.096519,0.0,0.963456,51.597497,0.0,0.0,0.0,0.0,0.0,0.285373,0.125357,0.027942,0.135431,0.0,0.0,0.0,0.0
