cancer_code,n_samples,Ensembl_Gene_ID,Symbol,n_gt25,pct_gt25,n_gt50,pct_gt50,n_gt100,pct_gt100,n_gt200,pct_gt200
ACC,77,FATE1,FATE1,21,27.27,19,24.68,15,19.48,11,14.29
ACC,77,PRAME,PRAME,11,14.29,7,9.09,4,5.19,1,1.3
ACC,77,MAGEB2,MAGEB2,4,5.19,2,2.6,1,1.3,0,0.0
ACC,77,MAGEC2,MAGEC2,4,5.19,2,2.6,0,0.0,0,0.0
ACC,77,PLAC1,PLAC1,4,5.19,3,3.9,2,2.6,0,0.0
ACC,77,XAGE1,XAGE1,4,5.19,4,5.19,2,2.6,2,2.6
ACC,77,COX7B2,COX7B2,2,2.6,1,1.3,0,0.0,0,0.0
ACC,77,MAGEA3,MAGEA3,2,2.6,2,2.6,0,0.0,0,0.0
ACC,77,PAGE2,PAGE2,2,2.6,1,1.3,1,1.3,0,0.0
ACC,77,CT83,CT83,1,1.3,1,1.3,0,0.0,0,0.0
ACC,77,MAGEA9,MAGEA9,1,1.3,0,0.0,0,0.0,0,0.0
ACC,77,PAGE5,PAGE5,1,1.3,1,1.3,0,0.0,0,0.0
ACC,77,SSX2,SSX2,1,1.3,1,1.3,0,0.0,0,0.0
ACC,77,STKLD1,STKLD1,1,1.3,0,0.0,0,0.0,0,0.0
ACC,77,VCY,VCY,1,1.3,1,1.3,0,0.0,0,0.0
ATRT,4,PRAME,PRAME,4,100.0,4,100.0,1,25.0,0,0.0
BLCA,407,MAGEA3,MAGEA3,154,37.84,127,31.2,67,16.46,15,3.69
BLCA,407,MAGEA9,MAGEA9,112,27.52,52,12.78,9,2.21,0,0.0
BLCA,407,MAGEA4,MAGEA4,63,15.48,40,9.83,28,6.88,10,2.46
BLCA,407,NY-ESO-1,NY-ESO-1,51,12.53,40,9.83,26,6.39,10,2.46
BLCA,407,GAGE1,GAGE1,41,10.07,28,6.88,22,5.41,18,4.42
BLCA,407,MAGEA12,MAGEA12,40,9.83,8,1.97,0,0.0,0,0.0
BLCA,407,XAGE1,XAGE1,39,9.58,35,8.6,28,6.88,22,5.41
BLCA,407,PRAME,PRAME,36,8.85,13,3.19,9,2.21,2,0.49
BLCA,407,COX7B2,COX7B2,33,8.11,12,2.95,0,0.0,0,0.0
BLCA,407,PAGE2,PAGE2,30,7.37,28,6.88,22,5.41,18,4.42
BLCA,407,CXorf49,CXorf49,28,6.88,18,4.42,9,2.21,6,1.47
BLCA,407,MAGEA2,MAGEA2,28,6.88,2,0.49,0,0.0,0,0.0
BLCA,407,MAGEA10,MAGEA10,25,6.14,7,1.72,0,0.0,0,0.0
BLCA,407,MAGEA1,MAGEA1,24,5.9,6,1.47,0,0.0,0,0.0
BLCA,407,MAGEC2,MAGEC2,17,4.18,6,1.47,1,0.25,0,0.0
BLCA,407,CT45A1,CT45A1,16,3.93,1,0.25,1,0.25,0,0.0
BLCA,407,VCX,VCX,16,3.93,10,2.46,6,1.47,4,0.98
BLCA,407,SSX2,SSX2,14,3.44,7,1.72,3,0.74,1,0.25
BLCA,407,XAGE2,XAGE2,12,2.95,7,1.72,5,1.23,1,0.25
BLCA,407,SPANXA1,SPANXA1,11,2.7,9,2.21,5,1.23,2,0.49
BLCA,407,VCX3B,VCX3B,11,2.7,7,1.72,0,0.0,0,0.0
BLCA,407,CGB8,CGB8,10,2.46,8,1.97,3,0.74,3,0.74
BLCA,407,MAGEB2,MAGEB2,10,2.46,7,1.72,1,0.25,0,0.0
BLCA,407,TUBA3C,TUBA3C,10,2.46,6,1.47,0,0.0,0,0.0
BLCA,407,SPANXB1,SPANXB1,9,2.21,4,0.98,3,0.74,2,0.49
BLCA,407,CT83,CT83,8,1.97,3,0.74,0,0.0,0,0.0
BLCA,407,MAGEA8,MAGEA8,8,1.97,3,0.74,0,0.0,0,0.0
BLCA,407,PSG5,PSG5,8,1.97,3,0.74,2,0.49,1,0.25
BLCA,407,EGFL6,EGFL6,7,1.72,0,0.0,0,0.0,0,0.0
BLCA,407,PAGE5,PAGE5,7,1.72,5,1.23,5,1.23,3,0.74
BLCA,407,TSPY1,TSPY1,7,1.72,6,1.47,5,1.23,2,0.49
BLCA,407,PLAC1,PLAC1,6,1.47,0,0.0,0,0.0,0,0.0
BLCA,407,SSX1,SSX1,6,1.47,4,0.98,0,0.0,0,0.0
BLCA,407,VCY,VCY,6,1.47,5,1.23,4,0.98,3,0.74
BLCA,407,FTHL17,FTHL17,4,0.98,2,0.49,0,0.0,0,0.0
BLCA,407,TEKT5,TEKT5,4,0.98,1,0.25,1,0.25,0,0.0
BLCA,407,YBX2,YBX2,4,0.98,1,0.25,0,0.0,0,0.0
BLCA,407,PAGE1,PAGE1,3,0.74,3,0.74,3,0.74,0,0.0
BLCA,407,PSG1,PSG1,3,0.74,2,0.49,0,0.0,0,0.0
BLCA,407,ACTL8,ACTL8,2,0.49,0,0.0,0,0.0,0,0.0
BLCA,407,ADAM2,ADAM2,2,0.49,1,0.25,0,0.0,0,0.0
BLCA,407,AKNAD1,AKNAD1,2,0.49,1,0.25,1,0.25,1,0.25
