cohort,PRAME,PHF7,EGFL6,YBX2,SYCE2,H1-6,SYCP3,TULP2,XAGE1B,STKLD1,C1orf94,C12orf42,RNF148,ZC3H11B,XAGE1A,LRRC36,SMC1B,TEX14,DPEP3,FATE1,WDR64,TSPYL6,SSX1,TMEM210,ANKRD7,SPATA4,SPATA32,MEIOC,AKNAD1,CAGE1
Skin Cutaneous Melanoma [SKCM] (n=469),183.493777,4.030624,0.261646,0.208114,0.648157,,0.071206,0.0,0.047856,1.494626,0.0,0.023746,0.024902,0.047857,0.026128,0.266114,0.041117,0.187237,0.013012,0.12857,0.012073,0.0,0.027457,0.0,0.421952,0.0,0.0,,0.097852,0.0
Uterine Corpus Endometrial Carcinoma [UCEC] (n=181),69.656876,2.129974,1.485611,1.146053,1.088183,,0.144012,0.0,0.0,1.015305,0.0,0.0,0.022432,0.011375,0.0,0.398647,0.033505,0.117064,0.0,0.034843,0.0,0.0,0.0,0.0,0.0,0.025473,0.036049,,0.0,0.011241
Ovarian Serous Cystadenocarcinoma [OV] (n=426),26.225106,1.890786,5.913529,3.751389,2.146548,,0.156434,0.015351,0.0,1.07678,0.0,0.0,0.0,0.03,0.0,0.391777,0.199143,0.131162,0.035799,0.048396,0.0,0.012036,0.0,0.0,0.389833,0.049373,0.069894,,0.0,0.019314
T-cell Acute Lymphoblastic Leukemia [T_ALL] (n=264),0.05687,11.441666,0.0,0.080928,4.205761,4.064271,1.127539,3.420604,0.0,1.140993,0.0,0.434289,0.0,0.86584,0.0,0.274075,0.390843,1.660816,0.190006,0.0,0.036646,0.22003,0.0,0.0,0.167462,0.0,1.056551,1.055554,0.1243,1.001335
Acute Myeloid Leukemia — AML ELN2017 Favorable [LAML_ELN_Fav] (n=238),0.225477,19.887838,0.0,0.020516,4.549682,0.0,0.672046,0.464004,0.0,0.897481,0.0,0.082486,0.0,1.915125,0.0,0.242628,0.440722,0.301462,1.12583,0.0,0.025861,0.038977,0.0,0.0,0.0,0.0,0.671317,0.294763,0.048903,0.179043
Lung Squamous Cell Carcinoma [LUSC] (n=498),11.984722,2.718377,9.066266,0.657283,0.4425,,0.051297,0.022607,0.122059,0.399859,0.0,0.071002,0.033415,0.035045,0.03311,0.285051,0.045474,0.160586,0.022284,0.146349,0.01117,0.0,0.0,0.0,0.151609,0.021927,0.059027,,0.025817,0.046232
Acute Myeloid Leukemia — AML ELN2017 Adverse [LAML_ELN_Adv] (n=189),0.096393,13.757995,0.0,0.046981,3.738054,0.096948,0.60979,0.529429,0.0,0.807012,0.0,0.082087,0.0,1.883844,0.0,0.189689,0.454422,0.290653,0.839593,0.0,0.021767,0.0,0.0,0.0,0.0,0.0,0.49515,0.294728,0.04595,0.132781
Chronic Lymphocytic Leukemia [CLL] (n=708),0.0,11.122889,0.0,0.0,2.249005,0.0,3.632941,0.085049,0.0,0.37265,0.0,1.950355,0.0,0.198906,0.0,0.0,0.033396,0.289052,1.534577,0.0,0.027274,0.012704,0.0,0.0,0.053359,0.0,0.358123,0.634238,0.056964,0.052681
Burkitt Lymphoma [BL] (n=184),0.115931,7.810846,0.357123,0.029251,3.001202,0.595516,1.367762,0.141628,0.0,2.646266,0.0,0.052491,0.0,0.209897,0.0,0.051429,0.826922,0.265116,0.045617,0.0,0.0,1.24083,0.0,0.0,0.336107,0.0,0.875565,0.75847,0.015048,0.231619
Lower Grade Glioma [LGG] (n=523),0.0,4.876455,0.039789,0.328469,2.587328,,0.126618,0.038189,0.0,2.711914,2.32772,0.074553,0.0,0.089155,0.0,0.371726,0.013606,0.289777,0.085381,0.0,0.0,0.013881,0.0,0.0,0.480582,0.524017,0.014144,,1.055311,0.0
Lung Adenocarcinoma [LUAD] (n=515),0.11388,2.74581,4.453767,0.388749,0.460781,,0.067893,0.033754,2.873025,0.692129,0.0,0.080521,0.158402,0.033597,1.771195,0.639716,0.033507,0.24772,0.022716,0.170607,0.033916,0.0,0.0,0.0,0.109918,0.065967,0.123311,,0.065019,0.0
Breast Invasive Carcinoma — Luminal B [BRCA_LumB] (n=199),0.066622,4.287625,0.788419,4.997161,1.376343,,0.086134,0.0,0.0,1.224882,0.0,0.0,0.070592,0.069759,0.0,0.274021,0.064058,0.425439,0.011615,0.071938,0.011694,0.0,0.0,0.237977,0.037081,0.122766,0.068129,,0.147075,0.0
Colon Adenocarcinoma [COAD] (n=290),0.080074,2.908037,0.879647,7.703353,0.427669,,0.057527,0.0,0.0,0.270427,0.0,0.011934,0.037285,0.024015,0.0,0.84676,0.012685,0.071112,0.0,0.089487,0.0,0.0,0.0,0.0,0.0,0.0,0.0699,,0.210174,0.011477
Kidney Renal Papillary [KIRP] (n=289),2.195238,4.824731,0.0,0.724137,0.377432,,0.110538,0.0,0.0,1.083169,0.0,0.0,0.05029,0.01183,0.0,1.735238,0.012789,0.148755,0.02896,0.09176,0.0,0.0,0.0,0.0,1.099898,1.083751,0.057779,,0.0,0.0
Cervical Squamous / Adenocarcinoma [CESC] (n=306),0.045789,2.277016,1.468992,4.62676,1.887894,,0.148429,0.0,0.0,0.505428,0.0,0.0,0.044513,0.022834,0.0,0.152865,1.696303,0.092254,0.0,0.040189,0.0,0.0,0.0,0.0,0.0,0.0,0.046231,,0.011719,0.0345
Breast Invasive Carcinoma — Luminal A [BRCA_LumA] (n=501),0.0615,5.221077,0.83071,2.048401,0.911665,,0.11177,0.011942,0.0,1.378931,0.0,0.011863,0.100622,0.06433,0.0,0.376492,0.035734,0.335156,0.012559,0.045671,0.012169,0.0,0.0,0.284017,0.048588,0.297164,0.068936,,0.192,0.0
Breast Invasive Carcinoma [BRCA] (n=1099),0.080817,4.021995,0.897412,2.535999,0.923206,,0.097555,0.011996,0.0,1.164551,0.0,0.0,0.074532,0.056925,0.0,0.283669,0.050167,0.318423,0.011934,0.058376,0.012236,0.0,0.0,0.175179,0.048633,0.110089,0.06788,,0.159299,0.0
Esophageal Carcinoma [ESCA] (n=182),0.23532,3.141006,3.828904,1.402959,0.54337,,0.433192,0.012798,0.0,0.412191,0.0,0.065274,0.047746,0.09796,0.0,0.121812,0.047069,0.097844,0.011473,0.037795,0.0,0.025527,0.0,0.0,0.0,0.0,0.087955,,0.113933,0.036288
Prostate Adenocarcinoma [PRAD] (n=496),0.026187,5.197793,0.069349,0.348875,0.47569,,0.08609,0.024352,0.0,1.85321,0.0,0.0,0.11867,0.025538,0.0,0.13217,0.033988,0.321791,0.014229,0.024248,0.0,0.0,0.0,1.181805,0.0,0.257277,0.104156,,0.074061,0.011544
Kidney Renal Clear Cell [KIRC] (n=531),0.294022,3.10992,0.042588,0.639645,0.395109,,0.088143,0.017425,0.0,0.765487,0.0,0.039198,0.085097,0.036791,0.0,1.286962,0.015203,0.147329,0.03874,1.531046,0.016029,0.0,0.0,0.0,0.372973,0.540578,0.046741,,0.012775,0.0
Stomach Adenocarcinoma [STAD] (n=414),0.098295,2.6681,1.004238,2.724176,0.510782,,0.751262,0.028712,0.0,0.378956,0.0,0.062147,0.089748,0.071245,0.0,0.295777,0.030552,0.10113,0.024159,0.079826,0.0,0.013971,0.0,0.0,0.0,0.0,0.085528,,0.063308,0.0
Thyroid Carcinoma [THCA] (n=512),0.0,3.723896,0.138695,0.708091,0.343731,,0.127723,0.0,0.0,1.212372,0.0,0.0,0.035164,0.025425,0.0,0.131695,0.028224,0.064022,0.0,0.24152,0.0,0.0,1.209254,0.0,0.376086,0.374981,0.096786,,0.0,0.0
Multiple Myeloma [MM] (n=764),0.060694,2.669575,0.0,0.0,0.685204,0.040275,0.09748,0.582077,0.0,0.588661,0.0,0.075201,1.917917,0.071599,0.0,0.0,0.065064,0.311632,0.183387,0.0,1.446746,0.007125,0.022571,0.0,0.127833,0.024436,0.117627,0.116857,0.0,0.09808
Osteosarcoma [OS] (n=262),0.187347,3.447344,1.141778,0.035853,0.705616,,0.120599,0.0,0.026216,0.899715,0.0,0.0,0.043712,0.050647,0.0,0.26494,0.083032,0.311978,0.012892,0.160556,0.0,0.0,0.023115,0.0,0.322079,0.025372,0.0,,0.545581,0.0
Pheochromocytoma and Paraganglioma [PCPG] (n=182),0.0,3.863917,0.0,0.08424,0.585158,,0.062052,0.0,0.0,1.032938,0.0,0.062302,0.055499,0.021084,0.0,0.479493,0.01308,0.126922,0.017201,0.353286,0.0,0.0,0.0,0.0,0.907005,0.134418,0.0,,0.503269,0.0
Pancreatic Adenocarcinoma [PAAD] (n=179),0.03073,3.005787,1.048569,0.188713,0.405198,,0.080509,0.0231,0.0,0.524777,0.011765,0.005847,0.057987,0.024917,0.0,1.272426,0.015332,0.200645,0.025161,0.059994,0.011821,0.0,0.0,0.0,0.095752,0.037602,0.068833,,0.071529,0.0
Bladder Urothelial Carcinoma [BLCA] (n=407),0.013231,3.035466,2.370625,0.147353,0.466623,,0.122102,0.0,0.0,0.586556,0.0,0.034595,0.023665,0.011539,0.0,0.068732,0.070406,0.107229,0.0,0.061423,0.0,0.0,0.0,0.0,0.0,0.0,0.056725,,0.013995,0.0
Head and Neck Squamous Cell Carcinoma [HNSC] (n=520),0.067827,2.540573,2.444338,0.161052,0.250424,,0.042013,0.0,0.0,0.228092,0.0,0.033376,0.0,0.023015,0.0,0.033882,0.01168,0.0486,0.00821,0.056327,0.0,0.0,0.0,0.0,0.0,0.0,0.022476,,0.144435,0.056933
Head and Neck Squamous Cell Carcinoma — HPV- HNSC [HNSC_HPV_neg] (n=415),0.066703,2.506556,2.402258,0.134061,0.219817,,0.034561,0.0,0.0,0.213123,0.0,0.033191,0.0,0.022638,0.0,0.03328,0.011437,0.047493,0.0,0.048617,0.0,0.0,0.0,0.0,0.0,0.0,0.022038,,0.237142,0.064809
