cohort,PRAME,PHF7,EGFL6,YBX2,SYCE2,H1-6,SYCP3,TULP2,XAGE1B,STKLD1,C1orf94,C12orf42,RNF148,ZC3H11B,XAGE1A,TEX14,LRRC36,SMC1B,DPEP3,FATE1,WDR64,TSPYL6,SSX1,TMEM210,ANKRD7,SPATA32,MEIOC,SPATA4,AKNAD1,CAGE1
Breast Invasive Carcinoma [BRCA] (n=1099),0.07757,3.867717,0.861965,2.436712,0.889147,0.0,0.093519,0.011537,0.0,1.120481,0.0,0.0,0.071085,0.054733,0.0,0.305739,0.271767,0.047869,0.011449,0.056086,0.01172,0.0,0.0,0.168099,0.04657,0.06482,0.163339,0.106012,0.152784,0.0
Multiple Myeloma [MM] (n=764),0.060694,2.669575,0.0,0.0,0.685204,0.040275,0.09748,0.582077,0.0,0.588661,0.0,0.075201,1.917917,0.071599,0.0,0.311632,0.0,0.065064,0.183387,0.0,1.446746,0.007125,0.022571,0.0,0.127833,0.117627,0.116857,0.024436,0.0,0.09808
Chronic Lymphocytic Leukemia [CLL] (n=708),0.0,11.122889,0.0,0.0,2.249005,0.0,3.632941,0.085049,0.0,0.37265,0.0,1.950355,0.0,0.198906,0.0,0.289052,0.0,0.033396,1.534577,0.0,0.027274,0.012704,0.0,0.0,0.053359,0.358123,0.634238,0.0,0.056964,0.052681
Kidney Renal Clear Cell [KIRC] (n=531),0.282304,2.996228,0.040927,0.618067,0.380165,0.0,0.084774,0.016733,0.0,0.740485,0.0,0.037606,0.081975,0.035455,0.0,0.141537,1.237066,0.014604,0.037212,1.470896,0.015425,0.0,0.0,0.0,0.35863,0.044892,0.137329,0.519371,0.012269,0.0
Lower Grade Glioma [LGG] (n=523),0.0,4.649274,0.037925,0.312959,2.457067,0.0,0.120648,0.03654,0.0,2.58557,2.217941,0.071037,0.0,0.085307,0.0,0.275758,0.354546,0.012963,0.081415,0.0,0.0,0.013195,0.0,0.0,0.458946,0.013473,0.429748,0.499629,1.006958,0.0
Head and Neck Squamous Cell Carcinoma [HNSC] (n=520),0.06546,2.470022,2.357801,0.156477,0.243609,0.0,0.040871,0.0,0.0,0.220932,0.0,0.032357,0.0,0.022307,0.0,0.047013,0.032866,0.011304,0.007933,0.054669,0.0,0.0,0.0,0.0,0.0,0.021707,0.088786,0.0,0.139766,0.055107
Lung Adenocarcinoma [LUAD] (n=515),0.110213,2.659987,4.320023,0.374798,0.442739,0.0,0.065772,0.032801,2.774657,0.668292,0.0,0.07773,0.153049,0.032554,1.719332,0.239417,0.620272,0.032351,0.022021,0.165273,0.032754,0.0,0.0,0.0,0.106292,0.118958,0.121117,0.063728,0.062764,0.0
Thyroid Carcinoma [THCA] (n=512),0.0,3.588834,0.133213,0.679399,0.329036,0.0,0.123152,0.0,0.0,1.170871,0.0,0.0,0.033851,0.024383,0.0,0.061564,0.126725,0.027162,0.0,0.232144,0.0,0.0,1.158076,0.0,0.36133,0.092902,0.08048,0.362054,0.0,0.0
Breast Invasive Carcinoma — Luminal A [BRCA_LumA] (n=501),0.05907,5.014978,0.788913,1.964142,0.876996,0.0,0.106764,0.011516,0.0,1.322217,0.0,0.011304,0.096454,0.061755,0.0,0.321753,0.361386,0.034355,0.012071,0.044126,0.011678,0.0,0.0,0.271565,0.046475,0.066324,0.152104,0.28555,0.183096,0.0
Lung Squamous Cell Carcinoma [LUSC] (n=498),11.579619,2.628054,8.747458,0.634792,0.4258,0.0,0.049274,0.021813,0.117608,0.386,0.0,0.068786,0.032323,0.033701,0.032187,0.155572,0.273965,0.044265,0.021513,0.140841,0.010795,0.0,0.0,0.0,0.14636,0.056807,0.130078,0.021325,0.024816,0.044465
