cancer_code,n_samples,n_any_gt25,n_any_gt25_nomage,n_any_gt50,n_any_gt50_nomage,n_any_gt100,n_any_gt100_nomage,n_any_gt200,n_any_gt200_nomage,n_any_p80,n_any_p80_nomage,n_any_p90,n_any_p90_nomage,n_any_p95,n_any_p95_nomage
ATRT,4,4,4,4,4,1,1,0,0,4,4,4,4,4,4
SARC_EWS,101,65,65,52,52,49,49,44,44,100,100,67,67,53,53
HEPB,20,4,3,0,0,0,0,0,0,18,18,6,5,2,2
MBL,125,39,38,22,21,17,17,11,11,120,120,71,68,45,41
NUTM,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
SARC_OS,262,189,184,165,158,135,130,91,88,258,258,208,204,173,167
SARC_RMS_ARMS,73,51,47,38,36,26,26,18,18,73,73,59,57,42,40
SARC_RMS_ERMS,95,76,76,71,70,60,59,28,28,93,93,77,77,74,73
SARC_RMS_PRMS,6,4,4,4,4,2,2,0,0,6,6,4,4,4,4
SARC_RMS_SSRMS,8,7,7,5,5,4,4,3,3,8,8,8,8,7,7
SARC_LMS,151,43,42,29,26,19,19,12,12,147,147,52,51,31,28
SARC_LPS_UNSPEC,92,41,41,28,28,17,17,6,6,89,89,46,46,28,28
SARC_MYXFIB,41,20,19,16,16,16,16,11,11,40,40,21,20,16,16
SARC_SYN,50,50,50,48,48,43,43,30,30,50,50,50,50,48,48
SARC_UPS,110,71,68,58,51,39,36,24,24,108,108,75,72,60,53
ACC,77,39,38,32,31,24,24,14,14,77,77,49,47,36,34
BLCA,407,263,186,206,130,140,92,84,69,405,403,293,227,227,141
BRCA,1099,444,410,291,266,173,150,86,77,1050,1045,495,466,313,288
CESC,306,175,154,99,81,48,32,22,14,306,306,230,213,102,83
CHOL,36,10,10,5,5,4,4,1,1,26,26,15,15,6,6
COAD,290,69,50,32,18,20,8,4,3,286,286,111,95,36,21
DLBC,47,21,13,16,10,6,2,1,0,46,46,26,22,18,10
ESCA,182,123,98,80,56,51,28,24,18,179,177,136,117,85,57
HNSC,520,337,219,245,116,169,61,81,39,518,517,389,291,270,135
KICH,66,21,21,7,7,1,1,1,1,66,66,45,45,19,19
KIRC,531,60,60,22,22,9,9,5,5,408,408,97,97,34,34
KIRP,289,34,33,10,9,8,8,6,6,279,279,78,77,11,10
LAML,173,69,69,30,30,15,15,5,5,173,173,84,84,33,33
LIHC,368,165,159,132,126,102,100,73,73,357,357,224,208,157,152
LUAD,515,429,423,380,375,350,341,305,295,514,514,450,447,391,385
LUSC,498,439,382,351,254,256,156,162,100,497,497,468,439,367,272
MESO,87,32,31,15,14,6,6,3,3,82,82,47,46,19,18
OV,426,359,356,262,259,133,128,52,52,424,424,397,396,320,316
PAAD,179,33,32,14,14,6,6,2,2,149,149,53,53,17,17
PCPG,182,7,5,6,4,2,2,1,1,157,155,13,12,7,5
PRAD,496,40,37,20,19,13,12,7,7,467,466,57,56,22,21
READ,93,22,14,13,6,10,2,5,0,91,90,36,29,15,8
SKCM,469,453,452,439,434,408,405,345,342,469,469,459,458,445,441
STAD,414,227,194,148,104,85,56,35,28,391,389,271,243,177,138
TGCT,154,143,142,132,130,120,119,105,105,154,154,146,146,135,132
THCA,512,100,100,45,45,15,15,3,3,472,472,144,144,58,58
THYM,119,51,51,25,25,8,8,2,2,116,116,69,69,28,28
UCEC,181,174,173,149,147,113,113,62,61,181,181,180,180,161,159
UCS,57,55,55,53,53,45,45,20,20,57,57,57,56,53,53
UVM,79,34,34,29,29,21,21,11,11,78,78,48,48,32,32
GBM,166,14,14,9,9,3,3,1,1,110,108,16,16,10,10
LGG,523,13,12,7,6,4,4,1,1,412,412,20,19,7,6
BRCA_Basal,172,147,143,106,98,57,47,25,20,171,171,159,158,117,111
BRCA_HER2,77,35,30,26,22,22,17,10,9,77,77,43,38,28,24
BRCA_LumA,501,113,98,62,57,35,31,15,13,467,464,128,113,68,62
BRCA_LumB,199,97,92,67,61,44,40,25,24,198,198,106,102,66,60
BRCA_Normal,35,8,6,3,3,2,2,0,0,28,27,9,9,4,3
HNSC_HPVpos,72,33,29,15,13,8,6,5,4,72,72,42,38,18,16
HNSC_HPVneg,415,285,176,214,95,151,49,69,32,413,412,324,236,235,110
SARC_CHOR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RB,15,4,4,1,1,0,0,0,0,0,0,0,0,0,0
SARC_RMS,182,138,134,118,115,92,91,49,49,180,180,148,146,127,124
SARC,992,617,603,514,494,410,401,267,264,972,972,667,656,536,517
