cancer_code,status,qc_used,n_samples_pg,n_samples_on,n_samples_match,n_genes_pg,n_genes_on,n_genes_shared,n_genes_pg_only,n_genes_on_only,n_scored,rel_median,rel_p95,rel_max,n_divergent,n_on_missing_value
ACC,ok,artifact,77,68,False,34337,32876,32651,1686,225,12927,0.03277316928084433,0.15029404817094041,1.452805384576354,28,0
ACINIC,ok,artifact,3,2,False,58951,56357,56357,2594,0,13300,0.18342458044410498,1.285182259627787,13.600925828754626,2480,0
ADCC,ok,artifact,57,56,False,58951,56357,56357,2594,0,15145,0.009052473358556953,0.04899098572064009,0.3703117905102403,0,0
ATRT,ok,artifact,4,4,True,34337,32876,32651,1686,225,14361,0.009109609343102525,0.21005333012742103,1.0,107,0
BL,ok,artifact,175,175,True,60279,57659,57659,2620,0,21689,0.0003990940451324712,0.0010848097068504954,0.003748378554189286,0,0
BLCA,ok,artifact,407,404,False,34337,32876,32651,1686,225,13373,0.002191550950537436,0.013120415015345943,1.0,6,0
BRCA,ok,artifact,1099,1098,False,34337,32876,32651,1686,225,13955,0.0007128486668269244,0.0026235656682380595,1.0,6,0
BRCA_Basal,ok,artifact,172,172,True,34337,32876,32651,1686,225,13720,0.00045143182576944357,0.0013889285747037306,1.0,6,0
BRCA_HER2,ok,artifact,77,77,True,34337,32876,32651,1686,225,13677,0.0004468764649657321,0.0013521402185370731,1.0,5,0
BRCA_LumA,ok,artifact,501,501,True,34337,32876,32651,1686,225,14114,0.0004573478528788709,0.001435859589817468,1.0,7,0
BRCA_LumB,ok,artifact,199,199,True,34337,32876,32651,1686,225,13740,0.00046231655847479164,0.0014228288713019103,1.0,5,0
BRCA_Normal,ok,artifact,35,35,True,34337,32876,32651,1686,225,14388,0.00045863652768814156,0.0013615206078645414,1.0,6,0
B_ALL,ok,artifact,154,141,False,59849,57659,57233,2616,426,19210,0.015962407789778543,0.08649606705768789,1.0,27,0
CESC,ok,artifact,306,306,True,34337,32876,32651,1686,225,13341,0.0004528403217954284,0.0013743081938912497,1.0,5,0
CHOL,ok,artifact,36,36,True,34337,32876,32651,1686,225,13781,0.0005508377688047689,0.002365043003097543,0.9830853546056346,6,0
CLL,ok,artifact,708,703,False,51796,49498,49221,2575,277,14961,0.0014875285001710822,0.008328552613616017,1.0,12,0
CML,ok,artifact,5,5,True,19295,19203,19192,103,11,11261,0.0004581041774925968,0.0014143150400649765,0.0035600473497529603,0,0
COAD,ok,artifact,290,289,False,34337,32876,32651,1686,225,13548,0.0014978785919132897,0.008077217809423649,0.9946338434971567,5,0
COAD_MSI,ok,artifact,50,50,True,34337,32876,32651,1686,225,13365,0.0004967374684520816,0.0017111176938454887,1.0,6,0
COAD_MSS,ok,artifact,226,225,False,34337,32876,32651,1686,225,13569,0.0018361628866594328,0.00990286304571874,0.9945232688192169,5,0
CTCL,ok,artifact,7,7,True,17002,16910,16900,102,10,11081,0.0004963308125076099,0.0015334110600327537,0.9883788031679233,1,0
DLBC,ok,artifact,47,47,True,34337,32876,32651,1686,225,12488,0.0004288454676605131,0.0013913074059629432,1.0,5,0
ESCA,ok,artifact,182,181,False,34337,32876,32651,1686,225,14041,0.0028854386390826815,0.01740157057617175,1.0,6,0
FL,ok,artifact,6,5,False,51140,48807,48572,2568,235,15308,0.04368262260335002,0.26375373446467654,1.0008267400973776,169,0
GBM,ok,artifact,166,166,True,34337,32876,32651,1686,225,14398,0.00045596392947414737,0.001431155625719093,1.0,6,0
HEPB,ok,artifact,20,20,True,34337,32876,32651,1686,225,13117,0.0007487987848975316,0.008793998549212863,1.0,7,0
HL,ok,artifact,5,2,False,58667,57800,55986,2681,1814,14103,0.45420344241423666,2.832629424020459,55.715139482780764,6549,0
HNSC,ok,artifact,520,520,True,34337,32876,32651,1686,225,13166,0.0004379861677209949,0.0012958891914915556,1.0,6,0
HNSC_HPVneg,ok,artifact,415,415,True,34337,32876,32651,1686,225,13089,0.00043698792111084353,0.0013570183389686032,1.0,6,0
HNSC_HPVpos,ok,artifact,72,72,True,34337,32876,32651,1686,225,13499,0.0004722860736874688,0.0015615052042499392,1.0,6,0
KICH,ok,artifact,66,55,False,34337,32876,32651,1686,225,13174,0.024737383609150558,0.12423649152235271,1.1456194835026274,16,0
KIRC,ok,artifact,531,528,False,34337,32876,32651,1686,225,14086,0.001332066364495836,0.007003618819083353,0.9720199646637252,5,0
KIRP,ok,artifact,289,282,False,34337,32876,32651,1686,225,13667,0.00507885995852538,0.0246042722105337,1.0,7,0
LAML,ok,artifact,173,173,True,34337,32876,32651,1686,225,13941,0.00046490738137099536,0.0014996780956748191,1.0,11,0
LAML_APL,ok,artifact,20,19,False,59849,57659,57233,2616,426,16480,0.019536089486150383,0.11334503564224484,1.0,23,0
LAML_ELNadv,ok,artifact,189,188,False,59849,57659,57233,2616,426,17749,0.002954419670591012,0.016577140024916483,1.0,22,0
LAML_ELNfav,ok,artifact,238,234,False,59849,57659,57233,2616,426,17972,0.0034748702917196178,0.02303052879277965,1.0,22,0
LAML_ELNint,ok,artifact,154,152,False,59849,57659,57233,2616,426,17634,0.005822791405103647,0.030881823894920765,1.0,22,0
LGG,ok,artifact,523,523,True,34337,32876,32651,1686,225,14463,0.0004655715487873054,0.0014646229859701868,1.0,7,0
LIHC,ok,artifact,368,368,True,34337,32876,32651,1686,225,12002,0.00040978691194184364,0.0012389481836676186,0.9914057330532335,5,0
LUAD,ok,artifact,515,514,False,34337,32876,32651,1686,225,14034,0.0010804608977772762,0.005102843371041453,1.0,5,0
LUAD_EGFR,ok,artifact,67,67,True,34337,32876,32651,1686,225,14361,0.00045328542918701145,0.0013287027658412324,1.0,6,0
LUAD_KRAS,ok,artifact,153,152,False,34337,32876,32651,1686,225,13957,0.0030000183428536904,0.01645393973407602,1.0,5,0
LUAD_STK11,ok,artifact,142,141,False,34337,32876,32651,1686,225,13848,0.0033140716975384506,0.018481674804865598,1.0,5,0
LUSC,ok,artifact,498,498,True,34337,32876,32651,1686,225,13936,0.00044100373386796296,0.0013533222602757438,1.0,5,0
MBL,ok,artifact,125,58,False,34337,32876,32651,1686,225,11335,4.20596239695744,10.258828871549898,29.312842899840383,11303,0
MBL_G3,ok,artifact,44,29,False,32609,32876,30930,1679,1946,12651,0.39294126048130207,1.4898914288312026,11.046803216162553,4755,0
MBL_G4,ok,artifact,39,18,False,32609,32876,30930,1679,1946,10870,3.6714385552187543,8.544698199738498,24.120632320645502,10831,0
MBL_SHH,ok,artifact,25,7,False,32609,32876,30930,1679,1946,7187,16.154739423640407,31.66121301968648,86.6808117485609,7180,0
MBL_WNT,ok,artifact,17,4,False,32609,32876,30930,1679,1946,7582,14.5029554993882,34.620134478578144,361.27151912245034,7562,0
MCL,ok,artifact,51,10,False,25588,25609,25466,122,143,10493,0.0852603474002399,0.45550744944633964,4.284573295824675,439,0
MDS,ok,artifact,82,81,False,58667,57800,55986,2681,1814,17537,0.004865929651730643,0.027298091563189082,2.2827371783746346,46,0
MESO,ok,artifact,87,87,True,34337,32876,32651,1686,225,13608,0.0004366569606107498,0.0013532000062483167,1.0,8,0
MM,ok,artifact,764,47,False,59849,57659,57233,2616,426,11420,1.3301751629768743,1.9687362283164134,48.63165816390179,11088,0
MPN,ok,artifact,45,29,False,37816,35891,35635,2181,256,13874,0.04200990933725933,0.2637883127645453,2.363089715194081,225,0
MTC,ok,artifact,52,52,True,18966,18868,18844,122,24,18822,0.0005328538896264471,0.0012868551520197912,0.5677173953384276,1,0
NBL,ok,artifact,155,155,True,59849,57659,57233,2616,426,20092,0.0004154372216159065,0.0012961032006550586,6.763712337978785,21,0
NBL_MYCNamp,ok,artifact,33,33,True,59849,57659,57233,2616,426,19726,0.00040776269620928086,0.0012605833090606404,7.196820547276592,18,0
NBL_MYCNnonamp,ok,artifact,122,121,False,59849,57659,57233,2616,426,20204,0.0038909040743156952,0.022671630832420082,6.277406382799474,21,0
NEC_LUNG_LARGECELL,ok,artifact,69,58,False,58759,56558,56143,2616,415,19441,0.022081413072264168,0.14412193579754543,1.39873803734042,104,0
NEC_MERKEL,ok,artifact,91,76,False,23209,23170,23098,111,72,15187,0.04652962358206158,0.1772197047937367,1.5840556698246306,45,0
NET_LUNG,ok,artifact,118,64,False,58759,56558,56143,2616,415,18254,0.0554218647211369,0.26512063685359577,41.49013850306579,259,0
NET_MIDGUT,ok,artifact,81,77,False,58667,57800,55986,2681,1814,21988,0.012556266693229831,0.07954336344595096,4.880652027128976,48,0
NET_PANCREAS,ok,artifact,113,30,False,58667,57800,55986,2681,1814,21449,0.20617741980162332,0.6630022770503353,88.20001124127207,2128,0
NET_RECTAL,ok,artifact,18,18,True,58667,57800,55986,2681,1814,21667,0.0006699488787050645,0.007345519334374228,4.288769852707471,51,0
NPC,ok,artifact,4,3,False,34337,32876,32651,1686,225,14051,0.18427301955359937,0.7709309733177834,1.002824189397275,2082,0
NUTM,ok,artifact,3,3,True,19945,19920,19773,172,147,17827,0.0010636757946918983,0.002711857239120022,1.3939619612724419,25,0
OV,ok,artifact,426,426,True,34337,32876,32651,1686,225,14057,0.00044253890715758557,0.0013320208722286757,0.9975569057108131,5,0
PAAD,ok,artifact,179,177,False,34337,32876,32651,1686,225,14423,0.004220020332176462,0.02437474709778004,1.0,6,0
PCPG,ok,artifact,182,179,False,34337,32876,32651,1686,225,13723,0.0043226793264206425,0.025202813463414013,1.0,7,0
PRAD,ok,artifact,496,496,True,34337,32876,32651,1686,225,14059,0.00045538790343009194,0.001433232468183401,1.0,6,0
RB,ok,artifact,15,15,True,34337,32876,32651,1686,225,12633,0.000356903786771876,0.0009552774271003078,0.9528638689428194,7,0
READ,ok,artifact,93,93,True,34337,32876,32651,1686,225,13676,0.00046609863594696297,0.0014217253899206936,1.0,5,0
READ_MSI,ok,artifact,2,2,True,34337,32876,32651,1686,225,14380,0.015066180097960524,0.2866336366393748,1.0,182,0
READ_MSS,ok,artifact,83,83,True,34337,32876,32651,1686,225,13662,0.0004583332169206917,0.0014452608631608753,1.0,5,0
RT,ok,artifact,63,58,False,59849,57659,57233,2616,426,16255,0.025747740940906285,0.13274531919735333,1.1531529085803205,48,0
