Symbol,Aliases,Full_Name,Function,Ensembl_Gene_ID,source_databases,protein_reproductive,protein_thymus,protein_reliability,rna_reproductive,rna_thymus,protein_strict_expression,rna_reproductive_frac,rna_reproductive_and_thymus_frac,rna_deflated_reproductive_frac,rna_deflated_reproductive_and_thymus_frac,Canonical_Transcript_ID,biotype,rna_80_pct_filter,rna_90_pct_filter,rna_95_pct_filter,rna_97_pct_filter,rna_98_pct_filter,rna_99_pct_filter,passes_filters,rna_max_ntpm,never_expressed,rna_testis_ntpm,rna_ovary_ntpm,rna_placenta_ntpm,rna_max_somatic_tissue,rna_max_somatic_ntpm,rna_somatic_detected_count,rna_brain_max_ntpm,rna_heart_max_ntpm,rna_lung_max_ntpm,rna_liver_max_ntpm,rna_pancreas_max_ntpm,protein_restriction,protein_testis,protein_ovary,protein_placenta,rna_restriction,rna_restriction_level,restriction,restriction_confidence,safety_flags,specificity_status,specificity_action,specificity_source_anchor,specificity_rationale
NUTM1,C15orf55;FAM22H;NUT,,cancer-testis antigen,ENSG00000184507,CTpedia;Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017;daSilva2017_CT;daSilva2017_testis_biased,True,False,Enhanced,True,False,testis,0.9648,0.9648,1.0,1.0,ENST00000333756,protein_coding,True,True,True,True,True,True,True,19.2,False,19.2,0.0,0.0,duodenum,0.2,0,0.0,0.0,0.0,0.0,0.0,TESTIS,True,False,False,TESTIS,STRICT,TESTIS,HIGH,,canonical_default,include_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
CAGE1,CT3;CT95;CTAG3;bA69L16.7,,cancer-testis antigen,ENSG00000164304,CTpedia;Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017;daSilva2017_CT;daSilva2017_testis_biased,no data,no data,no data,True,False,no data,0.9608,0.9608,1.0,1.0,ENST00000502583,protein_coding,True,True,True,True,True,True,True,4.9,False,4.9,0.0,0.0,bone marrow,0.2,0,0.0,0.0,0.0,0.0,0.0,NO_DATA,,,,TESTIS,STRICT,TESTIS,HIGH,,canonical_default,include_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
PAGE1,AL5;CT16.3;GAGE-9;GAGEB1;PAGE-1,,cancer-testis antigen,ENSG00000068985,CTexploreR_CT;CTpedia;Chang2019_TGCT;Gong2021_reproductive_PC;Loriot2025_S1;Wang2016_CT;daSilva2017;daSilva2017_CT;daSilva2017_protein;daSilva2017_testis_biased;daSilva2017_tumor_proteomics,True,False,Enhanced,True,False,testis,0.9941,0.9941,1.0,1.0,ENST00000376150,protein_coding,True,True,True,True,True,True,True,16.7,False,16.7,0.0,0.1,adipose tissue,0.0,0,0.0,0.0,0.0,0.0,0.0,TESTIS,True,False,False,TESTIS,STRICT,TESTIS,HIGH,,canonical_default,include_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
PAGE2,CT16.4;GAGEC2;GAGEE2;PAGE-2,,cancer-testis antigen,ENSG00000234068,CTexploreR_CT;CTpedia;Carter2023_CT;Chang2019_TGCT;Gong2021_reproductive_PC;Loriot2025_S1;Wang2016_CT;daSilva2017;daSilva2017_CT;daSilva2017_protein;daSilva2017_testis_biased;daSilva2017_tumor_proteomics,True,False,Supported,True,False,testis,0.9088,0.9153,1.0,1.0,ENST00000374968,protein_coding,True,True,True,True,True,True,True,27.1,False,27.1,0.1,0.7,skin,0.5,0,0.2,0.0,0.0,0.1,0.0,TESTIS,True,False,False,TESTIS,STRICT,TESTIS,HIGH,,canonical_default,include_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
PAGE2B,CT16.5;GAGEE3;PAGE-2B,,cancer-testis antigen,ENSG00000238269,CTexploreR_CTP;CTpedia;Chang2019_TGCT;Gong2021_reproductive_PC;Loriot2025_S2;Wang2016_CT;daSilva2017;daSilva2017_CT;daSilva2017_protein;daSilva2017_testis_biased;daSilva2017_tumor_proteomics,True,False,Supported,False,False,testis,0.8141,0.817,0.9474,0.9474,ENST00000374971,protein_coding,True,True,False,False,False,False,True,55.0,False,55.0,0.3,0.3,bone marrow,4.0,1,0.2,0.1,0.2,0.4,0.1,TESTIS,True,False,False,SOMATIC,PERMISSIVE,TESTIS,LOW,,canonical_default,include_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
PAGE3,CT16.6;GAGED1;PAGE-3,,cancer-testis antigen,ENSG00000204279,CTpedia;Chang2019_TGCT;Gong2021_reproductive_PC;daSilva2017;daSilva2017_testis_biased,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000374951,protein_coding,True,True,True,True,True,True,True,7.4,False,7.4,0.0,0.0,adipose tissue,0.0,0,0.0,0.0,0.0,0.0,0.0,NO_DATA,,,,TESTIS,STRICT,TESTIS,HIGH,,canonical_default,include_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
PAGE5,CT16;CT16.1;CT16.2;GAGEE1;PAGE-5,,cancer-testis antigen,ENSG00000158639,CTexploreR_CT;CTpedia;Carter2023_CT;Chang2019_TGCT;Gong2021_reproductive_PC;Loriot2025_S1;Wang2016_CT;daSilva2017;daSilva2017_CT;daSilva2017_testis_biased,True,False,Supported,False,False,testis,0.8776,0.881,1.0,1.0,ENST00000374955,protein_coding,True,True,True,True,True,True,True,25.8,False,25.8,0.0,0.0,liver,1.0,1,0.1,0.0,0.0,1.0,0.0,TESTIS,True,False,False,SOMATIC,MODERATE,TESTIS,LOW,,canonical_default,include_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
XAGE1A,CT12.1;CT12.1A;CT12.1B;CTP9;GAGED2;XAGE-1;XAGE1;XAGE1B,,cancer-testis antigen,ENSG00000204379,CTexploreR_CT;CTpedia;Loriot2025_S1;daSilva2017_testis_biased,no data,no data,no data,True,False,no data,0.9913,0.9913,1.0,1.0,ENST00000375602,protein_coding,True,True,True,True,True,True,True,45.7,False,45.7,0.0,0.0,adipose tissue,0.1,0,0.0,0.0,0.1,0.0,0.0,NO_DATA,,,,TESTIS,STRICT,TESTIS,HIGH,,canonical_default,include_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
XAGE1B,CT12.1;CT12.1B;CT12.1C;CT12.1D;CT12.1E;CTP9;GAGED2;XAGE-1;XAGE1;XAGE1C;XAGE1D;XAGE1E,,cancer-testis antigen,ENSG00000204382,CTexploreR_CT;CTpedia;Loriot2025_S1;Seager2024_CTA;daSilva2017;daSilva2017_testis_biased,no data,no data,no data,False,False,no data,0.8791,0.8808,0.9867,0.9867,ENST00000518075,protein_coding,True,True,True,True,True,False,True,53.1,False,53.1,0.0,0.0,liver,1.5,3,0.4,0.0,1.2,1.5,0.0,NO_DATA,,,,SOMATIC,MODERATE,SOMATIC,MODERATE,,canonical_default,include_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
XAGE3,CT12.3A;CT12.3B;GAGED4;PLAC6;PP9012;XAGE-3,,cancer-testis antigen,ENSG00000171402,CTpedia;Gong2021_placenta_PC;Gong2021_reproductive_PC;Wang2016_CT,True,False,Supported,False,False,placenta,0.9804,0.9804,0.9922,0.9922,ENST00000346279,protein_coding,True,True,True,True,True,True,True,368.3,False,1.3,0.0,368.3,adipose tissue,3.0,2,0.0,0.1,0.3,1.9,0.3,PLACENTAL,False,False,True,SOMATIC,MODERATE,PLACENTAL,LOW,,canonical_default,include_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
XAGE5,CT12.5;GAGED5;XAGE-5,,cancer-testis antigen,ENSG00000171405,CTexploreR_CT;CTpedia;Chang2019_TGCT;Gong2021_reproductive_PC;Loriot2025_S1;Wang2016_CT;daSilva2017;daSilva2017_testis_biased,no data,no data,no data,True,False,no data,1.0,1.0,1.0,1.0,ENST00000375501,protein_coding,True,True,True,True,True,True,True,1.1,True,1.1,0.0,0.0,adipose tissue,0.0,0,0.0,0.0,0.0,0.0,0.0,NO_DATA,,,,TESTIS,STRICT,TESTIS,MODERATE,,canonical_default,include_default,derived:oncoref.cta.passes_filters,Derived from HPA reproductive-restriction filters and never-expressed rescue policy.
