source_tag,stage,remaining,dropped
Gong2021_placenta_PC,published,71,0
Gong2021_placenta_PC,mapped,70,1
Gong2021_placenta_PC,protein_coding,69,1
Gong2021_placenta_PC,family_eligible,68,1
Gong2021_placenta_PC,hpa_restriction,31,37
Gong2021_placenta_PC,default_panel,26,5
Gong2021_placenta_ncRNA,published,74,0
Gong2021_placenta_ncRNA,mapped,65,9
Gong2021_placenta_ncRNA,protein_coding,1,64
Gong2021_placenta_ncRNA,family_eligible,1,0
Gong2021_placenta_ncRNA,hpa_restriction,1,0
Gong2021_placenta_ncRNA,default_panel,1,0
Bradley2020_CPA,published,10,0
Bradley2020_CPA,mapped,10,0
Bradley2020_CPA,protein_coding,10,0
Bradley2020_CPA,family_eligible,10,0
Bradley2020_CPA,hpa_restriction,1,9
Bradley2020_CPA,default_panel,1,0
Wang2016_CT,published,1019,0
Wang2016_CT,mapped,1018,1
Wang2016_CT,protein_coding,994,24
Wang2016_CT,family_eligible,987,7
Wang2016_CT,hpa_restriction,449,538
Wang2016_CT,default_panel,408,41
Bruggeman2018_GC,published,756,0
Bruggeman2018_GC,mapped,734,22
Bruggeman2018_GC,protein_coding,692,42
Bruggeman2018_GC,family_eligible,692,0
Bruggeman2018_GC,hpa_restriction,42,650
Bruggeman2018_GC,default_panel,40,2
daSilva2017_testis_biased,published,1103,0
daSilva2017_testis_biased,mapped,1100,3
daSilva2017_testis_biased,protein_coding,1066,34
daSilva2017_testis_biased,family_eligible,1055,11
daSilva2017_testis_biased,hpa_restriction,724,331
daSilva2017_testis_biased,default_panel,515,209
daSilva2017_CT,published,745,0
daSilva2017_CT,mapped,743,2
daSilva2017_CT,protein_coding,726,17
daSilva2017_CT,family_eligible,717,9
daSilva2017_CT,hpa_restriction,464,253
daSilva2017_CT,default_panel,375,89
Jamin2021_CT,published,607,0
Jamin2021_CT,mapped,497,110
Jamin2021_CT,protein_coding,480,17
Jamin2021_CT,family_eligible,480,0
Jamin2021_CT,hpa_restriction,56,424
Jamin2021_CT,default_panel,55,1
Jamin2021_core,published,125,0
Jamin2021_core,mapped,125,0
Jamin2021_core,protein_coding,125,0
Jamin2021_core,family_eligible,125,0
Jamin2021_core,hpa_restriction,45,80
Jamin2021_core,default_panel,45,0
Chang2019_TGCT,published,1036,0
Chang2019_TGCT,mapped,1031,5
Chang2019_TGCT,protein_coding,986,45
Chang2019_TGCT,family_eligible,979,7
Chang2019_TGCT,hpa_restriction,453,526
Chang2019_TGCT,default_panel,449,4
Carter2023_CT,published,103,0
Carter2023_CT,mapped,103,0
Carter2023_CT,protein_coding,103,0
Carter2023_CT,family_eligible,102,1
Carter2023_CT,hpa_restriction,86,16
Carter2023_CT,default_panel,86,0
Seager2024_CTA,published,17,0
Seager2024_CTA,mapped,15,2
Seager2024_CTA,protein_coding,15,0
Seager2024_CTA,family_eligible,15,0
Seager2024_CTA,hpa_restriction,13,2
Seager2024_CTA,default_panel,13,0
Loriot2025_S1,published,146,0
Loriot2025_S1,mapped,146,0
Loriot2025_S1,protein_coding,117,29
Loriot2025_S1,family_eligible,116,1
Loriot2025_S1,hpa_restriction,96,20
Loriot2025_S1,default_panel,95,1
Loriot2025_S2,published,134,0
Loriot2025_S2,mapped,134,0
Loriot2025_S2,protein_coding,98,36
Loriot2025_S2,family_eligible,97,1
Loriot2025_S2,hpa_restriction,43,54
Loriot2025_S2,default_panel,43,0
Gong2021_reproductive_PC,published,744,0
Gong2021_reproductive_PC,mapped,741,3
Gong2021_reproductive_PC,protein_coding,728,13
Gong2021_reproductive_PC,family_eligible,722,6
Gong2021_reproductive_PC,hpa_restriction,529,193
Gong2021_reproductive_PC,default_panel,465,64
Gong2021_reproductive_ncRNA,published,1067,0
Gong2021_reproductive_ncRNA,mapped,963,104
Gong2021_reproductive_ncRNA,protein_coding,5,958
Gong2021_reproductive_ncRNA,family_eligible,5,0
Gong2021_reproductive_ncRNA,hpa_restriction,3,2
Gong2021_reproductive_ncRNA,default_panel,1,2
daSilva2017_tumor_proteomics,published,136,0
daSilva2017_tumor_proteomics,mapped,136,0
daSilva2017_tumor_proteomics,protein_coding,135,1
daSilva2017_tumor_proteomics,family_eligible,128,7
daSilva2017_tumor_proteomics,hpa_restriction,74,54
daSilva2017_tumor_proteomics,default_panel,71,3
Bai2016_EGFL6,published,1,0
Bai2016_EGFL6,mapped,1,0
Bai2016_EGFL6,protein_coding,1,0
Bai2016_EGFL6,family_eligible,1,0
Bai2016_EGFL6,hpa_restriction,1,0
Bai2016_EGFL6,default_panel,1,0
