source_tag,citation,title,doi,source_url,source_table,published_rows,input_sha256,hash_scope,evidence_scope,canonical_reference_sha256,canonical_ensembl_release,retrieved_date,paper_reported_genes
Gong2021_placenta_PC,"Gong et al., Nature Communications (2021)",The RNA landscape of the human placenta in health and disease,10.1038/s41467-021-22695-y,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-021-22695-y/MediaObjects/41467_2021_22695_MOESM2_ESM.xlsx,Supplementary Data 5: placenta rows,71,b91d126e9e0a270309cb3f6ad5253f1153db3a21f0a8c19d8ef55080410a2007,Original XLSX bytes,Placental RNA enrichment; no tumor-antigen validation,a64ce472399c1954b71fbd6ced1ed0cd517bfc8c38df1f24225c5fcbfd5a81a3,115,2026-09-23,
Gong2021_placenta_ncRNA,"Gong et al., Nature Communications (2021)",The RNA landscape of the human placenta in health and disease,10.1038/s41467-021-22695-y,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-021-22695-y/MediaObjects/41467_2021_22695_MOESM2_ESM.xlsx,Supplementary Data 6: placenta rows,74,b91d126e9e0a270309cb3f6ad5253f1153db3a21f0a8c19d8ef55080410a2007,Original XLSX bytes,Placental RNA enrichment; no tumor-antigen validation,a64ce472399c1954b71fbd6ced1ed0cd517bfc8c38df1f24225c5fcbfd5a81a3,115,2026-09-23,
Bradley2020_CPA,"Bradley et al., Nature Communications (2020)",Vestigial-like 1 is a shared targetable cancer-placenta antigen expressed by pancreatic and basal-like breast cancers,10.1038/s41467-020-19141-w,https://www.nature.com/articles/s41467-020-19141-w/figures/3,Figure 3: ten CPA candidates,10,d852d2d086e4d440441a964cef3dd06da2ab76917f691dc758b5aa808d4a242a,"Transcribed Figure 3 symbols, listed order, UTF-8 one per line with final newline",CPA expression nominations; HLA peptide and antigen-specific T-cell validation for VGLL1,a64ce472399c1954b71fbd6ced1ed0cd517bfc8c38df1f24225c5fcbfd5a81a3,115,2026-09-23,
Wang2016_CT,Wang 2016,Systematic identification of genes with a cancer-testis expression pattern in 19 cancer types,10.1038/ncomms10499,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4737856/supplementaryFiles,Supplementary Data 3A,1019,4d5a8a68dba0c5499074b79796429f1c61f7b043130c0add6f629bb9449e5e87,Original downloaded file bytes,Cancer-associated RNA nomination; no antigen validation asserted,a64ce472399c1954b71fbd6ced1ed0cd517bfc8c38df1f24225c5fcbfd5a81a3,115,2026-09-24,1019.0
Bruggeman2018_GC,Bruggeman 2018,Massive expression of germ cell-specific genes is a hallmark of cancer and a potential target for novel treatment development,10.1038/s41388-018-0357-2,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6193945/supplementaryFiles,1D,756,0d60e63830e622c3bcdfdeb4152767904ae09eb06ce144ffae1af9b32579e586,Original downloaded file bytes,GC RNA nomination across cancer types; no antigen validation asserted; GC RNA nomination; inclusion depends on TGCT under this study's thresholds,a64ce472399c1954b71fbd6ced1ed0cd517bfc8c38df1f24225c5fcbfd5a81a3,115,2026-09-24,756.0
daSilva2017_testis_biased,da Silva 2017 · testis-biased,Genome-wide identification of cancer/testis genes and their association with prognosis in a pan-cancer analysis,10.18632/oncotarget.21715,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5696236/supplementaryFiles,1103 CTs predicted,1103,4b83d4b1ec8102a3719e79e24e3cbb037a439264f130b62a6e45ddbd32b9fdb5,Original downloaded file bytes,At least 90% normal-tissue RNA attributable to testis; tumor positivity not required,a64ce472399c1954b71fbd6ced1ed0cd517bfc8c38df1f24225c5fcbfd5a81a3,115,2026-09-24,1103.0
daSilva2017_CT,da Silva 2017 · CT,Genome-wide identification of cancer/testis genes and their association with prognosis in a pan-cancer analysis,10.18632/oncotarget.21715,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5696236/supplementaryFiles,Sheet1,745,5198424def9b66c8b24f662490b557126ed334da99667d028426298f2e7e2839,Original downloaded file bytes,RSEM >1 in at least 10% of samples in a tumor type; RNA nomination,a64ce472399c1954b71fbd6ced1ed0cd517bfc8c38df1f24225c5fcbfd5a81a3,115,2026-09-24,745.0
Jamin2021_CT,Jamin 2021,Combined RNA/tissue profiling identifies novel Cancer/testis genes,10.1002/1878-0261.12900,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8564638/supplementaryFiles,Expression data and classes,607,f1620f3a66b288fcb8e0b06d13579437a6c287c8e5e2041f3b458867c110d9bb,Original downloaded file bytes,CT-pattern microarray nomination; tumor upregulation with no corresponding normal-tissue detection,a64ce472399c1954b71fbd6ced1ed0cd517bfc8c38df1f24225c5fcbfd5a81a3,115,2026-09-24,478.0
Jamin2021_core,Jamin 2021 · core,Combined RNA/tissue profiling identifies novel Cancer/testis genes,10.1002/1878-0261.12900,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8564638/supplementaryFiles,Annotation,125,27c88594f2b3ad9a2a4fcae10ab1f28169500041802b8cc5f133faf1604d8f48,Original downloaded file bytes,Core CT annotation; underlying microarray probes may recognize several loci,a64ce472399c1954b71fbd6ced1ed0cd517bfc8c38df1f24225c5fcbfd5a81a3,115,2026-09-24,124.0
Chang2019_TGCT,Chang 2019 · TGCT,Comprehensive characterization of cancer-testis genes in testicular germ cell tumor,10.1002/cam4.2223,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6601584/supplementaryFiles,Suppl Table 2,1036,19c1cb9825eda2c42ca727b08ea4b1d928d11dde01893087cfadf8e438548941,Original downloaded file bytes,Testis-specific coding gene expressed in at least 1% of TGCT; no broad somatic-cancer claim,a64ce472399c1954b71fbd6ced1ed0cd517bfc8c38df1f24225c5fcbfd5a81a3,115,2026-09-24,1036.0
