identity,Ensembl_Gene_ID,Symbol,biotype,source_databases,nominated,mapped,protein_coding,family_eligible,hpa_restriction,default_panel
ENSG00000000460,ENSG00000000460,FIRRM,protein_coding,Bruggeman2018_GC;Jamin2021_CT,True,True,True,True,False,False
ENSG00000001631,ENSG00000001631,KRIT1,protein_coding,Jamin2021_CT;Jamin2021_core,True,True,True,True,False,False
ENSG00000004809,ENSG00000004809,SLC22A16,protein_coding,Bruggeman2018_GC;Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT,True,True,True,True,False,False
ENSG00000004838,ENSG00000004838,ZMYND10,protein_coding,Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT,True,True,True,True,False,False
ENSG00000005175,ENSG00000005175,RPAP3,protein_coding,Jamin2021_CT,True,True,True,True,False,False
ENSG00000005189,ENSG00000005189,REXO5,protein_coding,Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,False,False
ENSG00000005889,ENSG00000005889,ZFX,protein_coding,Jamin2021_CT,True,True,True,True,False,False
ENSG00000006047,ENSG00000006047,YBX2,protein_coding,Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT;daSilva2017_CT;daSilva2017_protein;daSilva2017_testis_biased;daSilva2017_tumor_proteomics,True,True,True,True,True,True
ENSG00000006059,ENSG00000006059,KRT33A,protein_coding,Chang2019_TGCT;Wang2016_CT;daSilva2017_CT;daSilva2017_testis_biased,True,True,True,True,False,False
ENSG00000006459,ENSG00000006459,KDM7A,protein_coding,Jamin2021_CT,True,True,True,True,False,False
ENSG00000006634,ENSG00000006634,DBF4,protein_coding,Chang2019_TGCT;Wang2016_CT,True,True,True,True,True,True
ENSG00000006659,ENSG00000006659,LGALS14,protein_coding,Gong2021_placenta_PC;Gong2021_reproductive_PC;placental_antigen,True,True,True,True,True,True
ENSG00000006837,ENSG00000006837,CDKL3,protein_coding,Bruggeman2018_GC,True,True,True,True,False,False
ENSG00000007038,ENSG00000007038,PRSS21,protein_coding,Bruggeman2018_GC;Chang2019_TGCT;Gong2021_reproductive_PC;Wang2016_CT,True,True,True,True,False,False
ENSG00000007174,ENSG00000007174,DNAH9,protein_coding,Bruggeman2018_GC,True,True,True,True,False,False
