source_tag,Symbol,Ensembl_Gene_ID,citation,doi,pmid,source_url,source_anchor,publication_status,evidence_type,assay_resolution,assay_gene_scope,tissue_context,finding,limitations,gene_specific_protein_validation,hla_peptide_validation,antigen_specific_t_cell_validation,reviewed_date,input_sha256,hash_scope
Rull2005_CGB_placenta,CGB1,ENSG00000267631,"Rull and Laan, Human Reproduction (2005)",10.1093/humrep/dei261,16123088,https://pmc.ncbi.nlm.nih.gov/articles/PMC1403819/,Methods: discrimination by restriction enzymes; Figures 2 and 4; Table II,peer_reviewed,placental_RNA,gene_resolved_restriction_digest,CGB1,Normal and complicated pregnancy placental/trophoblastic tissues,Gene-resolved placental transcripts; CGB1/CGB2 peak in early pregnancy; CGB7 is less abundant than other coding CGB genes.,Semi-quantitative RNA evidence; low signal and detection limits; no gene-specific protein or peptide validation.,False,False,False,2026-09-23,d885ddae6adaedca3d1165eb9a01b7a460083c1b3d72b3559b344a4a1273986c,NCBI BioC XML full text bytes
Rull2005_CGB_placenta,CGB2,ENSG00000104818,"Rull and Laan, Human Reproduction (2005)",10.1093/humrep/dei261,16123088,https://pmc.ncbi.nlm.nih.gov/articles/PMC1403819/,Methods: discrimination by restriction enzymes; Figures 2 and 4; Table II,peer_reviewed,placental_RNA,gene_resolved_restriction_digest,CGB2,Normal and complicated pregnancy placental/trophoblastic tissues,Gene-resolved placental transcripts; CGB1/CGB2 peak in early pregnancy; CGB7 is less abundant than other coding CGB genes.,Semi-quantitative RNA evidence; low signal and detection limits; no gene-specific protein or peptide validation.,False,False,False,2026-09-23,d885ddae6adaedca3d1165eb9a01b7a460083c1b3d72b3559b344a4a1273986c,NCBI BioC XML full text bytes
Rull2005_CGB_placenta,CGB7,ENSG00000196337,"Rull and Laan, Human Reproduction (2005)",10.1093/humrep/dei261,16123088,https://pmc.ncbi.nlm.nih.gov/articles/PMC1403819/,Methods: discrimination by restriction enzymes; Figures 2 and 4; Table II,peer_reviewed,placental_RNA,gene_resolved_restriction_digest,CGB7,Normal and complicated pregnancy placental/trophoblastic tissues,Gene-resolved placental transcripts; CGB1/CGB2 peak in early pregnancy; CGB7 is less abundant than other coding CGB genes.,Semi-quantitative RNA evidence; low signal and detection limits; no gene-specific protein or peptide validation.,False,False,False,2026-09-23,d885ddae6adaedca3d1165eb9a01b7a460083c1b3d72b3559b344a4a1273986c,NCBI BioC XML full text bytes
Rull2008_CGB_RNA,CGB1,ENSG00000267631,"Rull et al., Molecular Human Reproduction (2008)",10.1093/molehr/gam082,18048458,https://pmc.ncbi.nlm.nih.gov/articles/PMC2628200/,Figure 2; Table II; CGB1/CGB2 qPCR assay,peer_reviewed,placental_and_normal_tissue_RNA,combined_paralog_assay,CGB1;CGB2,Placenta/trophoblast and nonmalignant tissue panel,Combined CGB1/CGB2 transcripts detected with a sensitive qPCR assay.,Combined assay does not assign abundance to either gene; normal-tissue expression is not tumor specificity or antigen validation.,False,False,False,2026-09-23,90ccc2e949822a6617cef454f2b2c0b45715d0e28ae523641cd3409bb6a39524,NCBI BioC XML full text bytes
Rull2008_CGB_RNA,CGB2,ENSG00000104818,"Rull et al., Molecular Human Reproduction (2008)",10.1093/molehr/gam082,18048458,https://pmc.ncbi.nlm.nih.gov/articles/PMC2628200/,Figure 2; Table II; CGB1/CGB2 qPCR assay,peer_reviewed,placental_and_normal_tissue_RNA,combined_paralog_assay,CGB1;CGB2,Placenta/trophoblast and nonmalignant tissue panel,Combined CGB1/CGB2 transcripts detected with a sensitive qPCR assay.,Combined assay does not assign abundance to either gene; normal-tissue expression is not tumor specificity or antigen validation.,False,False,False,2026-09-23,90ccc2e949822a6617cef454f2b2c0b45715d0e28ae523641cd3409bb6a39524,NCBI BioC XML full text bytes
Kubiczak2013_CGB_ovarian,CGB1,ENSG00000267631,"Kubiczak et al., International Journal of Molecular Sciences (2013)",10.3390/ijms140612650,23774837,https://pmc.ncbi.nlm.nih.gov/articles/PMC3709805/,Figure 3; Table 1; Methods CGB1-2 assay,peer_reviewed,cancer_and_placental_RNA,combined_paralog_assay,CGB1;CGB2,Ovarian carcinoma; healthy ovary; term placenta,Combined CGB1-2 transcripts in 13/32 ovarian cancers and term placentas; not detected in the healthy-ovary group.,"The 41% result belongs to the combined assay, not separate CGB2 positivity; protein products were not identified.",False,False,False,2026-09-23,e3b931604c30beafc135ee519d29cf72888acd62874495fe74a24d2fc72d7129,NCBI BioC XML full text bytes
Kubiczak2013_CGB_ovarian,CGB2,ENSG00000104818,"Kubiczak et al., International Journal of Molecular Sciences (2013)",10.3390/ijms140612650,23774837,https://pmc.ncbi.nlm.nih.gov/articles/PMC3709805/,Figure 3; Table 1; Methods CGB1-2 assay,peer_reviewed,cancer_and_placental_RNA,combined_paralog_assay,CGB1;CGB2,Ovarian carcinoma; healthy ovary; term placenta,Combined CGB1-2 transcripts in 13/32 ovarian cancers and term placentas; not detected in the healthy-ovary group.,"The 41% result belongs to the combined assay, not separate CGB2 positivity; protein products were not identified.",False,False,False,2026-09-23,e3b931604c30beafc135ee519d29cf72888acd62874495fe74a24d2fc72d7129,NCBI BioC XML full text bytes
Bialas2020_CGB_cancer,CGB1,ENSG00000267631,"Bialas et al., Genes (2020)",10.3390/genes11091082,32957442,https://pmc.ncbi.nlm.nih.gov/articles/PMC7565995/,Figure 1; Table 1; Figure 3F,peer_reviewed,cancer_RNA,gene_level_RNAseq_estimate,CGB1,TCGA tumor and corresponding nonmalignant tissues,Separate CGB1 RNA estimates across TCGA cancer types.,"Paralog-rich locus; secondary analysis of short-read expression estimates, not unique-read validation; no identified gene-specific protein product or antigen validation.",False,False,False,2026-09-23,48b35f7869cf066239bf7aa526de45d68926cf46601edbe59bef32ae48353843,NCBI BioC XML full text bytes
Bialas2020_CGB_cancer,CGB2,ENSG00000104818,"Bialas et al., Genes (2020)",10.3390/genes11091082,32957442,https://pmc.ncbi.nlm.nih.gov/articles/PMC7565995/,Figure 2; Table 2; Figure 3A-E,peer_reviewed,cancer_RNA,gene_level_RNAseq_estimate,CGB2,TCGA tumor and corresponding nonmalignant tissues,Separate gene-level RNA estimates across cancer types; CGB2 transcripts reported in 26 of 33 cancer types.,"Paralog-rich locus; secondary analysis of short-read expression estimates, not unique-read validation; no identified gene-specific protein product or antigen validation.",False,False,False,2026-09-23,48b35f7869cf066239bf7aa526de45d68926cf46601edbe59bef32ae48353843,NCBI BioC XML full text bytes
McKellar2025_CGB7_cancer,CGB7,ENSG00000196337,"McKellar et al., bioRxiv (2025)",10.1101/2025.05.28.656535,40501795,https://pmc.ncbi.nlm.nih.gov/articles/PMC12157434/,Figure 1B-C; Figure 2C; Table 1,preprint,cancer_RNA_and_immune_association,gene_level_RNAseq_and_CGB7_qPCR,CGB7,TCGA tumors and urothelial cancer cells/cohorts,CGB7 RNA reported in tumors; CGB7-specific qPCR signal in SCaBER; associations with immune exclusion.,Preprint; associations are not causal proof; beta-hCG protein assays and pan-CGB silencing do not establish CGB7-specific HLA peptide or T-cell recognition.,False,False,False,2026-09-23,25b0fafefd224b41a7a41eac5bbfb475b311dca70133c16ccddd9042104ecad5,NCBI BioC XML full text bytes
