source,Ensembl_Gene_ID
Gong 2021 S5 + S6,ENSG00000006659
Gong 2021 S5 + S6,ENSG00000056291
Gong 2021 S5 + S6,ENSG00000077274
Gong 2021 S5 + S6,ENSG00000099953
Gong 2021 S5 + S6,ENSG00000100593
Gong 2021 S5 + S6,ENSG00000101951
Gong 2021 S5 + S6,ENSG00000102243
Gong 2021 S5 + S6,ENSG00000103546
Gong 2021 S5 + S6,ENSG00000104827
Gong 2021 S5 + S6,ENSG00000105198
Gong 2021 S5 + S6,ENSG00000105246
Gong 2021 S5 + S6,ENSG00000105492
Gong 2021 S5 + S6,ENSG00000105825
Gong 2021 S5 + S6,ENSG00000108786
Gong 2021 S5 + S6,ENSG00000116183
Gong 2021 S5 + S6,ENSG00000120211
Gong 2021 S5 + S6,ENSG00000124260
Gong 2021 S5 + S6,ENSG00000124467
Gong 2021 S5 + S6,ENSG00000127928
Gong 2021 S5 + S6,ENSG00000134640
Gong 2021 S5 + S6,ENSG00000136487
Gong 2021 S5 + S6,ENSG00000136488
Gong 2021 S5 + S6,ENSG00000137270
Gong 2021 S5 + S6,ENSG00000137869
Gong 2021 S5 + S6,ENSG00000142684
Gong 2021 S5 + S6,ENSG00000147571
Gong 2021 S5 + S6,ENSG00000148848
Gong 2021 S5 + S6,ENSG00000155622
Gong 2021 S5 + S6,ENSG00000156009
Gong 2021 S5 + S6,ENSG00000163283
Gong 2021 S5 + S6,ENSG00000163286
Gong 2021 S5 + S6,ENSG00000167612
Gong 2021 S5 + S6,ENSG00000169495
Gong 2021 S5 + S6,ENSG00000170498
Gong 2021 S5 + S6,ENSG00000170848
Gong 2021 S5 + S6,ENSG00000170965
Gong 2021 S5 + S6,ENSG00000171402
Gong 2021 S5 + S6,ENSG00000176020
Gong 2021 S5 + S6,ENSG00000179468
Gong 2021 S5 + S6,ENSG00000182752
Gong 2021 S5 + S6,ENSG00000183269
Gong 2021 S5 + S6,ENSG00000183668
Gong 2021 S5 + S6,ENSG00000187772
Gong 2021 S5 + S6,ENSG00000188394
Gong 2021 S5 + S6,ENSG00000189052
Gong 2021 S5 + S6,ENSG00000196565
Gong 2021 S5 + S6,ENSG00000203857
Gong 2021 S5 + S6,ENSG00000204414
Gong 2021 S5 + S6,ENSG00000204614
Gong 2021 S5 + S6,ENSG00000204941
Gong 2021 S5 + S6,ENSG00000205409
Gong 2021 S5 + S6,ENSG00000213030
Gong 2021 S5 + S6,ENSG00000213218
Gong 2021 S5 + S6,ENSG00000213588
Gong 2021 S5 + S6,ENSG00000221826
Gong 2021 S5 + S6,ENSG00000221855
Gong 2021 S5 + S6,ENSG00000221878
Gong 2021 S5 + S6,ENSG00000231924
Gong 2021 S5 + S6,ENSG00000233056
Gong 2021 S5 + S6,ENSG00000234289
Gong 2021 S5 + S6,ENSG00000242221
Gong 2021 S5 + S6,ENSG00000242950
Gong 2021 S5 + S6,ENSG00000243130
Gong 2021 S5 + S6,ENSG00000243137
Gong 2021 S5 + S6,ENSG00000244476
Gong 2021 S5 + S6,ENSG00000249861
Gong 2021 S5 + S6,ENSG00000258436
Gong 2021 S5 + S6,ENSG00000259571
Gong 2021 S5 + S6,ENSG00000268964
Gong 2021 S5 + S6,ENSG00000269526
Bradley 2020 Figure 3,ENSG00000035499
Bradley 2020 Figure 3,ENSG00000077274
Bradley 2020 Figure 3,ENSG00000099953
Bradley 2020 Figure 3,ENSG00000102243
Bradley 2020 Figure 3,ENSG00000104827
Bradley 2020 Figure 3,ENSG00000136231
Bradley 2020 Figure 3,ENSG00000148848
Bradley 2020 Figure 3,ENSG00000170965
Bradley 2020 Figure 3,ENSG00000177058
Bradley 2020 Figure 3,ENSG00000189052
Prior placental nominations,ENSG00000006659
Prior placental nominations,ENSG00000104818
Prior placental nominations,ENSG00000104827
Prior placental nominations,ENSG00000105198
Prior placental nominations,ENSG00000136487
Prior placental nominations,ENSG00000136488
Prior placental nominations,ENSG00000170848
Prior placental nominations,ENSG00000189052
Prior placental nominations,ENSG00000196337
Prior placental nominations,ENSG00000221878
Prior placental nominations,ENSG00000233056
Prior placental nominations,ENSG00000242221
Prior placental nominations,ENSG00000242950
Prior placental nominations,ENSG00000243137
Prior placental nominations,ENSG00000244476
Prior placental nominations,ENSG00000249861
Prior placental nominations,ENSG00000267631
Prior placental nominations,ENSG00000268964
Prior placental nominations,ENSG00000269526
