source_tag,stage,remaining,dropped
Gong2021_placenta_PC,published,71,0
Gong2021_placenta_PC,mapped,70,1
Gong2021_placenta_PC,protein_coding,69,1
Gong2021_placenta_PC,family_eligible,68,1
Gong2021_placenta_PC,hpa_restriction,31,37
Gong2021_placenta_PC,default_panel,26,5
Gong2021_placenta_ncRNA,published,74,0
Gong2021_placenta_ncRNA,mapped,65,9
Gong2021_placenta_ncRNA,protein_coding,1,64
Gong2021_placenta_ncRNA,family_eligible,1,0
Gong2021_placenta_ncRNA,hpa_restriction,1,0
Gong2021_placenta_ncRNA,default_panel,1,0
Bradley2020_CPA,published,10,0
Bradley2020_CPA,mapped,10,0
Bradley2020_CPA,protein_coding,10,0
Bradley2020_CPA,family_eligible,10,0
Bradley2020_CPA,hpa_restriction,1,9
Bradley2020_CPA,default_panel,1,0
