source_tag,source_gene_id,source_symbol,source_biotype,evidence_type,validation_scope,Ensembl_Gene_ID,Symbol,biotype,mapping_status,protein_candidate_eligible,mapped,protein_coding,family_eligible,hpa_restriction,default_panel
Gong2021_placenta_PC,ENSG00000136488,CSH1,protein_coding,placental_RNA_enrichment,No tumor-antigen validation in this source,ENSG00000136488,CSH1,protein_coding,mapped,True,True,True,True,False,False
Gong2021_placenta_PC,ENSG00000213218,CSH2,protein_coding,placental_RNA_enrichment,No tumor-antigen validation in this source,ENSG00000213218,CSH2,protein_coding,mapped,True,True,True,True,True,True
Gong2021_placenta_PC,ENSG00000105825,TFPI2,protein_coding,placental_RNA_enrichment,No tumor-antigen validation in this source,ENSG00000105825,TFPI2,protein_coding,mapped,True,True,True,True,False,False
Gong2021_placenta_PC,ENSG00000170498,KISS1,protein_coding,placental_RNA_enrichment,No tumor-antigen validation in this source,ENSG00000170498,KISS1,protein_coding,mapped,True,True,True,True,True,True
Gong2021_placenta_PC,ENSG00000221826,PSG3,protein_coding,placental_RNA_enrichment,No tumor-antigen validation in this source,ENSG00000221826,PSG3,protein_coding,mapped,True,True,True,True,True,True
Gong2021_placenta_PC,ENSG00000182752,PAPPA,protein_coding,placental_RNA_enrichment,No tumor-antigen validation in this source,ENSG00000182752,PAPPA,protein_coding,mapped,True,True,True,True,False,False
Gong2021_placenta_PC,ENSG00000243137,PSG4,protein_coding,placental_RNA_enrichment,No tumor-antigen validation in this source,ENSG00000243137,PSG4,protein_coding,mapped,True,True,True,True,False,False
Gong2021_placenta_PC,ENSG00000137869,CYP19A1,protein_coding,placental_RNA_enrichment,No tumor-antigen validation in this source,ENSG00000137869,CYP19A1,protein_coding,mapped,True,True,True,True,True,True
Gong2021_placenta_PC,ENSG00000148848,ADAM12,protein_coding,placental_RNA_enrichment,No tumor-antigen validation in this source,ENSG00000148848,ADAM12,protein_coding,mapped,True,True,True,True,False,False
Gong2021_placenta_PC,ENSG00000242221,PSG2,protein_coding,placental_RNA_enrichment,No tumor-antigen validation in this source,ENSG00000242221,PSG2,protein_coding,mapped,True,True,True,True,True,True
Gong2021_placenta_PC,ENSG00000231924,PSG1,protein_coding,placental_RNA_enrichment,No tumor-antigen validation in this source,ENSG00000231924,PSG1,protein_coding,mapped,True,True,True,True,True,True
Gong2021_placenta_PC,ENSG00000183668,PSG9,protein_coding,placental_RNA_enrichment,No tumor-antigen validation in this source,ENSG00000183668,PSG9,protein_coding,mapped,True,True,True,True,True,True
Gong2021_placenta_PC,ENSG00000203857,HSD3B1,protein_coding,placental_RNA_enrichment,No tumor-antigen validation in this source,ENSG00000203857,HSD3B1,protein_coding,mapped,True,True,True,True,False,False
