Symbol,Aliases,Full_Name,Function,Ensembl_Gene_ID,source_databases,protein_reproductive,protein_thymus,protein_reliability,rna_reproductive,rna_thymus,protein_strict_expression,rna_reproductive_frac,rna_reproductive_and_thymus_frac,rna_deflated_reproductive_frac,rna_deflated_reproductive_and_thymus_frac,Canonical_Transcript_ID,biotype,rna_80_pct_filter,rna_90_pct_filter,rna_95_pct_filter,rna_97_pct_filter,rna_98_pct_filter,rna_99_pct_filter,passes_filters,rna_max_ntpm,never_expressed,rna_testis_ntpm,rna_ovary_ntpm,rna_placenta_ntpm,rna_max_somatic_tissue,rna_max_somatic_ntpm,rna_somatic_detected_count,rna_brain_max_ntpm,rna_heart_max_ntpm,rna_lung_max_ntpm,rna_liver_max_ntpm,rna_pancreas_max_ntpm,protein_restriction,protein_testis,protein_ovary,protein_placenta,rna_restriction,rna_restriction_level,restriction,restriction_confidence,safety_flags,nominated,non_cta_removed,hpa_restriction,default_panel
CGB1,,,cancer-germline antigen,ENSG00000267631,Bialas2020_CGB_cancer;Kubiczak2013_CGB_ovarian;Rull2005_CGB_placenta;Rull2008_CGB_RNA;placental_antigen,False,False,Approved,False,False,pituitary gland; placenta; testis,0.0411,0.0411,0.0,0.0,ENST00000301407,protein_coding,False,False,False,False,False,False,False,4.1,False,0.3,0.0,0.0,pituitary gland,4.1,2,0.0,0.0,0.0,0.0,2.6,SOMATIC,True,False,True,SOMATIC,LEAKY,SOMATIC,MODERATE,,True,True,False,False
CGB2,,,cancer-germline antigen,ENSG00000104818,Bialas2020_CGB_cancer;Kubiczak2013_CGB_ovarian;Rull2005_CGB_placenta;Rull2008_CGB_RNA;placental_antigen,True,False,Supported,True,False,placenta; testis,0.32,0.32,1.0,1.0,ENST00000359342,protein_coding,True,True,True,True,True,True,True,1.5,False,1.5,0.0,0.1,basal ganglia,0.6,0,0.6,0.1,0.0,0.0,0.0,REPRODUCTIVE,True,False,True,TESTIS,STRICT,REPRODUCTIVE,LOW,,True,True,True,True
CGB3,,,cancer-germline antigen,ENSG00000104827,Bradley2020_CPA;Gong2021_placenta_PC;placental_antigen,True,False,Enhanced,False,False,placenta; testis,0.6533,0.6533,0.7944,0.7944,ENST00000357383,protein_coding,False,False,False,False,False,False,False,9.5,False,0.3,0.0,9.5,pancreas,2.2,2,0.0,0.0,0.0,0.0,2.2,REPRODUCTIVE,True,False,True,SOMATIC,LEAKY,REPRODUCTIVE,LOW,,True,True,False,False
CGB5,,,cancer-germline antigen,ENSG00000189052,Bradley2020_CPA;Gong2021_placenta_PC;placental_antigen,True,False,Supported,False,False,placenta; testis,0.6702,0.6702,0.7422,0.7422,ENST00000301408,protein_coding,False,False,False,False,False,False,False,24.9,False,0.5,0.0,24.9,pituitary gland,8.4,2,0.0,0.0,0.1,0.0,1.9,REPRODUCTIVE,True,False,True,SOMATIC,LEAKY,REPRODUCTIVE,LOW,,True,True,False,False
CGB7,,,cancer-germline antigen,ENSG00000196337,McKellar2025_CGB7_cancer;Rull2005_CGB_placenta;placental_antigen,True,False,Supported,False,False,placenta; testis,0.0547,0.0611,0.0148,0.0148,ENST00000684222,protein_coding,False,False,False,False,False,False,False,4.3,False,1.2,0.1,0.4,skin,4.3,7,0.4,0.2,0.7,0.0,2.9,REPRODUCTIVE,True,False,True,SOMATIC,LEAKY,REPRODUCTIVE,LOW,,True,True,False,False
PSG2,,,cancer-germline antigen,ENSG00000242221,Gong2021_placenta_PC;placental_antigen,no data,no data,no data,True,False,no data,0.9855,0.9855,1.0,1.0,ENST00000406487,protein_coding,True,True,True,True,True,True,True,231.6,False,0.0,0.0,231.6,smooth muscle,0.9,0,0.1,0.0,0.2,0.0,0.2,NO_DATA,,,,PLACENTAL,STRICT,PLACENTAL,HIGH,,True,True,True,True
PSG4,,,cancer-germline antigen,ENSG00000243137,Gong2021_placenta_PC;placental_antigen,True,False,Supported,False,False,placenta; testis,0.6855,0.6855,0.715,0.715,ENST00000405312,protein_coding,False,False,False,False,False,False,False,139.5,False,0.0,0.0,139.5,parathyroid gland,53.8,4,0.0,0.0,0.1,0.0,0.5,REPRODUCTIVE,True,False,True,SOMATIC,LEAKY,REPRODUCTIVE,LOW,,True,True,False,False
PSG6,,,cancer-germline antigen,ENSG00000170848,Gong2021_placenta_PC;placental_antigen,True,False,Supported,False,False,placenta; testis,0.9619,0.9619,0.9916,0.9916,ENST00000292125,protein_coding,True,True,True,True,True,True,True,48.0,False,0.0,0.0,48.0,bone marrow,1.4,1,0.1,0.0,0.0,0.0,0.0,REPRODUCTIVE,True,False,True,SOMATIC,MODERATE,REPRODUCTIVE,LOW,,True,True,True,True
PSG7,,,cancer-germline antigen,ENSG00000221878,Gong2021_placenta_PC;placental_antigen,True,False,Supported,False,False,placenta; testis,0.678,0.678,0.9375,0.9375,ENST00000446844,protein_coding,True,True,False,False,False,False,True,4.0,False,0.0,0.0,4.0,skin,1.2,1,0.0,0.0,0.0,0.0,0.0,REPRODUCTIVE,True,False,True,SOMATIC,PERMISSIVE,REPRODUCTIVE,LOW,,True,True,True,True
ERVW-1,,,cancer-germline antigen,ENSG00000242950,Gong2021_placenta_PC;placental_antigen,no data,no data,no data,False,False,no data,0.6625,0.667,0.8537,0.8537,ENST00000603053,protein_coding,True,False,False,False,False,False,False,52.8,False,5.8,0.3,52.8,retina,6.7,4,6.7,0.2,0.6,0.3,0.7,NO_DATA,,,,SOMATIC,PERMISSIVE,SOMATIC,MODERATE,brain,True,True,False,False
