cancer_code,CTA,displayed_source,kind,alt_source
CLL,MAGEA9B,CLLMAP,genuine_gap,
NET_MIDGUT,CT47A11,GSE98894,genuine_gap,
NET_MIDGUT,CTAG1A,GSE98894,genuine_gap,
NET_MIDGUT,XAGE1A,GSE98894,genuine_gap,
NET_MIDGUT,XAGE1B,GSE98894,genuine_gap,
MTC,CTAG1B,GSE32662,genuine_gap,
MTC,MAGEA3,GSE32662,genuine_gap,
MTC,RGPD4,GSE32662,genuine_gap,
MTC,XAGE1B,GSE32662,genuine_gap,
NET_RECTAL,CT47A11,GSE98894,genuine_gap,
NET_RECTAL,CTAG1A,GSE98894,genuine_gap,
NET_RECTAL,XAGE1A,GSE98894,genuine_gap,
NET_RECTAL,XAGE1B,GSE98894,genuine_gap,
SARC_MYXLPS,CT47A11,GSE30929,genuine_gap,
SARC_MYXLPS,CT47B1,GSE30929,genuine_gap,
SARC_MYXLPS,CTAGE6,GSE30929,genuine_gap,
SARC_MYXLPS,DPPA5,GSE30929,genuine_gap,
SARC_MYXLPS,GOLGA6L6,GSE30929,genuine_gap,
SARC_MYXLPS,OOEP,GSE30929,genuine_gap,
SARC_MYXLPS,RIMBP3,GSE30929,genuine_gap,
SARC_MYXLPS,RNF148,GSE30929,genuine_gap,
SARC_MYXLPS,SPACA3,GSE30929,genuine_gap,
SARC_MYXLPS,SPATA4,GSE30929,genuine_gap,
SARC_MYXLPS,SYCP3,GSE30929,genuine_gap,
SARC_MYXLPS,TEX35,GSE30929,genuine_gap,
SARC_MYXLPS,TRIML2,GSE30929,genuine_gap,
SCLC_POU2F3,CTAG1B,SCLC,genuine_gap,
SCLC_POU2F3,CTAGE6,SCLC,genuine_gap,
SCLC_POU2F3,TEX35,SCLC,genuine_gap,
SCLC_POU2F3,XAGE1A,SCLC,genuine_gap,
SCLC_POU2F3,XAGE1B,SCLC,genuine_gap,
PANNET,CT47A11,GSE98894,recoverable_other_source,GSE118014
PANNET,CTAG1A,GSE98894,recoverable_other_source,GSE118014
PANNET,XAGE1A,GSE98894,recoverable_other_source,GSE118014
PANNET,XAGE1B,GSE98894,recoverable_other_source,GSE118014
SARC_PLEOLPS,CT47A11,GSE30929,recoverable_other_source,TREEHOUSE
SARC_PLEOLPS,CT47B1,GSE30929,recoverable_other_source,GSE75885
SARC_PLEOLPS,CTAGE6,GSE30929,recoverable_other_source,GSE75885
SARC_PLEOLPS,DPPA5,GSE30929,recoverable_other_source,GSE75885
SARC_PLEOLPS,GOLGA6L6,GSE30929,recoverable_other_source,GSE75885
SARC_PLEOLPS,OOEP,GSE30929,recoverable_other_source,GSE75885
SARC_PLEOLPS,RIMBP3,GSE30929,recoverable_other_source,GSE75885
SARC_PLEOLPS,RNF148,GSE30929,recoverable_other_source,GSE75885
SARC_PLEOLPS,SPACA3,GSE30929,recoverable_other_source,TREEHOUSE
SARC_PLEOLPS,SPATA4,GSE30929,recoverable_other_source,GSE75885
SARC_PLEOLPS,SYCP3,GSE30929,recoverable_other_source,GSE75885
SARC_PLEOLPS,TEX35,GSE30929,recoverable_other_source,GSE75885
SARC_PLEOLPS,TRIML2,GSE30929,recoverable_other_source,GSE75885
