cohort,PRAME,XAGE1A,XAGE1B,MAGEA3,PHF7,MAGEA6,MAGEA12,EGFL6,YBX2,MAGEA4,MAGEA2,H1-6,SYCP3,SYCE2,MAGEC1,CTCFL,SMC1B,TULP2,MAGEA9B,C12orf42,LRRC36,STKLD1,DPEP3,CT83,TEX14,C1orf94,HORMAD1,PIWIL1,RNF148,SSX1
Breast Invasive Carcinoma [BRCA] (n=1099),0.340735,0.0,0.0,0.0,5.548646,0.0,0.0,1.578881,5.163727,0.0,0.0,0.051744,0.18285,1.388468,0.009796,0.0,0.129848,0.044979,0.0,0.059864,0.466218,1.566479,0.033187,0.0,0.536305,0.0,0.099935,0.011226,0.15485,0.0
Multiple Myeloma [MM] (n=764),0.525921,0.0,0.0,0.124333,3.02896,0.157237,0.013058,0.0,0.007088,0.0,0.0,0.136255,0.132598,0.922418,5.441049,0.002073,0.095222,0.851285,0.0,0.16434,0.005583,0.731743,0.31568,0.0,0.603946,0.0,0.097165,0.0,2.619623,0.150201
Chronic Lymphocytic Leukemia [CLL] (n=708),0.016111,0.0,0.0,0.0,16.190477,0.0,0.0,0.0,0.030165,0.0,0.0,0.0,6.249537,3.654972,0.0,0.0,0.088625,0.174358,,3.731083,0.020117,0.689714,3.227271,0.0,0.44924,0.0,1.115413,0.0,0.0,0.0
Kidney Renal Clear Cell [KIRC] (n=531),2.836863,0.0,0.0,0.0,3.714721,0.0,0.024093,0.102507,1.29146,0.0,0.0,0.054507,0.164371,0.604302,0.0,0.020491,0.030249,0.042713,0.0,0.082592,2.183001,1.039688,0.075626,0.0,0.24242,0.0,0.083285,0.060213,0.129383,0.0
Lower Grade Glioma [LGG] (n=523),0.013513,0.0,0.0,0.0,5.669523,0.0,0.193514,0.090111,0.555766,0.0,0.0,0.0,0.185409,3.949324,0.0,0.0,0.02222,0.078203,0.0,0.114506,0.55481,3.244829,0.127794,0.0,0.367428,3.128653,0.022634,0.0,0.024833,0.0
Head and Neck Squamous Cell Carcinoma [HNSC] (n=520),1.072246,0.0,0.0,0.239037,3.03294,0.199957,0.011539,4.259804,0.737057,0.372032,0.030769,0.029504,0.080829,0.404762,0.0,0.0,0.031554,0.019994,0.046915,0.066497,0.079377,0.363025,0.019672,0.0,0.101882,0.0,2.841394,0.010635,0.036851,0.0
Lung Adenocarcinoma [LUAD] (n=515),1.588943,162.022506,113.864562,0.030174,3.294363,0.0,0.010344,6.968008,1.778923,0.0,0.0,0.032301,0.140625,0.681293,0.010294,0.0,0.097889,0.072276,0.0,0.179058,1.14039,1.058032,0.051621,0.999705,0.366279,0.0,0.726489,0.010836,0.25642,0.0
Thyroid Carcinoma [THCA] (n=512),0.010652,0.0,0.0,0.0,4.317711,0.0,0.0,0.354443,1.317739,0.0,0.0,0.0,0.215047,0.471626,0.0,0.011525,0.047972,0.02262,0.0,0.011488,0.214632,1.575125,0.016974,0.0,0.130287,0.0,0.089785,2.850524,0.055114,2.569133
Breast Invasive Carcinoma — Luminal A [BRCA_LumA] (n=501),0.152049,0.0,0.0,0.0,6.532128,0.0,0.0,1.321591,3.985396,0.0,0.0,0.054629,0.194526,1.372051,0.009518,0.0,0.066174,0.047279,0.0,0.062456,0.551186,1.765115,0.037217,0.0,0.545654,0.0,0.081717,0.011263,0.178491,0.0
Lung Squamous Cell Carcinoma [LUSC] (n=498),27.767994,0.299555,0.512281,2.383591,3.373333,1.320138,0.042724,13.375539,1.456145,8.264679,0.106958,0.0,0.114349,0.679899,0.010614,0.012717,0.147157,0.051715,4.010723,0.145587,0.450658,0.569375,0.044245,0.0,0.256874,0.0,2.810867,0.009754,0.062595,0.0
