cancer_code,burden_category
ACC,adrenal
ATRT,pediatric_cancers
BLCA,bladder
BRCA,breast
BRCA_Basal,breast
BRCA_HER2,breast
BRCA_LumA,breast
BRCA_LumB,breast
BRCA_Normal,breast
CESC,cervix
CHOL,liver
CHOR,soft_tissue_and_bone_sarcoma
COAD,colorectal
DLBC,non_hodgkin_lymphoma
ESCA,esophagus
EWS,soft_tissue_and_bone_sarcoma
GBM,brain_cns
HEPB,pediatric_cancers
HNSC,head_and_neck
HNSC_HPV_neg,head_and_neck
HNSC_HPV_pos,head_and_neck
KICH,kidney
KIRC,kidney
KIRP,kidney
LAML,leukemia_AML
LGG,brain_cns
LIHC,liver
MBL,pediatric_cancers
MESO,mesothelioma
NUTM,nut_carcinoma
OS,soft_tissue_and_bone_sarcoma
OV,ovary
PAAD,pancreas
PCPG,adrenal
PRAD,prostate
RB,pediatric_cancers
READ,colorectal
RMS_ARMS,soft_tissue_and_bone_sarcoma
RMS_ERMS,soft_tissue_and_bone_sarcoma
RMS_PRMS,soft_tissue_and_bone_sarcoma
RMS_SSRMS,soft_tissue_and_bone_sarcoma
SARC,soft_tissue_and_bone_sarcoma
SARC_LMS,soft_tissue_and_bone_sarcoma
SARC_LPS_UNSPEC,soft_tissue_and_bone_sarcoma
SARC_MYXFIB,soft_tissue_and_bone_sarcoma
SARC_SYN,soft_tissue_and_bone_sarcoma
SARC_UPS,soft_tissue_and_bone_sarcoma
SKCM,melanoma
STAD,stomach
TGCT,testicular_germ_cell
THCA,thyroid
THYM,head_and_neck
UCEC,uterus_endometrium
UCS,uterus_endometrium
UVM,melanoma
LUAD,lung
LUSC,lung
