cancer_code,source_status,reference_code,source_project,source_cohort,accession,source_url,assay,source_scope,estimated_samples,processing_plan,gene_id_plan,normalization_plan,notes
BRCA_Basal,parent_sample_split_ready,BRCA,TCGA,TCGA_BRCA_PAM50,TCGA-BRCA,https://portal.gdc.cancer.gov/projects/TCGA-BRCA,bulk RNA-seq,TCGA BRCA PAM50 basal-like samples,,Aggregate GDC STAR-count TPM by PAM50 subtype,GENCODE IDs harmonized to Ensembl112,TPM and TPM_clean,Direct subtype reference should be generated from TCGA sample expression plus PAM50 calls
BRCA_HER2,parent_sample_split_ready,BRCA,TCGA,TCGA_BRCA_PAM50,TCGA-BRCA,https://portal.gdc.cancer.gov/projects/TCGA-BRCA,bulk RNA-seq,TCGA BRCA PAM50 HER2-enriched samples,,Aggregate GDC STAR-count TPM by PAM50 subtype,GENCODE IDs harmonized to Ensembl112,TPM and TPM_clean,Direct subtype reference should be generated from TCGA sample expression plus PAM50 calls
BRCA_LumA,parent_sample_split_ready,BRCA,TCGA,TCGA_BRCA_PAM50,TCGA-BRCA,https://portal.gdc.cancer.gov/projects/TCGA-BRCA,bulk RNA-seq,TCGA BRCA PAM50 LumA samples,,Aggregate GDC STAR-count TPM by PAM50 subtype,GENCODE IDs harmonized to Ensembl112,TPM and TPM_clean,Direct subtype reference should be generated from TCGA sample expression plus PAM50 calls
BRCA_LumB,parent_sample_split_ready,BRCA,TCGA,TCGA_BRCA_PAM50,TCGA-BRCA,https://portal.gdc.cancer.gov/projects/TCGA-BRCA,bulk RNA-seq,TCGA BRCA PAM50 LumB samples,,Aggregate GDC STAR-count TPM by PAM50 subtype,GENCODE IDs harmonized to Ensembl112,TPM and TPM_clean,Direct subtype reference should be generated from TCGA sample expression plus PAM50 calls
BRCA_Normal,parent_sample_split_ready,BRCA,TCGA,TCGA_BRCA_PAM50,TCGA-BRCA,https://portal.gdc.cancer.gov/projects/TCGA-BRCA,bulk RNA-seq,TCGA BRCA PAM50 normal-like samples,,Aggregate GDC STAR-count TPM by PAM50 subtype,GENCODE IDs harmonized to Ensembl112,TPM and TPM_clean,Direct subtype reference should be generated from TCGA sample expression plus PAM50 calls
HNSC_HPVpos,parent_sample_split_ready,HNSC,TCGA,TCGA_HNSC_HPV,TCGA-HNSC,https://portal.gdc.cancer.gov/projects/TCGA-HNSC,bulk RNA-seq,TCGA HNSC HPV-positive samples,,Aggregate GDC STAR-count TPM by HPV annotation,GENCODE IDs harmonized to Ensembl112,TPM and TPM_clean,Direct subtype reference should be generated from TCGA sample expression plus HPV status
HNSC_HPVneg,parent_sample_split_ready,HNSC,TCGA,TCGA_HNSC_HPV,TCGA-HNSC,https://portal.gdc.cancer.gov/projects/TCGA-HNSC,bulk RNA-seq,TCGA HNSC HPV-negative samples,,Aggregate GDC STAR-count TPM by HPV annotation,GENCODE IDs harmonized to Ensembl112,TPM and TPM_clean,Direct subtype reference should be generated from TCGA sample expression plus HPV status
LUAD_EGFR,parent_sample_split_ready,LUAD,TCGA,TCGA_LUAD_MUTATION,TCGA-LUAD,https://portal.gdc.cancer.gov/projects/TCGA-LUAD,bulk RNA-seq,TCGA LUAD EGFR-mutant samples,,Aggregate GDC STAR-count TPM by mutation class,GENCODE IDs harmonized to Ensembl112,TPM and TPM_clean,Direct subtype reference should be generated from TCGA sample expression plus mutation calls
LUAD_KRAS,parent_sample_split_ready,LUAD,TCGA,TCGA_LUAD_MUTATION,TCGA-LUAD,https://portal.gdc.cancer.gov/projects/TCGA-LUAD,bulk RNA-seq,TCGA LUAD KRAS-mutant samples,,Aggregate GDC STAR-count TPM by mutation class,GENCODE IDs harmonized to Ensembl112,TPM and TPM_clean,Direct subtype reference should be generated from TCGA sample expression plus mutation calls
LUAD_STK11,parent_sample_split_ready,LUAD,TCGA,TCGA_LUAD_MUTATION,TCGA-LUAD,https://portal.gdc.cancer.gov/projects/TCGA-LUAD,bulk RNA-seq,TCGA LUAD STK11 or KEAP1 altered samples,,Aggregate GDC STAR-count TPM by mutation class,GENCODE IDs harmonized to Ensembl112,TPM and TPM_clean,Direct subtype reference should be generated from TCGA sample expression plus mutation calls
