burden_category,us_incidence_pct,us_mortality_pct,world_incidence_pct,world_mortality_pct,confidence,source,notes,aggregation,source_anchor
lung,11.0,20.0,12.4,18.7,high,ACS-CFF2024;GLOBOCAN2022,highest mortality:incidence of common sites,single_site,PMID:38230766;DOI:10.3322/caac.21834
breast,15.0,7.0,11.6,6.9,high,ACS-CFF2024;GLOBOCAN2022,female breast,female_breast,PMID:38230766;DOI:10.3322/caac.21834
prostate,16.0,6.0,7.3,4.1,high,ACS-CFF2024;GLOBOCAN2022,low mortality:incidence (indolent fraction),single_site,PMID:38230766;DOI:10.3322/caac.21834
colorectal,8.0,9.0,9.6,9.3,high,ACS-CFF2024;GLOBOCAN2022,COAD+READ,COAD+READ,PMID:38230766;DOI:10.3322/caac.21834
pancreas,3.0,8.0,4.1,4.8,high,ACS-CFF2024;GLOBOCAN2022,high mortality:incidence,single_site,PMID:38230766;DOI:10.3322/caac.21834
liver,2.0,5.0,4.3,7.8,high,ACS-CFF2024;GLOBOCAN2022,liver+intrahepatic bile duct; world>>US (GLOBOCAN2022 866k=4.3%),liver+intrahepatic_bile_duct,PMID:38230766;DOI:10.3322/caac.21834
stomach,1.5,1.8,4.9,6.8,high,ACS-CFF2024;GLOBOCAN2022,world>>US,single_site,PMID:38230766;DOI:10.3322/caac.21834
esophagus,1.0,2.7,4.6,4.6,medium,ACS-CFF2024;GLOBOCAN2022,adeno(West)/squamous(Asia),single_site,PMID:38230766;DOI:10.3322/caac.21834
bladder,4.0,3.0,3.0,2.0,medium,ACS-CFF2024;GLOBOCAN2022,,single_site,PMID:38230766;DOI:10.3322/caac.21834
kidney,4.0,2.0,2.5,1.8,medium,ACS-CFF2024;GLOBOCAN2022,kidney+renal pelvis,kidney+renal_pelvis,PMID:38230766;DOI:10.3322/caac.21834
melanoma,5.0,1.3,1.7,0.6,high,ACS-CFF2024;GLOBOCAN2022,cutaneous; low mortality share,single_site,PMID:38230766;DOI:10.3322/caac.21834
ovary,1.6,2.6,1.6,2.1,medium,ACS-CFF2024;GLOBOCAN2022,HGSOC-dominant,single_site,PMID:38230766;DOI:10.3322/caac.21834
uterus_endometrium,3.0,2.0,2.2,1.0,medium,ACS-CFF2024;GLOBOCAN2022,corpus uteri,corpus_uteri,PMID:38230766;DOI:10.3322/caac.21834
cervix,0.8,0.7,3.3,3.6,high,ACS-CFF2024;GLOBOCAN2022,world>>US (screening/HPV gap),single_site,PMID:38230766;DOI:10.3322/caac.21834
head_and_neck,3.5,1.8,5.0,4.5,medium,ACS-CFF2024;GLOBOCAN2022,oral+pharynx+larynx aggregate (incl larynx); world adds nasopharynx,oral_cavity+pharynx+larynx (world +nasopharynx),PMID:38230766;DOI:10.3322/caac.21834
thyroid,2.0,0.4,4.1,0.5,high,ACS-CFF2024;GLOBOCAN2022,lowest mortality:incidence; overdiagnosis (GLOBOCAN2022 821k=4.1%),single_site,PMID:38230766;DOI:10.3322/caac.21834
