family,lineage_group
carcinoma-breast,Epithelial
carcinoma-gi,Epithelial
carcinoma-gu,Epithelial
carcinoma-head-neck,Epithelial
carcinoma-lung,Epithelial
carcinoma-mesothelial,Epithelial
carcinoma-other,Epithelial
carcinoma-skin,Epithelial
salivary,Epithelial
thymic,Epithelial
endocrine-epithelial,Epithelial
sarcoma,Sarcoma
heme-bcell,Heme
heme-tcell,Heme
heme-myeloid,Heme
heme-plasma,Heme
melanoma,Melanoma
neuroendocrine,NET
endocrine-neuroendocrine,NET
germ-cell,Germ cell
embryonal,Embryonal
cns-embryonal,Embryonal
cns-glial,CNS
cns-ependymal,CNS
cns-choroid,CNS
cns-sellar,CNS
cns-meningeal,CNS
