Ensembl_Gene_ID,Symbol,cancer_types,num_cancer_types,max_FPKM,SM_category,TDL_category,DRUG
ENSG00000046604,DSG2,CHOL;COAD;ESCA;LUSC;PAAD;READ;STAD,7,64.7352,Discovery_Precedence,Tbio,
ENSG00000100558,PLEK2,COAD;HNSC;KICH;PAAD;READ;THYM,6,50.86045,Unknown,Tbio,
ENSG00000039068,CDH1,CHOL;COAD;PRAD;READ,4,145.008,Discovery_Precedence,Tbio,
ENSG00000062038,CDH3,CESC;ESCA;LUSC;THYM,4,129.66,Discovery_Precedence,Tbio,
ENSG00000095970,TREM2,KIRC;KIRP;LGG;MESO,4,37.361,Discovery_Precedence,Tbio,
ENSG00000148219,ASTN2,KICH;LGG;PCPG;PRAD,4,33.2806,Discovery_Precedence,Tbio,
ENSG00000149418,ST14,COAD;PAAD;READ,3,169.694,Discovery_Precedence,Tchem,
ENSG00000147676,MAL2,CESC;LUAD;OV,3,137.596,Unknown,Tdark,
ENSG00000145555,MYO10,KICH;LGG;SKCM,3,49.319,Discovery_Precedence,Tbio,
ENSG00000105976,MET,ESCA;LUAD;MESO,3,25.4597,Clinical_Precedence,Tclin,1.0
ENSG00000170382,LRRN2,KICH;OV;PCPG,3,20.8595,Unknown,Tdark,
ENSG00000091129,NRCAM,GBM;PCPG,2,116.6375,Unknown,Tbio,
ENSG00000013588,GPRC5A,LUAD;PAAD,2,112.836,Unknown,Tbio,
ENSG00000204385,SLC44A4,PAAD;READ,2,104.661,Unknown,Tbio,
ENSG00000162493,PDPN,GBM;TGCT,2,100.6595,Discovery_Precedence,Tbio,
ENSG00000110400,PVRL1,HNSC;LUSC,2,83.84385,Discovery_Precedence,Tbio,
ENSG00000006118,TMEM132A,ACC;UCEC,2,79.9697,Unknown,Tdark,
ENSG00000106025,TSPAN12,ACC;KIRC,2,73.8323,Unknown,Tbio,
ENSG00000064651,SLC12A2,COAD;READ,2,73.27415,Predicted_Tractable,Tclin,
ENSG00000018236,CNTN1,LGG;PCPG,2,69.3623,Unknown,Tbio,
ENSG00000228594,C1orf233,ACC;UVM,2,63.5922,,Tdark,
ENSG00000164638,SLC29A4,KICH;PCPG,2,55.88485,Unknown,Tbio,
ENSG00000130226,DPP6,LGG;PCPG,2,48.941,Predicted_Tractable,Tbio,
ENSG00000168679,SLC16A4,KIRC;KIRP,2,45.2507,Unknown,Tbio,
ENSG00000196338,NLGN3,GBM;LGG,2,44.209,Predicted_Tractable,Tbio,
ENSG00000178623,GPR35,COAD;READ,2,43.9753,Discovery_Precedence,Tchem,
ENSG00000163975,MFI2,MESO;SKCM,2,43.7093,Unknown,Tbio,
ENSG00000137868,STRA6,PCPG;UCS,2,41.27405,Unknown,Tbio,
ENSG00000115221,ITGB6,LUAD;PAAD,2,40.1204,Discovery_Precedence,Tbio,
ENSG00000143036,SLC44A3,CHOL;KIRP,2,40.04555,Unknown,Tdark,
ENSG00000179913,B3GNT3,CHOL;PAAD,2,39.929,Unknown,Tbio,
ENSG00000174607,UGT8,KICH;LGG,2,36.77505,Unknown,Tbio,
ENSG00000143061,IGSF3,HNSC;SKCM,2,32.2909,Unknown,Tbio,
ENSG00000171208,NETO2,KIRC;TGCT,2,26.3393,Unknown,Tbio,
ENSG00000163814,CDCP1,ESCA;HNSC,2,26.05965,Unknown,Tbio,
ENSG00000138696,BMPR1B,KICH;PRAD,2,23.67985,Discovery_Precedence,Tchem,
