Ensembl_Gene_ID,Symbol,category
ENSG00000232926,AC000078.1,ribosomal_protein
ENSG00000230194,AC000081.1,ribosomal_protein
ENSG00000237347,AC004461.1,ribosomal_protein
ENSG00000235573,AC005005.2,ribosomal_protein
ENSG00000266944,AC005262.1,ribosomal_protein
ENSG00000267398,AC006130.2,ribosomal_protein
ENSG00000240673,AC006539.1,ribosomal_protein
ENSG00000224415,AC007683.1,ribosomal_protein
ENSG00000213303,AC008481.1,ribosomal_protein
ENSG00000213304,AC008481.2,ribosomal_protein
ENSG00000251374,AC010598.1,ribosomal_protein
ENSG00000267589,AC011444.4,ribosomal_protein
ENSG00000243024,AC012158.1,ribosomal_protein
ENSG00000213293,AC012618.1,ribosomal_protein
ENSG00000234750,AC012618.2,ribosomal_protein
ENSG00000214259,AC018695.1,ribosomal_protein
ENSG00000279483,AC090498.1,ribosomal_protein
ENSG00000274700,AC091304.1,ribosomal_protein
ENSG00000273716,AC092670.1,ribosomal_protein
ENSG00000244086,AC110749.1,ribosomal_protein
ENSG00000237550,AC243919.1,ribosomal_protein
ENSG00000234735,AL022237.1,ribosomal_protein
ENSG00000236132,AL022331.1,ribosomal_protein
ENSG00000215450,AL022342.1,ribosomal_protein
ENSG00000226396,AL031727.1,ribosomal_protein
ENSG00000219023,AL033519.3,ribosomal_protein
ENSG00000237214,AL080243.2,ribosomal_protein
ENSG00000214093,AL096701.1,ribosomal_protein
ENSG00000229169,AL096701.2,ribosomal_protein
ENSG00000239783,AL121776.1,ribosomal_protein
ENSG00000234573,AL121890.1,ribosomal_protein
ENSG00000215444,AL138807.1,ribosomal_protein
ENSG00000217130,AL139100.1,ribosomal_protein
ENSG00000235922,AL354766.1,ribosomal_protein
ENSG00000219470,AL355802.1,ribosomal_protein
ENSG00000287102,AL356361.3,ribosomal_protein
ENSG00000216616,AL356421.1,ribosomal_protein
ENSG00000216813,AL358178.1,ribosomal_protein
ENSG00000214641,AL445529.1,ribosomal_protein
ENSG00000220614,AL583834.1,ribosomal_protein
ENSG00000214526,AP000343.1,ribosomal_protein
ENSG00000215464,AP000354.1,ribosomal_protein
ENSG00000180211,FO393411.1,ribosomal_protein
ENSG00000147403,RPL10,ribosomal_protein
ENSG00000198755,RPL10A,ribosomal_protein
ENSG00000244691,RPL10AP1,ribosomal_protein
ENSG00000188873,RPL10AP2,ribosomal_protein
ENSG00000215264,RPL10AP3,ribosomal_protein
ENSG00000235467,RPL10AP5,ribosomal_protein
ENSG00000226360,RPL10AP6,ribosomal_protein
ENSG00000217026,RPL10P1,ribosomal_protein
ENSG00000216347,RPL10P10,ribosomal_protein
ENSG00000230853,RPL10P11,ribosomal_protein
ENSG00000234040,RPL10P12,ribosomal_protein
ENSG00000258245,RPL10P13,ribosomal_protein
ENSG00000260031,RPL10P14,ribosomal_protein
ENSG00000267119,RPL10P15,ribosomal_protein
ENSG00000178464,RPL10P16,ribosomal_protein
ENSG00000225196,RPL10P17,ribosomal_protein
ENSG00000253995,RPL10P18,ribosomal_protein
ENSG00000233609,RPL10P19,ribosomal_protein
ENSG00000174572,RPL10P2,ribosomal_protein
ENSG00000230734,RPL10P3,ribosomal_protein
ENSG00000238003,RPL10P4,ribosomal_protein
ENSG00000235644,RPL10P5,ribosomal_protein
