member_symbol,protein_group,basis
CT45A1,CT45A1,>=90%_aa_identity
CT45A10,CT45A1,>=90%_aa_identity
CT45A2,CT45A1,>=90%_aa_identity
CT45A3,CT45A1,>=90%_aa_identity
CT45A7,CT45A1,>=90%_aa_identity
CT47A1,CT47A1,>=90%_aa_identity
CT47A11,CT47A1,>=90%_aa_identity
CT47A12,CT47A1,>=90%_aa_identity
CT47A2,CT47A1,>=90%_aa_identity
CT47A3,CT47A1,>=90%_aa_identity
CT47A4,CT47A1,>=90%_aa_identity
CT47A5,CT47A1,>=90%_aa_identity
CT47A6,CT47A1,>=90%_aa_identity
CT47A7,CT47A1,>=90%_aa_identity
CTAGE6,CTAGE6,>=90%_aa_identity
CTAGE9,CTAGE6,>=90%_aa_identity
CXorf49,CXorf49,>=90%_aa_identity
CXorf49B,CXorf49,>=90%_aa_identity
FAM25C,FAM25C,>=90%_aa_identity
FAM25G,FAM25C,>=90%_aa_identity
GAGE1,GAGE1,>=90%_aa_identity
GAGE12C,GAGE1,>=90%_aa_identity
GAGE12E,GAGE1,>=90%_aa_identity
GAGE12F,GAGE1,>=90%_aa_identity
GAGE12G,GAGE1,>=90%_aa_identity
GAGE12H,GAGE1,>=90%_aa_identity
GAGE12J,GAGE1,>=90%_aa_identity
GAGE13,GAGE1,>=90%_aa_identity
GAGE2A,GAGE1,>=90%_aa_identity
GAGE2E,GAGE1,>=90%_aa_identity
GOLGA6A,GOLGA6A,>=90%_aa_identity
GOLGA6B,GOLGA6A,>=90%_aa_identity
GOLGA6C,GOLGA6A,>=90%_aa_identity
GOLGA6D,GOLGA6A,>=90%_aa_identity
HNRNPCL1,HNRNPCL1,>=90%_aa_identity
HNRNPCL2,HNRNPCL1,>=90%_aa_identity
MAGEA3,MAGEA3,>=90%_aa_identity
MAGEA6,MAGEA3,>=90%_aa_identity
MAGEA9,MAGEA9,>=90%_aa_identity
MAGEA9B,MAGEA9,>=90%_aa_identity
CTAG1A,NY-ESO-1,curated_same_protein
CTAG1B,NY-ESO-1,curated_same_protein
PAGE2,PAGE2,>=90%_aa_identity
PAGE2B,PAGE2,>=90%_aa_identity
PSG1,PSG1,>=90%_aa_identity
PSG3,PSG1,>=90%_aa_identity
PSG8,PSG1,>=90%_aa_identity
RBMY1A1,RBMY1A1,>=90%_aa_identity
RBMY1B,RBMY1A1,>=90%_aa_identity
RBMY1D,RBMY1A1,>=90%_aa_identity
RBMY1E,RBMY1A1,>=90%_aa_identity
RBMY1F,RBMY1A1,>=90%_aa_identity
SPANXA1,SPANXA1,>=90%_aa_identity
SPANXA2,SPANXA1,>=90%_aa_identity
SPANXC,SPANXA1,>=90%_aa_identity
SPANXD,SPANXA1,>=90%_aa_identity
SPATA31A1,SPATA31A1,>=90%_aa_identity
SPATA31A3,SPATA31A1,>=90%_aa_identity
SPATA31A5,SPATA31A1,>=90%_aa_identity
SPATA31A6,SPATA31A1,>=90%_aa_identity
SPATA31A7,SPATA31A1,>=90%_aa_identity
SPATA31D3,SPATA31D3,>=90%_aa_identity
SPATA31D4,SPATA31D3,>=90%_aa_identity
SSX2,SSX2,>=90%_aa_identity
SSX2B,SSX2,>=90%_aa_identity
SSX3,SSX2,>=90%_aa_identity
TSPY1,TSPY1,>=90%_aa_identity
TSPY10,TSPY1,>=90%_aa_identity
TSPY2,TSPY1,>=90%_aa_identity
TSPY3,TSPY1,>=90%_aa_identity
TSPY4,TSPY1,>=90%_aa_identity
TSPY8,TSPY1,>=90%_aa_identity
TSPY9,TSPY1,>=90%_aa_identity
TUBA3C,TUBA3C,>=90%_aa_identity
TUBA3E,TUBA3C,>=90%_aa_identity
VCX,VCX,>=90%_aa_identity
VCX3A,VCX,>=90%_aa_identity
VCY,VCY,>=90%_aa_identity
VCY1B,VCY,>=90%_aa_identity
XAGE1A,XAGE1,curated_same_protein
XAGE1B,XAGE1,curated_same_protein
