Short_Gene_Symbol,Short_Gene_Ensembl_ID,Long_Gene_Symbol,Long_Gene_Ensembl_ID,Expected_Long_Over_Short_Ratio
SSBP1,ENSG00000106028,RTRAF,ENSG00000087302,0.97
C18orf21,ENSG00000141428,CWC27,ENSG00000153015,0.96
TTC32,ENSG00000183891,PDS5B,ENSG00000083642,0.88
PIGBOS1,ENSG00000225973,ZNF316,ENSG00000205903,1.18
C18orf21,ENSG00000141428,PANK2,ENSG00000125779,0.75
PSMA3,ENSG00000100567,GSPT1,ENSG00000103342,0.71
LSM1,ENSG00000175324,LARS1,ENSG00000133706,1.17
NSMCE2,ENSG00000156831,CPSF2,ENSG00000165934,0.83
THOC7,ENSG00000163634,HNRNPR,ENSG00000125944,0.75
EXOSC1,ENSG00000171311,WDR33,ENSG00000136709,0.74
NSMCE2,ENSG00000156831,PHF3,ENSG00000118482,1.04
SDHAF2,ENSG00000167985,VTA1,ENSG00000009844,0.95
CDC26,ENSG00000176386,RBM23,ENSG00000100461,1.06
PHF5A,ENSG00000100410,ADNP,ENSG00000101126,0.94
HPF1,ENSG00000056050,CUL4B,ENSG00000158290,0.93
RBX1,ENSG00000100387,HNRNPR,ENSG00000125944,1.03
MRPL1,ENSG00000169288,USP9X,ENSG00000124486,1.07
NSMCE2,ENSG00000156831,CWC27,ENSG00000153015,0.89
ZNHIT3,ENSG00000273611,SUGT1,ENSG00000165416,0.85
EMC7,ENSG00000134153,CLTC,ENSG00000141367,1.16
