Cancer_Type,Symbol,Ensembl_Gene_ID,direction,reference
ACC,CYP11B1,ENSG00000160882,high,
ACC,CYP11B2,ENSG00000179142,high,
ACC,CYP21A2,ENSG00000231852,high,
ACC,NR5A1,ENSG00000136931,high,
ACC,STAR,ENSG00000147465,high,
BL,BCL6,ENSG00000113916,high,
BL,CD19,ENSG00000177455,high,
BL,CD79A,ENSG00000105369,high,
BL,CD79B,ENSG00000007312,high,
BL,MME,ENSG00000196549,high,
BL,MS4A1,ENSG00000156738,high,
BLCA,GATA3,ENSG00000107485,high,
BLCA,KRT20,ENSG00000171431,high,
BLCA,PPARG,ENSG00000132170,high,
BLCA,UPK1A,ENSG00000105668,high,
BLCA,UPK2,ENSG00000110375,high,
BLCA,UPK3A,ENSG00000100373,high,
BRCA,AGR2,ENSG00000106541,high,
BRCA,ESR1,ENSG00000091831,high,
BRCA,FOXA1,ENSG00000129514,high,
BRCA,GATA3,ENSG00000107485,high,
BRCA,TFF1,ENSG00000160182,high,
BRCA,TFF3,ENSG00000160180,high,
BRCA_Basal,KRT5,ENSG00000186081,high,
BRCA_Basal,KRT14,ENSG00000186847,high,
BRCA_Basal,KRT17,ENSG00000128422,high,
BRCA_Basal,KRT6B,ENSG00000185479,high,
BRCA_Basal,FOXC1,ENSG00000054598,high,
BRCA_Basal,MIA,ENSG00000261857,high,
BRCA_Basal,GABRP,ENSG00000094755,high,
BRCA_Basal,SOX10,ENSG00000100146,high,
CESC,CDKN2A,ENSG00000147889,high,
CESC,DSG3,ENSG00000134757,high,
CESC,KRT17,ENSG00000128422,high,
CESC,SOX2,ENSG00000181449,high,
CESC,TP63,ENSG00000073282,high,
CHOL,EPCAM,ENSG00000119888,high,
CHOL,HNF1B,ENSG00000275410,high,
CHOL,KRT19,ENSG00000171345,high,
CHOL,KRT7,ENSG00000135480,high,
CHOL,SOX9,ENSG00000125398,high,
CML,ANPEP,ENSG00000166825,high,
CML,CD33,ENSG00000105383,high,
CML,ELANE,ENSG00000197561,high,
CML,KIT,ENSG00000157404,high,
CML,LYZ,ENSG00000090382,high,
CML,MPO,ENSG00000005381,high,
COAD,CDH17,ENSG00000079112,high,
COAD,CDX2,ENSG00000165556,high,
COAD,KRT20,ENSG00000171431,high,
COAD,MUC2,ENSG00000198788,high,
COAD,SATB2,ENSG00000119042,high,
COAD,VIL1,ENSG00000127831,high,
CTCL,CD3D,ENSG00000167286,high,
CTCL,CD4,ENSG00000010610,high,
CTCL,DPP4,ENSG00000197635,high,
CTCL,IL2RA,ENSG00000134460,high,
CTCL,PTK7,ENSG00000112655,high,
CTCL,STAT3,ENSG00000168610,high,
DLBC,BCL6,ENSG00000113916,high,
DLBC,CD19,ENSG00000177455,high,
DLBC,CD20,ENSG00000156738,high,
DLBC,IRF4,ENSG00000137265,high,
DLBC,PAX5,ENSG00000196092,high,
ESCA,CDX2,ENSG00000165556,high,
ESCA,KRT14,ENSG00000186847,high,
ESCA,KRT5,ENSG00000186081,high,
ESCA,SOX2,ENSG00000181449,high,
ESCA,TP63,ENSG00000073282,high,
FL,BCL2,ENSG00000171791,high,
FL,BCL6,ENSG00000113916,high,
FL,CD19,ENSG00000177455,high,
FL,CD79A,ENSG00000105369,high,
FL,MME,ENSG00000196549,high,
FL,MS4A1,ENSG00000156738,high,
GBM,FABP7,ENSG00000164434,high,
GBM,GFAP,ENSG00000131095,high,
GBM,NES,ENSG00000132688,high,
GBM,OLIG2,ENSG00000205927,high,
GBM,SOX2,ENSG00000181449,high,
GBM,SOX9,ENSG00000125398,high,
HCL,ANXA1,ENSG00000135046,high,
HCL,CD22,ENSG00000012124,high,
HCL,IL2RA,ENSG00000134460,high,
HCL,ITGAE,ENSG00000083457,high,
HCL,ITGAX,ENSG00000140678,high,
HCL,MS4A1,ENSG00000156738,high,
HL,CD274,ENSG00000120217,high,
HL,FUT4,ENSG00000196371,high,
HL,MKI67,ENSG00000148773,high,
HL,PAX5,ENSG00000196092,high,
HL,PDCD1LG2,ENSG00000197646,high,
HL,TNFRSF8,ENSG00000120949,high,
HNSC,CDKN2A,ENSG00000147889,high,
HNSC,KRT14,ENSG00000186847,high,
HNSC,KRT5,ENSG00000186081,high,
HNSC,SOX2,ENSG00000181449,high,
HNSC,TP63,ENSG00000073282,high,
KICH,ATP6V0D2,ENSG00000147614,high,
KICH,ATP6V1B1,ENSG00000116039,high,
KICH,FOXI1,ENSG00000168269,high,
KICH,KIT,ENSG00000157404,high,
KICH,PAX8,ENSG00000125618,high,
KICH,PVALB,ENSG00000100362,high,
KIRC,ANGPTL4,ENSG00000167772,high,
KIRC,CA9,ENSG00000107159,high,
KIRC,CP,ENSG00000047457,high,
KIRC,NDUFA4L2,ENSG00000185633,high,
KIRC,PAX8,ENSG00000125618,high,
KIRC,PLIN2,ENSG00000147872,high,
KIRP,AMACR,ENSG00000242110,high,
KIRP,CDH1,ENSG00000039068,high,
KIRP,KRT8,ENSG00000170421,high,
KIRP,MET,ENSG00000105976,high,
KIRP,PAX2,ENSG00000075891,high,
KIRP,PAX8,ENSG00000125618,high,
LAML,CD34,ENSG00000174059,high,
LAML,ELANE,ENSG00000197561,high,
LAML,FLT3,ENSG00000122025,high,
LAML,KIT,ENSG00000157404,high,
LAML,MPO,ENSG00000005381,high,
LGG,ATRX,ENSG00000085224,high,
LGG,FABP7,ENSG00000164434,high,
LGG,GFAP,ENSG00000131095,high,
LGG,IDH1,ENSG00000138413,high,
LGG,MBP,ENSG00000197971,high,
LGG,OLIG2,ENSG00000205927,high,
LGG,SOX2,ENSG00000181449,high,
LIHC,AFP,ENSG00000081051,high,
LIHC,ALB,ENSG00000163631,high,
LIHC,APOB,ENSG00000084674,high,
LIHC,CYP3A4,ENSG00000160868,high,
LIHC,F2,ENSG00000180210,high,
LIHC,HNF4A,ENSG00000101076,high,
LUAD,NAPSA,ENSG00000131400,high,
LUAD,NKX2-1,ENSG00000136352,high,
LUAD,SCGB1A1,ENSG00000149021,high,
LUAD,SFTPA1,ENSG00000122852,high,
LUAD,SFTPB,ENSG00000168878,high,
LUAD,SFTPC,ENSG00000168484,high,
NET_LUNG,CALCA,ENSG00000110680,high,
NET_LUNG,CHGA,ENSG00000100604,high,
NET_LUNG,ENO2,ENSG00000111674,high,
NET_LUNG,INSM1,ENSG00000173404,high,
NET_LUNG,NKX2-1,ENSG00000136352,high,
NET_LUNG,SYP,ENSG00000102003,high,
LUSC,DSG3,ENSG00000134757,high,
LUSC,KRT14,ENSG00000186847,high,
LUSC,KRT5,ENSG00000186081,high,
LUSC,SOX2,ENSG00000181449,high,
LUSC,TP63,ENSG00000073282,high,
LUSC,TRIM29,ENSG00000137699,high,
MCL,BCL2,ENSG00000171791,high,
MCL,CCND1,ENSG00000110092,high,
MCL,CD5,ENSG00000110448,high,
MCL,CD79A,ENSG00000105369,high,
MCL,MS4A1,ENSG00000156738,high,
MCL,SOX11,ENSG00000176887,high,
NEC_MERKEL,ATOH1,ENSG00000172238,high,
NEC_MERKEL,CHGA,ENSG00000100604,high,
NEC_MERKEL,ENO2,ENSG00000111674,high,
NEC_MERKEL,KRT20,ENSG00000171431,high,
NEC_MERKEL,NEUROD1,ENSG00000162992,high,
NEC_MERKEL,SYP,ENSG00000102003,high,
MESO,BAP1,ENSG00000163930,high,
MESO,CALB2,ENSG00000172137,high,
MESO,MSLN,ENSG00000102854,high,
MESO,UPK3B,ENSG00000243566,high,
MESO,WT1,ENSG00000184937,high,
NET_MIDGUT,CHGA,ENSG00000100604,high,
NET_MIDGUT,ENO2,ENSG00000111674,high,
NET_MIDGUT,INSM1,ENSG00000173404,high,
NET_MIDGUT,SSTR2,ENSG00000180616,high,
NET_MIDGUT,SYP,ENSG00000102003,high,
NET_MIDGUT,TPH1,ENSG00000129167,high,
MM,CD38,ENSG00000004468,high,
MM,MZB1,ENSG00000170476,high,
MM,SDC1,ENSG00000115884,high,
MM,SLAMF7,ENSG00000026751,high,
MM,TNFRSF17,ENSG00000048462,high,
MM,XBP1,ENSG00000100219,high,
MTC,CALCA,ENSG00000110680,high,
MTC,CALCR,ENSG00000004948,high,
MTC,CEACAM5,ENSG00000105388,high,
MTC,CHGA,ENSG00000100604,high,
MTC,RET,ENSG00000165731,high,
MTC,SYP,ENSG00000102003,high,
OV,FOLR1,ENSG00000110195,high,
OV,MSLN,ENSG00000102854,high,
OV,MUC16,ENSG00000181143,high,
OV,PAX8,ENSG00000125618,high,
OV,WT1,ENSG00000184937,high,
PAAD,AGR2,ENSG00000106541,high,
PAAD,CEACAM5,ENSG00000105388,high,
PAAD,KRT19,ENSG00000171345,high,
PAAD,MUC1,ENSG00000185499,high,
PAAD,PDX1,ENSG00000139515,high,
PAAD,PTF1A,ENSG00000168267,high,
NET_PANCREAS,CHGA,ENSG00000100604,high,
NET_PANCREAS,ENO2,ENSG00000111674,high,
NET_PANCREAS,GCG,ENSG00000115263,high,
NET_PANCREAS,INS,ENSG00000254647,high,
NET_PANCREAS,INSM1,ENSG00000173404,high,
NET_PANCREAS,PPY,ENSG00000108849,high,
NET_PANCREAS,SST,ENSG00000157005,high,
NET_PANCREAS,SSTR2,ENSG00000180616,high,
NET_PANCREAS,SYP,ENSG00000102003,high,
PCPG,CHGA,ENSG00000100604,high,
PCPG,CHGB,ENSG00000089199,high,
PCPG,DBH,ENSG00000123454,high,
PCPG,PHOX2B,ENSG00000109132,high,
PCPG,TH,ENSG00000180176,high,
PRAD,AR,ENSG00000169083,high,
PRAD,FOLH1,ENSG00000086205,high,
PRAD,HOXB13,ENSG00000159184,high,
PRAD,KLK2,ENSG00000167751,high,
PRAD,KLK3,ENSG00000142515,high,
PRAD,NKX3-1,ENSG00000167034,high,
PRAD,STEAP1,ENSG00000164647,high,
PRAD,STEAP2,ENSG00000157214,high,
PRAD,TMPRSS2,ENSG00000184012,high,
READ,CDH17,ENSG00000079112,high,
READ,CDX2,ENSG00000165556,high,
READ,KRT20,ENSG00000171431,high,
READ,MUC2,ENSG00000198788,high,
READ,SATB2,ENSG00000119042,high,
READ,VIL1,ENSG00000127831,high,
SARC,ACTA2,ENSG00000107796,high,
SARC,DES,ENSG00000175084,high,
SARC,MYH11,ENSG00000133392,high,
SARC,MYOD1,ENSG00000129152,high,
SARC,MYOG,ENSG00000122180,high,
SARC,TAGLN,ENSG00000149591,high,
SARC_LMS,ACTA2,ENSG00000107796,high,
SARC_LMS,CALD1,ENSG00000122786,high,
SARC_LMS,CNN1,ENSG00000130176,high,
SARC_LMS,DES,ENSG00000175084,high,
SARC_LMS,MYH11,ENSG00000133392,high,
SARC_LMS,MYL9,ENSG00000101335,high,
SARC_LMS,MYLK,ENSG00000065534,high,
SARC_LMS,SMTN,ENSG00000183963,high,
SARC_LMS,TAGLN,ENSG00000149591,high,
SARC_LPS_UNSPEC,CDK4,ENSG00000135446,high,
SARC_LPS_UNSPEC,FRS2,ENSG00000166225,high,
SARC_LPS_UNSPEC,HMGA2,ENSG00000149948,high,
SARC_LPS_UNSPEC,MDM2,ENSG00000135679,high,
SARC_LPS_UNSPEC,TSPAN31,ENSG00000135452,high,
SARC_LPS_UNSPEC,YEATS4,ENSG00000127337,high,
SARC_SYN,BCL2,ENSG00000171791,high,
SARC_SYN,FZD10,ENSG00000111432,high,
SARC_SYN,SS18,ENSG00000141380,high,
SARC_SYN,SSX1,ENSG00000126752,high,
SARC_SYN,SSX2,ENSG00000241476,high,
SARC_SYN,TLE1,ENSG00000196781,high,
SCLC,ASCL1,ENSG00000139352,high,
SCLC,CHGA,ENSG00000100604,high,
SCLC,ENO2,ENSG00000111674,high,
SCLC,INSM1,ENSG00000173404,high,
SCLC,NEUROD1,ENSG00000162992,high,
SCLC,SYP,ENSG00000102003,high,
SKCM,DCT,ENSG00000080166,high,
SKCM,MITF,ENSG00000187098,high,
SKCM,MLANA,ENSG00000120215,high,
SKCM,PMEL,ENSG00000185664,high,
SKCM,TYR,ENSG00000077498,high,
STAD,CDX2,ENSG00000165556,high,
STAD,CLDN18,ENSG00000066405,high,
STAD,GKN1,ENSG00000169605,high,
STAD,MUC5AC,ENSG00000215182,high,
STAD,MUC6,ENSG00000184956,high,
STAD,TFF1,ENSG00000160182,high,
TGCT,KIT,ENSG00000157404,high,
TGCT,NANOG,ENSG00000111704,high,
TGCT,POU5F1,ENSG00000204531,high,
TGCT,SOX17,ENSG00000164736,high,
TGCT,TFAP2C,ENSG00000087510,high,
THCA,FOXE1,ENSG00000178919,high,
THCA,SLC5A5,ENSG00000105641,high,
THCA,PAX8,ENSG00000125618,high,
THCA,TG,ENSG00000042832,high,
THCA,TPO,ENSG00000115705,high,
THCA,TSHR,ENSG00000165409,high,
THYM,CD3D,ENSG00000167286,high,
THYM,CD3E,ENSG00000198851,high,
THYM,CD3G,ENSG00000160654,high,
THYM,LCK,ENSG00000182866,high,
THYM,ZAP70,ENSG00000115085,high,
T_ALL,CD2,ENSG00000116824,high,
T_ALL,CD3D,ENSG00000167286,high,
T_ALL,CD3E,ENSG00000198851,high,
T_ALL,CD5,ENSG00000110448,high,
T_ALL,CD7,ENSG00000173762,high,
UCEC,ESR1,ENSG00000091831,high,
UCEC,HOXA10,ENSG00000253293,high,
UCEC,MSX1,ENSG00000163132,high,
UCEC,PAX8,ENSG00000125618,high,
UCEC,PGR,ENSG00000082175,high,
UCS,ESR1,ENSG00000091831,high,
UCS,HOXA10,ENSG00000253293,high,
UCS,LIF,ENSG00000128342,high,
UCS,MSX1,ENSG00000163132,high,
UCS,PAX8,ENSG00000125618,high,
UCS,PGR,ENSG00000082175,high,
UVM,DCT,ENSG00000080166,high,
UVM,MITF,ENSG00000187098,high,
UVM,MLANA,ENSG00000120215,high,
UVM,PMEL,ENSG00000185664,high,
UVM,SOX10,ENSG00000100146,high,
UVM,TYR,ENSG00000077498,high,
SARC_MPNST,SOX10,ENSG00000100146,high,
SARC_MPNST,S100B,ENSG00000160307,high,
SARC_MPNST,NGFR,ENSG00000064300,high,
SARC_MPNST,PLP1,ENSG00000123560,high,
SARC_MPNST,MBP,ENSG00000197971,high,
SARC_MPNST,GFAP,ENSG00000131095,high,
SARC_MPNST,EGR2,ENSG00000122877,high,
SARC_MPNST,NF1,ENSG00000196712,high,
SARC_MPNST,CDKN2A,ENSG00000147889,high,
SARC_MPNST,SUZ12,ENSG00000178691,high,
ALCL,TNFRSF8,ENSG00000120949,high,
ALCL,ALK,ENSG00000171094,high,
ALCL,IRF4,ENSG00000137265,high,
ALCL,BATF3,ENSG00000123685,high,
ALCL,GZMB,ENSG00000100453,high,
ALCL,TIA1,ENSG00000116001,high,
ALCL,PRF1,ENSG00000180644,high,
SARC_ASPS,TFE3,ENSG00000068323,high,PMID:26516944
SARC_SFT,STAT6,ENSG00000166888,high,PMID:30603730
SARC_EHE,CAMTA1,ENSG00000171735,high,PMID:26414223
SARC_DFSP,PDGFB,ENSG00000100311,high,PMID:22285046
SARC_IMT,ALK,ENSG00000171094,high,PMID:24875859
SARC_BCOR,BCOR,ENSG00000183337,high,PMID:22387997
SARC_DSRCT,WT1,ENSG00000184937,high,
SARC_CCS,SOX10,ENSG00000100146,high,
MENINGIOMA,SSTR2,ENSG00000180616,high,
MENINGIOMA,PGR,ENSG00000082175,high,
MENINGIOMA,MUC1,ENSG00000185499,high,
MENINGIOMA,VIM,ENSG00000026025,high,
MENINGIOMA,NF2,ENSG00000186575,high,
CHOROID_PLEXUS,TTR,ENSG00000118271,high,
CHOROID_PLEXUS,OTX2,ENSG00000165588,high,
CHOROID_PLEXUS,AQP1,ENSG00000240583,high,
CHOROID_PLEXUS,KCNJ13,ENSG00000115474,high,
CHOROID_PLEXUS,CLIC6,ENSG00000159212,high,
ADCC,MYB,ENSG00000118513,high,
ADCC,KIT,ENSG00000157404,high,
ADCC,SOX10,ENSG00000100146,high,
ADCC,TP63,ENSG00000073282,high,
ADCC,ACTA2,ENSG00000107796,high,
ATRT,VIM,ENSG00000026025,high,
ATRT,MUC1,ENSG00000185499,high,
ATRT,GFAP,ENSG00000131095,high,
ATRT,NES,ENSG00000132688,high,
ATRT,SYP,ENSG00000102003,high,
B_ALL,CD19,ENSG00000177455,high,
B_ALL,MME,ENSG00000196549,high,
B_ALL,CD79A,ENSG00000105369,high,
B_ALL,PAX5,ENSG00000196092,high,
B_ALL,DNTT,ENSG00000107447,high,
CLL,CD5,ENSG00000110448,high,
CLL,MS4A1,ENSG00000156738,high,
CLL,FCER2,ENSG00000104921,high,
CLL,LEF1,ENSG00000138795,high,
CLL,CD200,ENSG00000091972,high,
HEPB,GPC3,ENSG00000147257,high,
HEPB,AFP,ENSG00000081051,high,
HEPB,DLK1,ENSG00000185559,high,
HEPB,GLUL,ENSG00000135821,high,
HEPB,SALL4,ENSG00000101115,high,
MBL,ATOH1,ENSG00000172238,high,
MBL,OTX2,ENSG00000165588,high,
MBL,ZIC1,ENSG00000152977,high,
MBL,NEUROD1,ENSG00000162992,high,
MBL,GAB1,ENSG00000109458,high,
MDS,CD34,ENSG00000174059,high,
MDS,WT1,ENSG00000184937,high,
MDS,MPO,ENSG00000005381,high,
MDS,KIT,ENSG00000157404,high,
MDS,GATA2,ENSG00000179348,high,
MPN,JAK2,ENSG00000096968,high,
MPN,CALR,ENSG00000179218,high,
MPN,MPL,ENSG00000117400,high,
MPN,ITGA2B,ENSG00000005961,high,
MPN,PF4,ENSG00000163737,high,
NBL,PHOX2B,ENSG00000109132,high,
NBL,TH,ENSG00000180176,high,
NBL,DBH,ENSG00000123454,high,
NBL,GATA3,ENSG00000107485,high,
NBL,DDC,ENSG00000132437,high,
NEC_LUNG_LARGECELL,CHGA,ENSG00000100604,high,
NEC_LUNG_LARGECELL,SYP,ENSG00000102003,high,
NEC_LUNG_LARGECELL,NCAM1,ENSG00000149294,high,
NEC_LUNG_LARGECELL,INSM1,ENSG00000173404,high,
NEC_LUNG_LARGECELL,ASCL1,ENSG00000139352,high,
NET_RECTAL,CHGA,ENSG00000100604,high,
NET_RECTAL,SYP,ENSG00000102003,high,
NET_RECTAL,INSM1,ENSG00000173404,high,
NET_RECTAL,NKX2-2,ENSG00000125820,high,
NET_RECTAL,SATB2,ENSG00000119042,high,
NPC,KRT5,ENSG00000186081,high,
NPC,KRT6A,ENSG00000205420,high,
NPC,TP63,ENSG00000073282,high,
NPC,KRT14,ENSG00000186847,high,
NPC,KRT17,ENSG00000128422,high,
NUTM,NUTM1,ENSG00000184507,high,
NUTM,TP63,ENSG00000073282,high,
NUTM,KRT5,ENSG00000186081,high,
NUTM,SOX2,ENSG00000181449,high,
NUTM,KRT6A,ENSG00000205420,high,
RB,CRX,ENSG00000105392,high,
RB,RXRG,ENSG00000143171,high,
RB,RCVRN,ENSG00000109047,high,
RB,NRL,ENSG00000129535,high,
RB,ARR3,ENSG00000120500,high,
RT,VIM,ENSG00000026025,high,
RT,MUC1,ENSG00000185499,high,
RT,NES,ENSG00000132688,high,
RT,SYP,ENSG00000102003,high,
RT,CCND1,ENSG00000110092,high,
WILMS,WT1,ENSG00000184937,high,
WILMS,SIX1,ENSG00000126778,high,
WILMS,SIX2,ENSG00000170577,high,
WILMS,CITED1,ENSG00000125931,high,
WILMS,PAX2,ENSG00000075891,high,
