Symbol,Ensembl_Gene_ID,Role
MT-CO1,ENSG00000198804,protein_coding
MT-CO2,ENSG00000198712,protein_coding
MT-CO3,ENSG00000198938,protein_coding
MT-ND1,ENSG00000198888,protein_coding
MT-ND2,ENSG00000198763,protein_coding
MT-ND3,ENSG00000198840,protein_coding
MT-ND4,ENSG00000198886,protein_coding
MT-ND4L,ENSG00000212907,protein_coding
MT-ND5,ENSG00000198786,protein_coding
MT-ND6,ENSG00000198695,protein_coding
MT-CYB,ENSG00000198727,protein_coding
MT-ATP6,ENSG00000198899,protein_coding
MT-ATP8,ENSG00000228253,protein_coding
MT-RNR1,ENSG00000211459,rRNA
MT-RNR2,ENSG00000210082,rRNA
MT-TA,ENSG00000210127,tRNA
MT-TC,ENSG00000210140,tRNA
MT-TD,ENSG00000210154,tRNA
MT-TE,ENSG00000210194,tRNA
MT-TF,ENSG00000210049,tRNA
MT-TG,ENSG00000210164,tRNA
MT-TH,ENSG00000210176,tRNA
MT-TI,ENSG00000210100,tRNA
MT-TK,ENSG00000210156,tRNA
MT-TL1,ENSG00000209082,tRNA
MT-TL2,ENSG00000210191,tRNA
MT-TM,ENSG00000210112,tRNA
MT-TN,ENSG00000210135,tRNA
MT-TP,ENSG00000210196,tRNA
MT-TQ,ENSG00000210107,tRNA
MT-TR,ENSG00000210174,tRNA
MT-TS1,ENSG00000210151,tRNA
MT-TS2,ENSG00000210184,tRNA
MT-TT,ENSG00000210195,tRNA
MT-TV,ENSG00000210077,tRNA
MT-TW,ENSG00000210117,tRNA
MT-TY,ENSG00000210144,tRNA
