Ensembl_Gene_ID,Symbol,qc_group,qc_label,ensembl_releases,biotypes
ENSG00000248527,MTATP6P1,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000283626,MTATP6P10,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000228097,MTATP6P11,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000229842,MTATP6P13,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000233449,MTATP6P14,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000254931,MTATP6P15,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000224299,MTATP6P16,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000235433,MTATP6P17,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000227035,MTATP6P18,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000228316,MTATP6P19,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000270307,MTATP6P2,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000237948,MTATP6P20,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000226392,MTATP6P21,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000249580,MTATP6P22,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000230755,MTATP6P23,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000262381,MTATP6P24,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000262095,MTATP6P25,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000236878,MTATP6P26,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000234003,MTATP6P27,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000232179,MTATP6P29,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000263483,MTATP6P3,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene;unprocessed_pseudogene
ENSG00000226998,MTATP6P30,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000218776,MTATP6P31,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000236590,MTATP6P4,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000284167,MTATP6P5,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000232990,MTATP6P7,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000283547,MTATP6P8,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000248420,MTATP6P9,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000240409,MTATP8P1,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000229604,MTATP8P2,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000280243,MTCO1P1,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000236692,MTCO1P10,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000224083,MTCO1P11,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000237973,MTCO1P12,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000232551,MTCO1P14,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000255350,MTCO1P15,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000223619,MTCO1P17,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000237910,MTCO1P18,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000237300,MTCO1P19,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000259045,MTCO1P2,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000233764,MTCO1P20,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000226960,MTCO1P21,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000271207,MTCO1P22,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000235524,MTCO1P23,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000249448,MTCO1P24,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000229031,MTCO1P25,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000232579,MTCO1P27,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000262118,MTCO1P28,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000240452,MTCO1P29,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000228930,MTCO1P3,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000248729,MTCO1P30,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000251476,MTCO1P31,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000250630,MTCO1P35,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000283174,MTCO1P38,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000224254,MTCO1P39,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000253556,MTCO1P4,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000262902,MTCO1P40,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000230327,MTCO1P42,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000228898,MTCO1P43,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,unprocessed_pseudogene
ENSG00000227149,MTCO1P44,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,83;87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
ENSG00000232982,MTCO1P45,mt_like_pseudogene,mitochondrial pseudogene / NUMT-like,87;93;97;103;105;107;108;109;110;111;112;114,processed_pseudogene
