Ensembl_Gene_ID,Symbol,qc_group,qc_label,ensembl_releases,biotypes
ENSG00000147403,RPL10,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000198755,RPL10A,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000165496,RPL10L,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000142676,RPL11,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000197958,RPL12,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000167526,RPL13,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000142541,RPL13A,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000188846,RPL14,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000174748,RPL15,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000265681,RPL17,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000063177,RPL18,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000105640,RPL18A,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000108298,RPL19,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
ENSG00000122026,RPL21,ribosomal_protein,ribosomal protein,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,protein_coding
