Ensembl_Gene_ID,Symbol,qc_group,qc_label,ensembl_releases,biotypes
ENSG00000199017,MIR1-1,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000174407,MIR1-1HG,small_ncrna,small noncoding RNA,78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,antisense;lncRNA;protein_coding
ENSG00000174403,MIR1-1HG-AS1,small_ncrna,small noncoding RNA,93;97;103;105,antisense;lncRNA
ENSG00000278753,MIR1-2,small_ncrna,small noncoding RNA,77;78;80;81;83,miRNA
ENSG00000284453,MIR1-2,small_ncrna,small noncoding RNA,93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000207994,MIR100,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000255090,MIR100HG,small_ncrna,small noncoding RNA,79;80;81;83,lincRNA
ENSG00000255248,MIR100HG,small_ncrna,small noncoding RNA,87;93;97;103;105;107;108;109;110;111;112;114,lncRNA;processed_transcript
ENSG00000199135,MIR101-1,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000199065,MIR101-2,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000199035,MIR103A1,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000199024,MIR103A2,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000283612,MIR103B1,small_ncrna,small noncoding RNA,87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000283320,MIR103B2,small_ncrna,small noncoding RNA,87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000207957,MIR105-1,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000207818,MIR105-2,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000207602,MIR106A,small_ncrna,small noncoding RNA,77;78;79;80;81;83,miRNA
ENSG00000284157,MIR106A,small_ncrna,small noncoding RNA,93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000283638,MIR106AHG,small_ncrna,small noncoding RNA,112;114,lncRNA
ENSG00000208036,MIR106B,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000198997,MIR107,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000257178,MIR10A,small_ncrna,small noncoding RNA,77;78;87,sense_intronic
ENSG00000274592,MIR10A,small_ncrna,small noncoding RNA,77;78;79;80;81;83,miRNA
ENSG00000284038,MIR10A,small_ncrna,small noncoding RNA,93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000207744,MIR10B,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221323,MIR1178,small_ncrna,small noncoding RNA,77;78;79;80;81;83,miRNA
ENSG00000283768,MIR1178,small_ncrna,small noncoding RNA,93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221630,MIR1179,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221540,MIR1180,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221566,MIR1181,small_ncrna,small noncoding RNA,77;78;79;80;81;83,miRNA
ENSG00000284268,MIR1181,small_ncrna,small noncoding RNA,93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221290,MIR1182,small_ncrna,small noncoding RNA,77;78;79;80;81;83,miRNA
ENSG00000283799,MIR1182,small_ncrna,small noncoding RNA,93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221783,MIR1183,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221190,MIR1184-1,small_ncrna,small noncoding RNA,79,miRNA
ENSG00000221533,MIR1184-1,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221190,MIR1184-2,small_ncrna,small noncoding RNA,78;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221603,MIR1184-2,small_ncrna,small noncoding RNA,77,miRNA
ENSG00000221190,MIR1184-3,small_ncrna,small noncoding RNA,77,miRNA
ENSG00000221603,MIR1184-3,small_ncrna,small noncoding RNA,78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221525,MIR1185-1,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221614,MIR1185-2,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
ENSG00000221036,MIR1193,small_ncrna,small noncoding RNA,77;78;79;80;81;83;87;93;97;103;105;107;108;109;110;111;112;114,miRNA
