rule_id,cancer_code,label,gene_a,gene_a_ensembl_id,gene_b,gene_b_ensembl_id,matching,min_total_support,promote_report_scope,confidence,basis,confirmatory_tests,caveat,source
brd4_nutm1_nut,NUTM,NUT carcinoma,BRD4,ENSG00000141867,NUTM1,ENSG00000184507,oriented_or_unoriented,1,true,high,BRD4--NUTM1 is the most common NUT carcinoma fusion; the curated orientation is BRD4 5-prime and NUTM1 3-prime,NUT IHC; fusion confirmation by RNA/DNA NGS or FISH; pathology review,Direct fusion support is strong but still requires morphology and clinical context before diagnosis or treatment selection,PMID:12543779
brd3_nutm1_nut,NUTM,NUT carcinoma,BRD3,ENSG00000169925,NUTM1,ENSG00000184507,oriented_or_unoriented,1,true,high,BRD3--NUTM1 is a recurrent NUT carcinoma fusion; the curated orientation is BRD3 5-prime and NUTM1 3-prime,NUT IHC; fusion confirmation by RNA/DNA NGS or FISH; pathology review,Direct fusion support is strong but still requires morphology and clinical context before diagnosis or treatment selection,PMID:12543779
nsd3_nutm1_nut,NUTM,NUT carcinoma,NSD3;WHSC1L1,ENSG00000147548;ENSG00000147548,NUTM1,ENSG00000184507,oriented_or_unoriented,1,true,high,NSD3/WHSC1L1--NUTM1 is a recurrent NUT carcinoma fusion; the curated orientation is NSD3 5-prime and NUTM1 3-prime,NUT IHC; fusion confirmation by RNA/DNA NGS or FISH; pathology review,Direct fusion support is strong but still requires morphology and clinical context before diagnosis or treatment selection,PMID:12543779
znf532_nutm1_nut,NUTM,NUT carcinoma,ZNF532,ENSG00000074657,NUTM1,ENSG00000184507,oriented_or_unoriented,1,true,moderate,ZNF532--NUTM1 is a reported NUT carcinoma partner; the curated orientation is ZNF532 5-prime and NUTM1 3-prime,NUT IHC; fusion confirmation by RNA/DNA NGS or FISH; pathology review,Less common NUTM1 partner; confirm with tumor morphology and expert pathology review,curated_literature
znf592_nutm1_nut,NUTM,NUT carcinoma,ZNF592,ENSG00000166716,NUTM1,ENSG00000184507,oriented_or_unoriented,1,true,moderate,ZNF592--NUTM1 is a reported NUT carcinoma partner; the curated orientation is ZNF592 5-prime and NUTM1 3-prime,NUT IHC; fusion confirmation by RNA/DNA NGS or FISH; pathology review,Less common NUTM1 partner; confirm with tumor morphology and expert pathology review,curated_literature
cic_nutm1_non_nut,,CIC::NUTM1 sarcoma-compatible rearrangement,CIC,ENSG00000079432,NUTM1,ENSG00000184507,oriented_or_unoriented,1,false,moderate,CIC--NUTM1 has been reported in round-cell sarcoma contexts and should not be collapsed to NUT carcinoma,Sarcoma pathology review; CIC-rearranged tumor workup; orthogonal fusion confirmation,NUTM1 is rearranged but the partner argues against automatically assigning NUT carcinoma,curated_literature
yap1_nutm1_non_nut,,YAP1::NUTM1 adnexal/poroid-tumor-compatible rearrangement,YAP1,ENSG00000137693,NUTM1,ENSG00000184507,oriented_or_unoriented,1,false,moderate,"YAP1--NUTM1 has been reported outside classic NUT carcinoma contexts, including poroid/adnexal tumors",Dermatopathology review; orthogonal fusion confirmation,NUTM1 is rearranged but the partner is not specific for NUT carcinoma,curated_literature
nutm1_rearranged_uncertain,,NUTM1-rearranged neoplasm,*,,NUTM1,ENSG00000184507,oriented_or_unoriented,1,false,moderate,"A NUTM1 3-prime fusion indicates a NUTM1 rearrangement, but partner identity determines whether NUT carcinoma is the right entity",NUT IHC; full fusion partner review; tumor-site and morphology review,"Catch-all only: not all NUTM1 fusions are NUT carcinoma, and examples include CIC--NUTM1 sarcoma and YAP1--NUTM1 poroid/adnexal tumors",curated_literature
ewsr1_fli1_erg_ets,SARC_EWS,Ewing sarcoma,EWSR1,ENSG00000182944,FLI1;ERG;ETV1;ETV4;FEV,ENSG00000151702;ENSG00000157554;ENSG00000006468;ENSG00000175832;ENSG00000163497,oriented_or_unoriented,1,true,high,EWSR1--ETS-family fusions are defining drivers of Ewing sarcoma,Ewing pathology review; CD99/NKX2-2 IHC; orthogonal fusion confirmation,"Fusion-positive Ewing can sit outside TCGA SARC; interpret with age, site, morphology, and pathology",DOI:10.1038/359162a0
ss18_ssx_synovial,SARC_SYN,Synovial sarcoma,SS18,ENSG00000141380,SSX1;SSX2;SSX4,ENSG00000126752;ENSG00000241476;ENSG00000268009,oriented_or_unoriented,1,true,high,SS18--SSX fusions are defining drivers of synovial sarcoma,SS18-SSX fusion confirmation; TLE1/SS18-SSX IHC where appropriate; sarcoma pathology review,Promotes the synovial sarcoma subtype only when the direct fusion is supplied,DOI:10.1038/ng0894-502
