Symbol,Ensembl_Gene_ID
RPL10,ENSG00000147403
RPL10A,ENSG00000198755
RPL10L,ENSG00000165496
RPL11,ENSG00000142676
RPL12,ENSG00000197958
RPL13,ENSG00000167526
RPL13A,ENSG00000142541
RPL14,ENSG00000188846
RPL15,ENSG00000174748
RPL17,ENSG00000265681
RPL18,ENSG00000063177
RPL18A,ENSG00000105640
RPL19,ENSG00000108298
RPL21,ENSG00000122026
RPL22,ENSG00000116251
RPL23,ENSG00000125691
RPL23A,ENSG00000198242
RPL24,ENSG00000114391
RPL26,ENSG00000161970
RPL27,ENSG00000131469
RPL27A,ENSG00000166441
RPL28,ENSG00000108107
RPL29,ENSG00000162244
RPL3,ENSG00000100316
RPL30,ENSG00000156482
RPL31,ENSG00000071082
RPL32,ENSG00000144713
RPL34,ENSG00000109475
RPL35,ENSG00000136942
RPL35A,ENSG00000182899
RPL36,ENSG00000130255
RPL36A,ENSG00000241343
RPL37,ENSG00000145592
RPL37A,ENSG00000197756
RPL38,ENSG00000172809
RPL39,ENSG00000198918
RPL39L,ENSG00000163923
RPL3L,ENSG00000140986
RPL4,ENSG00000174444
RPL41,ENSG00000229117
RPL41,ENSG00000273716
RPL41,ENSG00000274700
RPL41,ENSG00000279483
RPL5,ENSG00000122406
RPL6,ENSG00000089009
RPL7,ENSG00000147604
RPL7A,ENSG00000148303
RPL7A,ENSG00000280858
RPL8,ENSG00000161016
RPL9,ENSG00000163682
RPL9,ENSG00000273673
RPLP0,ENSG00000089157
RPLP0P1,ENSG00000226229
RPLP0P10,ENSG00000244705
RPLP0P11,ENSG00000239780
RPLP0P12,ENSG00000267669
RPLP0P2,ENSG00000243742
RPLP0P2,ENSG00000293352
RPLP0P3,ENSG00000240023
RPLP0P4,ENSG00000230779
RPLP0P5,ENSG00000232883
RPLP0P6,ENSG00000213553
RPLP0P7,ENSG00000238069
RPLP0P8,ENSG00000244640
RPLP0P9,ENSG00000229119
RPLP1,ENSG00000137818
RPLP1P10,ENSG00000226888
RPLP1P11,ENSG00000243686
RPLP1P13,ENSG00000232163
RPLP1P5,ENSG00000214657
RPLP1P6,ENSG00000213433
RPLP2,ENSG00000177600
RPLP2P1,ENSG00000214374
RPS10,ENSG00000124614
RPS10L,ENSG00000101278
RPS11,ENSG00000142534
RPS12,ENSG00000112306
RPS13,ENSG00000110700
RPS14,ENSG00000164587
RPS15,ENSG00000115268
RPS15A,ENSG00000134419
RPS16,ENSG00000105193
RPS17,ENSG00000182774
RPS17,ENSG00000278229
RPS17L,ENSG00000278229
RPS18,ENSG00000096150
RPS18,ENSG00000223367
RPS18,ENSG00000226225
RPS18,ENSG00000227794
RPS18,ENSG00000231500
RPS18,ENSG00000235650
RPS19,ENSG00000105372
RPS2,ENSG00000140988
RPS20,ENSG00000008988
RPS21,ENSG00000171858
RPS23,ENSG00000186468
RPS24,ENSG00000138326
RPS25,ENSG00000118181
RPS25,ENSG00000280831
RPS26,ENSG00000197728
RPS27,ENSG00000177954
RPS27A,ENSG00000143947
RPS27L,ENSG00000185088
RPS28,ENSG00000233927
RPS29,ENSG00000213741
RPS3,ENSG00000149273
RPS3A,ENSG00000145425
RPS4X,ENSG00000198034
RPS5,ENSG00000083845
RPS6,ENSG00000137154
RPS7,ENSG00000171863
RPS8,ENSG00000142937
RPS9,ENSG00000170889
RPS9,ENSG00000274005
RPS9,ENSG00000274626
RPS9,ENSG00000274646
RPS9,ENSG00000274950
RPS9,ENSG00000275323
RPS9,ENSG00000277079
RPS9,ENSG00000277359
RPS9,ENSG00000278081
RPS9,ENSG00000278270
