Panel,program,Symbol,Ensembl_Gene_ID
PLURIPOTENT,pluripotent,POU5F1,ENSG00000204531
PLURIPOTENT,pluripotent,NANOG,ENSG00000111704
PLURIPOTENT,pluripotent,SOX2,ENSG00000181449
PLURIPOTENT,pluripotent,LIN28A,ENSG00000131914
PLURIPOTENT,pluripotent,LIN28B,ENSG00000187772
PLURIPOTENT,pluripotent,SALL4,ENSG00000101115
PLURIPOTENT,pluripotent,KLF4,ENSG00000136826
PLURIPOTENT,pluripotent,DPPA4,ENSG00000121570
PLURIPOTENT,pluripotent,ZFP42,ENSG00000179059
PLURIPOTENT,pluripotent,TDGF1,ENSG00000241186
PLURIPOTENT,pluripotent,DNMT3B,ENSG00000088305
NEURAL_STEM,tissue_specific,SOX2,ENSG00000181449
NEURAL_STEM,tissue_specific,NES,ENSG00000132688
NEURAL_STEM,tissue_specific,PAX6,ENSG00000007372
NEURAL_STEM,tissue_specific,OLIG2,ENSG00000205927
NEURAL_STEM,tissue_specific,PROM1,ENSG00000007062
NEURAL_STEM,tissue_specific,FABP7,ENSG00000164434
NEURAL_STEM,tissue_specific,SOX9,ENSG00000125398
NEURAL_STEM,tissue_specific,MSI1,ENSG00000135097
HEMATOPOIETIC_STEM,tissue_specific,CD34,ENSG00000174059
HEMATOPOIETIC_STEM,tissue_specific,HOXA9,ENSG00000078399
HEMATOPOIETIC_STEM,tissue_specific,MEIS1,ENSG00000143995
HEMATOPOIETIC_STEM,tissue_specific,MLLT3,ENSG00000171843
HEMATOPOIETIC_STEM,tissue_specific,KIT,ENSG00000157404
HEMATOPOIETIC_STEM,tissue_specific,GATA2,ENSG00000179348
HEMATOPOIETIC_STEM,tissue_specific,BAALC,ENSG00000164929
HEMATOPOIETIC_STEM,tissue_specific,MN1,ENSG00000169184
NEURAL_CREST,tissue_specific,SOX10,ENSG00000100146
NEURAL_CREST,tissue_specific,FOXD3,ENSG00000187140
NEURAL_CREST,tissue_specific,PAX3,ENSG00000135903
NEURAL_CREST,tissue_specific,TFAP2A,ENSG00000137203
NEURAL_CREST,tissue_specific,NGFR,ENSG00000064300
NEURAL_CREST,tissue_specific,ERBB3,ENSG00000065361
MESENCHYMAL_EMT,tissue_specific,ZEB1,ENSG00000148516
MESENCHYMAL_EMT,tissue_specific,ZEB2,ENSG00000169554
MESENCHYMAL_EMT,tissue_specific,SNAI1,ENSG00000124216
MESENCHYMAL_EMT,tissue_specific,SNAI2,ENSG00000019549
MESENCHYMAL_EMT,tissue_specific,TWIST1,ENSG00000122691
MESENCHYMAL_EMT,tissue_specific,CD44,ENSG00000026508
MESENCHYMAL_EMT,tissue_specific,THY1,ENSG00000154096
MESENCHYMAL_EMT,tissue_specific,ENG,ENSG00000106991
