Symbol,Ensembl_Gene_ID,Description,Category,CD,Source
SLC12A8,ENSG00000221955,Solute carrier family 12 member 8,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ESYT3,ENSG00000158220,Extended synaptotagmin-3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC5A10,ENSG00000154025,Sodium/glucose cotransporter 5,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CLRN2,ENSG00000249581,Clarin-2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM30C,ENSG00000235156,Cell cycle control protein 50C,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ANO9,ENSG00000185101,Anoctamin-9,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC22A23,ENSG00000137266,Solute carrier family 22 member 23,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TSPAN11,ENSG00000110900,Tetraspanin-11,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM213,ENSG00000214128,Transmembrane protein 213,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
KIAA0922,ENSG00000121210,Transmembrane protein 131-like,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR2M5,ENSG00000162727,Olfactory receptor 2M5,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR2A25,ENSG00000221933,Olfactory receptor 2A25,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC35F4,ENSG00000151812,Solute carrier family 35 member F4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
HTR3E,ENSG00000186038,5-hydroxytryptamine receptor 3E,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MEGF11,ENSG00000157890,Multiple epidermal growth factor-like domains protein 11,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CDHR4,ENSG00000187492,Cadherin-related family member 4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM150B,ENSG00000180061,Transmembrane protein 150B,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR6C74,ENSG00000197706,Olfactory receptor 6C74,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
IZUMO1R,ENSG00000183560,Sperm-egg fusion protein Juno,GPI_anchored,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR14I1,ENSG00000189181,Olfactory receptor 14I1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LRIT2,ENSG00000204033,"Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 2",Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR5H15,ENSG00000233412,Olfactory receptor 5H15,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR6C68,ENSG00000205327,Olfactory receptor 6C68,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MYADML2,ENSG00000185105,Myeloid-associated differentiation marker-like protein 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM8B,ENSG00000137103,Transmembrane protein 8B,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR5K3,ENSG00000206536,Olfactory receptor 5K3,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
ANTXRL,ENSG00000274209,Anthrax toxin receptor-like,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR6C6,ENSG00000188324,Olfactory receptor 6C6,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TRABD2B,ENSG00000269113,Metalloprotease TIKI2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
TMEM235,ENSG00000204278,Transmembrane protein 235,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MFSD2B,ENSG00000205639,Major facilitator superfamily domain-containing protein 2B,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
GGT3P,,Putative gamma-glutamyltranspeptidase 3,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR51F1,ENSG00000280021,Olfactory receptor 51F1,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR2T8,ENSG00000177462,Olfactory receptor 2T8,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SERINC4,ENSG00000184716,Serine incorporator 4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR4C46,ENSG00000185926,Olfactory receptor 4C46,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR5H14,ENSG00000236032,Olfactory receptor 5H14,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
MANSC4,ENSG00000205693,MANSC domain-containing protein 4,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LILRA5,ENSG00000187116,Leukocyte immunoglobulin-like receptor subfamily A member 5,CSPA_validated,CD85f,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR6C70,ENSG00000184954,Olfactory receptor 6C70,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC15A5,ENSG00000188991,Solute carrier family 15 member 5,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CD8BP,,Putative T-cell surface glycoprotein CD8 beta-2 chain,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR6C65,ENSG00000205328,Olfactory receptor 6C65,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SLC22A20,,Solute carrier family 22 member 20,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
PCNXL2,ENSG00000135749,Pecanex-like protein 2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
FCGR1C,,Putative high affinity immunoglobulin gamma Fc receptor IC,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR5H1,ENSG00000231192,Olfactory receptor 5H1,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR6C75,ENSG00000187857,Olfactory receptor 6C75,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR5B21,ENSG00000198283,Olfactory receptor 5B21,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SHISA7,ENSG00000187902,Protein shisa-7,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR2AG2,ENSG00000188124,Olfactory receptor 2AG2,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LRRC37A2,ENSG00000238083,Leucine-rich repeat-containing protein 37A2,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
CLDN24,ENSG00000185758,Putative claudin-24,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR6C76,ENSG00000185821,Olfactory receptor 6C76,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
SIGLEC16,,Sialic acid-binding Ig-like lectin 16,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
OR5K4,ENSG00000196098,Olfactory receptor 5K4,CSPA_validated,,Bausch-Fluck et al. 2018 PNAS 115:E10988
LRRC37A,ENSG00000176681,Leucine-rich repeat-containing protein 37A,Predicted,,Bausch-Fluck et al. 2018 PNAS 115:E10988
