symbol,ensembl_gene_id,therapy_class,direction,mechanism,cancer_context,strength,refs,support_type,source_anchor
KLK3,ENSG00000142515,AR_signaling,up,AR-transactivated,PRAD,canonical,PMID:19632176,mechanism_or_marker_support,
KLK2,ENSG00000167751,AR_signaling,up,AR-transactivated,PRAD,canonical,PMID:19632176,mechanism_or_marker_support,
TMPRSS2,ENSG00000184012,AR_signaling,up,AR-transactivated (TMPRSS2-ERG fusion driver),PRAD,canonical,PMID:16254181,mechanism_or_marker_support,
NKX3-1,ENSG00000167034,AR_signaling,up,AR-transactivated homeobox tumor suppressor,PRAD,canonical,PMID:18557759,mechanism_or_marker_support,
FKBP5,ENSG00000096060,AR_signaling,up,AR-transactivated chaperone,PRAD,canonical,PMID:19632176,mechanism_or_marker_support,
STEAP4,ENSG00000127954,AR_signaling,up,AR-transactivated,PRAD,supported,,uncited_curated,
NDRG1,ENSG00000104419,AR_signaling,up,AR-transactivated,PRAD,supported,,uncited_curated,
PMEPA1,ENSG00000124225,AR_signaling,up,AR-transactivated,PRAD,supported,,uncited_curated,
SLC45A3,ENSG00000158715,AR_signaling,up,AR-transactivated prostein,PRAD,supported,,uncited_curated,
ACPP,ENSG00000014257,AR_signaling,up,AR-transactivated (PAP),PRAD,canonical,,uncited_curated,
AR,ENSG00000169083,AR_signaling,up,Receptor itself; stable to moderate AR blockade but lost on potent inhibition,PRAD,canonical,,uncited_curated,
FOLH1,ENSG00000086205,AR_signaling,down,AR-suppressed / ADT-upregulated (PSMA),PRAD,canonical,PMID:38558458,mechanism_or_marker_support,
CHGA,ENSG00000100604,AR_signaling,down,NE-lineage emergence under sustained AR blockade,PRAD,emerging,PMID:34290447,mechanism_or_marker_support,
SYP,ENSG00000102003,AR_signaling,down,NE differentiation marker,PRAD,emerging,PMID:34290447,mechanism_or_marker_support,
ENO2,ENSG00000111674,AR_signaling,down,Neuronal enolase — NE differentiation,PRAD,emerging,PMID:34290447,mechanism_or_marker_support,
NCAM1,ENSG00000149294,AR_signaling,down,NE differentiation marker,PRAD,emerging,,uncited_curated,
ASCL1,ENSG00000139352,AR_signaling,down,NE-lineage transcription factor,PRAD,emerging,PMID:34290447,mechanism_or_marker_support,
ESR1,ENSG00000091831,ER_signaling,up,Estrogen receptor — target and driver,BRCA,canonical,,uncited_curated,
PGR,ENSG00000082175,ER_signaling,up,Classic ER-transactivated,BRCA,canonical,,uncited_curated,
TFF1,ENSG00000160182,ER_signaling,up,ER-transactivated (pS2),BRCA,canonical,PMID:18543253,mechanism_or_marker_support,
GREB1,ENSG00000196208,ER_signaling,up,ER-transactivated (highly ER-dependent),BRCA,canonical,PMID:15986123,mechanism_or_marker_support,
CCND1,ENSG00000110092,ER_signaling,up,ER-transactivated cyclin D1,BRCA,supported,,uncited_curated,
MYB,ENSG00000118513,ER_signaling,up,ER-transactivated,BRCA,supported,,uncited_curated,
ERBB2,ENSG00000141736,HER2_signaling,up,HER2 amplification / receptor overexpression,BRCA,canonical,PMID:23000897,genomic_signature,TCGA breast integrated subtype/HER2-enriched amplification context
GRB7,ENSG00000141738,HER2_signaling,up,Co-amplified with ERBB2,BRCA,canonical,PMID:23000897,genomic_signature,TCGA breast integrated subtype/HER2-enriched amplification context
STARD3,ENSG00000131748,HER2_signaling,up,Co-amplified (17q12 amplicon),BRCA,canonical,PMID:23000897,genomic_signature,TCGA breast integrated subtype/HER2-enriched amplification context
PNMT,ENSG00000141744,HER2_signaling,up,Co-amplified (17q12 amplicon),BRCA,supported,PMID:23000897,genomic_signature,TCGA breast integrated subtype/HER2-enriched amplification context
PHLDA1,ENSG00000139289,MAPK_EGFR_signaling,up,MPAS downstream MAPK/ERK transcriptional output,pan_cancer,canonical,DOI:10.1038/s41698-018-0051-4,mechanism_or_marker_support,
SPRY2,ENSG00000136158,MAPK_EGFR_signaling,up,MPAS MAPK-transcribed feedback regulator,pan_cancer,canonical,DOI:10.1038/s41698-018-0051-4,mechanism_or_marker_support,
SPRY4,ENSG00000187678,MAPK_EGFR_signaling,up,MPAS MAPK-transcribed feedback regulator,pan_cancer,canonical,DOI:10.1038/s41698-018-0051-4,mechanism_or_marker_support,
DUSP4,ENSG00000120875,MAPK_EGFR_signaling,up,MPAS dual-specificity phosphatase feedback,pan_cancer,canonical,DOI:10.1038/s41698-018-0051-4,mechanism_or_marker_support,
