Symbol,Ensembl_Gene_ID,Cell_Type
CD3D,ENSG00000167286,T_cell
CD3E,ENSG00000198851,T_cell
CD8A,ENSG00000153563,T_cell
CD4,ENSG00000010610,T_cell
CD19,ENSG00000177455,B_cell
MS4A1,ENSG00000156738,B_cell
IGKC,ENSG00000211592,B_cell
CD14,ENSG00000170458,myeloid
CD68,ENSG00000129226,myeloid
TYROBP,ENSG00000011600,myeloid
FCER1G,ENSG00000158869,myeloid
COL1A1,ENSG00000108821,fibroblast
COL1A2,ENSG00000164692,fibroblast
DCN,ENSG00000011465,fibroblast
LUM,ENSG00000139329,fibroblast
FAP,ENSG00000078098,fibroblast
PECAM1,ENSG00000261371,endothelial
VWF,ENSG00000110799,endothelial
CDH5,ENSG00000179776,endothelial
