cancer_code,matched_normal_tissue,symbol,ensembl_gene_id,fold_change_vs_matched_normal,tumor_tpm,matched_normal_ntpm,max_any_normal_ntpm
BLCA,urinary_bladder,TSPY8,ENSG00000229549,545.3,54.43,0.0,1.2
BLCA,urinary_bladder,FGF4,ENSG00000075388,172.6,17.16,0.0,0.2
BLCA,urinary_bladder,TSPY3,ENSG00000228927,160.5,15.95,0.0,2.9
BLCA,urinary_bladder,CSAG1,ENSG00000198930,144.5,14.35,0.0,1.9
BLCA,urinary_bladder,MAGEA12,ENSG00000213401,95.9,9.49,0.0,2.7
BLCA,urinary_bladder,MAGEA2,ENSG00000268606,74.1,7.31,0.0,4.1
BLCA,urinary_bladder,CSAG3,ENSG00000268916,60.6,12.02,0.1,3.8
BLCA,urinary_bladder,CSAG2,ENSG00000268902,37.8,7.46,0.1,1.0
BLCA,urinary_bladder,IFITM10,ENSG00000244242,20.45,8.08,0.3,2.5
BLCA,urinary_bladder,H2BC12L,ENSG00000234289,13.6,5.34,0.3,1.9
BRCA,breast,FGF4,ENSG00000075388,137.8,13.68,0.0,0.2
BRCA,breast,PLPP4,ENSG00000203805,46.0,9.1,0.1,3.8
BRCA,breast,H4C8,ENSG00000158406,25.75,10.2,0.3,2.3
BRCA,breast,H2BC12L,ENSG00000234289,12.56,8.69,0.6,1.9
CESC,cervix,NOBOX,ENSG00000106410,130.5,12.95,0.0,0.5
CESC,cervix,MARCOL,ENSG00000248109,32.2,6.34,0.1,1.4
CESC,cervix,H2BC12L,ENSG00000234289,13.08,11.67,0.8,1.9
CESC,cervix,CIP2A,ENSG00000163507,12.08,5.94,0.4,3.9
CHOL,gallbladder,H3Y1,ENSG00000269466,153.8,15.28,0.0,0.1
CHOL,gallbladder,TAF11L12,ENSG00000249156,119.2,11.82,0.0,0.0
CHOL,gallbladder,SOX14,ENSG00000168875,84.8,8.38,0.0,1.6
CHOL,gallbladder,MAGEA2B,ENSG00000183305,67.5,6.65,0.0,1.9
