group_canonical_ensembl_gene_id,group_canonical_symbol,ensembl_gene_id,symbol,cds_nt,n_members
ENSG00000271383,NBPF19,ENSG00000271383,NBPF19,11532,2
ENSG00000271383,NBPF19,ENSG00000286185,ENSG00000286185,11532,2
ENSG00000092098,RNF31,ENSG00000092098,RNF31,3219,2
ENSG00000092098,RNF31,ENSG00000259529,ENSG00000259529,3219,2
ENSG00000197991,PCDH20,ENSG00000197991,ENSG00000197991,2856,2
ENSG00000197991,PCDH20,ENSG00000280165,PCDH20,2856,2
ENSG00000214338,MTCL3,ENSG00000214338,MTCL3,2844,2
ENSG00000214338,MTCL3,ENSG00000255330,ENSG00000255330,2844,2
ENSG00000163611,SPICE1/SPICE1-CFAP44,ENSG00000163611,SPICE1,2568,2
ENSG00000163611,SPICE1/SPICE1-CFAP44,ENSG00000285943,SPICE1-CFAP44,2568,2
ENSG00000183833,CFAP91,ENSG00000183833,CFAP91,2304,2
ENSG00000183833,CFAP91,ENSG00000285585,ENSG00000285585,2304,2
ENSG00000154545,MAGED4/MAGED4B,ENSG00000154545,MAGED4,2274,2
ENSG00000154545,MAGED4/MAGED4B,ENSG00000187243,MAGED4B,2274,2
ENSG00000105647,PIK3R2,ENSG00000105647,PIK3R2,2187,2
ENSG00000105647,PIK3R2,ENSG00000268173,ENSG00000268173,2187,2
ENSG00000105650,PDE4C,ENSG00000105650,PDE4C,2139,2
ENSG00000105650,PDE4C,ENSG00000285188,PDE4C,2139,2
ENSG00000197976,AKAP17A,ENSG00000197976,AKAP17A,2088,2
ENSG00000197976,AKAP17A,ENSG00000292343,AKAP17A,2088,2
ENSG00000214717,ZBED1,ENSG00000214717,ZBED1,2085,2
ENSG00000214717,ZBED1,ENSG00000292345,ZBED1,2085,2
ENSG00000196826,ZNF709,ENSG00000196826,ENSG00000196826,1926,2
ENSG00000196826,ZNF709,ENSG00000242852,ZNF709,1926,2
ENSG00000269405,NXF2/NXF2B,ENSG00000269405,NXF2,1881,2
ENSG00000269405,NXF2/NXF2B,ENSG00000269437,NXF2B,1881,2
ENSG00000213204,CFAP206,ENSG00000213204,ENSG00000213204,1869,2
ENSG00000213204,CFAP206,ENSG00000272514,CFAP206,1869,2
ENSG00000169093,ASMTL,ENSG00000169093,ASMTL,1866,2
ENSG00000169093,ASMTL,ENSG00000292339,ASMTL,1866,2
ENSG00000100890,PRORP,ENSG00000100890,PRORP,1752,2
ENSG00000100890,PRORP,ENSG00000258790,ENSG00000258790,1752,2
ENSG00000167393,PPP2R3B,ENSG00000167393,PPP2R3B,1728,2
ENSG00000167393,PPP2R3B,ENSG00000292327,PPP2R3B,1728,2
ENSG00000172288,CDY1/CDY1B,ENSG00000172288,CDY1,1665,2
ENSG00000172288,CDY1/CDY1B,ENSG00000172352,CDY1B,1665,2
ENSG00000198908,ARMCX5-GPRASP2/GPRASP3,ENSG00000198908,GPRASP3,1644,2
ENSG00000198908,ARMCX5-GPRASP2/GPRASP3,ENSG00000286237,ARMCX5-GPRASP2,1644,2
ENSG00000230031,POTEB/POTEB2,ENSG00000230031,POTEB2,1635,2
ENSG00000230031,POTEB/POTEB2,ENSG00000233917,POTEB,1635,2
ENSG00000129873,CDY2A/B,ENSG00000129873,CDY2B,1626,2
ENSG00000129873,CDY2A/B,ENSG00000182415,CDY2A,1626,2
ENSG00000228856,USP17L24/25/26/27/28/29/30,ENSG00000228856,USP17L30,1593,7
ENSG00000228856,USP17L24/25/26/27/28/29/30,ENSG00000229579,USP17L26,1593,7
ENSG00000228856,USP17L24/25/26/27/28/29/30,ENSG00000230430,USP17L25,1593,7
ENSG00000228856,USP17L24/25/26/27/28/29/30,ENSG00000231051,USP17L28,1593,7
ENSG00000228856,USP17L24/25/26/27/28/29/30,ENSG00000231637,USP17L29,1593,7
ENSG00000228856,USP17L24/25/26/27/28/29/30,ENSG00000232264,USP17L24,1593,7
ENSG00000228856,USP17L24/25/26/27/28/29/30,ENSG00000235780,USP17L27,1593,7
ENSG00000124334,IL9R,ENSG00000124334,IL9R,1566,2
ENSG00000124334,IL9R,ENSG00000292373,IL9R,1566,2
ENSG00000187607,ZNF286A/ZNF286A-TBC1D26,ENSG00000187607,ZNF286A,1566,2
ENSG00000187607,ZNF286A/ZNF286A-TBC1D26,ENSG00000255104,ZNF286A-TBC1D26,1566,2
ENSG00000178605,GTPBP6,ENSG00000178605,GTPBP6,1551,2
ENSG00000178605,GTPBP6,ENSG00000292358,GTPBP6,1551,2
ENSG00000215113,CXorf49/CXorf49B,ENSG00000215113,CXorf49B,1545,2
ENSG00000215113,CXorf49/CXorf49B,ENSG00000215115,CXorf49,1545,2
ENSG00000174876,AMY1A/B/C,ENSG00000174876,AMY1B,1536,3
ENSG00000174876,AMY1A/B/C,ENSG00000187733,AMY1C,1536,3
ENSG00000174876,AMY1A/B/C,ENSG00000237763,AMY1A,1536,3
ENSG00000104205,C8orf44-SGK3/SGK3,ENSG00000104205,SGK3,1491,2
ENSG00000104205,C8orf44-SGK3/SGK3,ENSG00000288602,C8orf44-SGK3,1491,2
ENSG00000140488,CELF6,ENSG00000140488,CELF6,1446,2
ENSG00000140488,CELF6,ENSG00000273025,ENSG00000273025,1446,2
ENSG00000182484,WASH6P,ENSG00000182484,WASH6P,1437,2
ENSG00000182484,WASH6P,ENSG00000292372,WASH6P,1437,2
ENSG00000197417,SHPK,ENSG00000197417,SHPK,1437,2
ENSG00000197417,SHPK,ENSG00000262304,ENSG00000262304,1437,2
ENSG00000229571,PRAMEF25/26,ENSG00000229571,PRAMEF25,1437,2
ENSG00000229571,PRAMEF25/26,ENSG00000280267,PRAMEF26,1437,2
ENSG00000285620,FAM90A16/17,ENSG00000285620,FAM90A16,1395,2
ENSG00000285620,FAM90A16/17,ENSG00000285720,FAM90A17,1395,2
ENSG00000285657,FAM90A18/19,ENSG00000285657,FAM90A19,1395,2
ENSG00000285657,FAM90A18/19,ENSG00000285913,FAM90A18,1395,2
ENSG00000223417,TRIM49D1/2,ENSG00000223417,TRIM49D1,1359,2
ENSG00000223417,TRIM49D1/2,ENSG00000233802,TRIM49D2,1359,2
ENSG00000006652,IFRD1,ENSG00000006652,IFRD1,1356,2
ENSG00000006652,IFRD1,ENSG00000288640,ENSG00000288640,1356,2
ENSG00000137804,NUSAP1,ENSG00000137804,NUSAP1,1326,2
ENSG00000137804,NUSAP1,ENSG00000285920,ENSG00000285920,1326,2
ENSG00000188603,CLN3,ENSG00000188603,CLN3,1317,2
ENSG00000188603,CLN3,ENSG00000261832,ENSG00000261832,1317,2
ENSG00000198223,CSF2RA,ENSG00000198223,CSF2RA,1305,2
ENSG00000198223,CSF2RA,ENSG00000292357,CSF2RA,1305,2
ENSG00000213923,CSNK1E/TPTEP2-CSNK1E,ENSG00000213923,CSNK1E,1251,2
ENSG00000213923,CSNK1E/TPTEP2-CSNK1E,ENSG00000283900,TPTEP2-CSNK1E,1251,2
ENSG00000169953,HSFY1/2,ENSG00000169953,HSFY2,1206,2
ENSG00000169953,HSFY1/2,ENSG00000172468,HSFY1,1206,2
ENSG00000144026,ZNF514,ENSG00000144026,ZNF514,1203,2
ENSG00000144026,ZNF514,ENSG00000289685,ENSG00000289685,1203,2
ENSG00000256671,LIMS3/4,ENSG00000256671,LIMS4,1197,2
ENSG00000256671,LIMS3/4,ENSG00000256977,LIMS3,1197,2
ENSG00000243811,APOBEC3D,ENSG00000243811,APOBEC3D,1161,2
ENSG00000243811,APOBEC3D,ENSG00000284554,ENSG00000284554,1161,2
ENSG00000206549,PRSS50,ENSG00000206549,ENSG00000206549,1158,2
ENSG00000206549,PRSS50,ENSG00000283706,PRSS50,1158,2
ENSG00000124593,PRICKLE4,ENSG00000124593,ENSG00000124593,1155,2
ENSG00000124593,PRICKLE4,ENSG00000278224,PRICKLE4,1155,2
ENSG00000184702,SEPTIN5,ENSG00000184702,SEPTIN5,1137,2
ENSG00000184702,SEPTIN5,ENSG00000284874,ENSG00000284874,1137,2
ENSG00000185291,IL3RA,ENSG00000185291,IL3RA,1137,2
ENSG00000185291,IL3RA,ENSG00000292332,IL3RA,1137,2
ENSG00000196433,ASMT,ENSG00000196433,ASMT,1122,2
ENSG00000196433,ASMT,ENSG00000292336,ASMT,1122,2
ENSG00000205755,CRLF2,ENSG00000205755,CRLF2,1116,2
ENSG00000205755,CRLF2,ENSG00000292363,CRLF2,1116,2
ENSG00000277150,F8A1/2/3,ENSG00000277150,F8A3,1116,3
ENSG00000277150,F8A1/2/3,ENSG00000288709,F8A2,1116,3
ENSG00000277150,F8A1/2/3,ENSG00000288722,F8A1,1116,3
ENSG00000183889,NPIPA6/9,ENSG00000183889,NPIPA6,1110,2
ENSG00000183889,NPIPA6/9,ENSG00000233024,NPIPA9,1110,2
ENSG00000214940,NPIPA7/8,ENSG00000214940,NPIPA8,1110,2
ENSG00000214940,NPIPA7/8,ENSG00000214967,NPIPA7,1110,2
ENSG00000166160,OPN1MW2/3,ENSG00000166160,OPN1MW2,1095,2
ENSG00000166160,OPN1MW2/3,ENSG00000269433,OPN1MW3,1095,2
ENSG00000182162,P2RY8,ENSG00000182162,P2RY8,1080,2
ENSG00000182162,P2RY8,ENSG00000292333,P2RY8,1080,2
ENSG00000136485,DCAF7,ENSG00000136485,DCAF7,1029,2
ENSG00000136485,DCAF7,ENSG00000288894,ENSG00000288894,1029,2
ENSG00000169084,DHRSX,ENSG00000169084,DHRSX,993,2
ENSG00000169084,DHRSX,ENSG00000292338,DHRSX,993,2
ENSG00000182378,PLCXD1,ENSG00000182378,PLCXD1,972,2
ENSG00000182378,PLCXD1,ENSG00000292344,PLCXD1,972,2
ENSG00000183706,OR4M2-OT1/N4,ENSG00000183706,OR4N4,951,2
ENSG00000183706,OR4M2-OT1/N4,ENSG00000285472,OR4M2-OT1,951,2
ENSG00000279408,LINC02203/OR4N4C,ENSG00000279408,OR4N4C,951,2
ENSG00000279408,LINC02203/OR4N4C,ENSG00000280709,LINC02203,951,2
ENSG00000123584,MAGEA9/MAGEA9B,ENSG00000123584,MAGEA9,948,2
ENSG00000123584,MAGEA9/MAGEA9B,ENSG00000267978,MAGEA9B,948,2
ENSG00000183305,MAGEA2/MAGEA2B,ENSG00000183305,MAGEA2B,945,2
ENSG00000183305,MAGEA2/MAGEA2B,ENSG00000268606,MAGEA2,945,2
ENSG00000213648,SULT1A3/4,ENSG00000213648,SULT1A4,906,2
ENSG00000213648,SULT1A3/4,ENSG00000261052,SULT1A3,906,2
ENSG00000169100,SLC25A6,ENSG00000169100,SLC25A6,897,2
ENSG00000169100,SLC25A6,ENSG00000292334,SLC25A6,897,2
ENSG00000213424,KRT222,ENSG00000213424,KRT222,888,2
ENSG00000213424,KRT222,ENSG00000264058,ENSG00000264058,888,2
ENSG00000172062,SMN1/2,ENSG00000172062,SMN1,885,2
ENSG00000172062,SMN1/2,ENSG00000205571,SMN2,885,2
ENSG00000185960,SHOX,ENSG00000185960,SHOX,879,2
ENSG00000185960,SHOX,ENSG00000292354,SHOX,879,2
ENSG00000224089,CT47A2/3/4/5/7/8/9/10/11/12,ENSG00000224089,CT47A10,867,10
