member_ensembl_gene_id,canonical_ensembl_gene_id,canonical_symbol,group_size
ENSG00000006074,ENSG00000006074,CCL18,2
ENSG00000278167,ENSG00000006074,CCL18,2
ENSG00000006075,ENSG00000006075,CCL3,2
ENSG00000274221,ENSG00000006075,CCL3,2
ENSG00000007129,ENSG00000007129,CEACAM21,2
ENSG00000278565,ENSG00000007129,CEACAM21,2
ENSG00000017373,ENSG00000017373,SRCIN1,2
ENSG00000273608,ENSG00000017373,SRCIN1,2
ENSG00000022556,ENSG00000022556,NLRP2,2
ENSG00000273992,ENSG00000022556,NLRP2,2
ENSG00000023191,ENSG00000023191,RNH1,2
ENSG00000276230,ENSG00000023191,RNH1,2
ENSG00000042304,ENSG00000042304,SLC19A4P,2
ENSG00000250599,ENSG00000042304,SLC19A4P,2
ENSG00000056661,ENSG00000056661,PCGF2,3
ENSG00000277258,ENSG00000056661,PCGF2,3
ENSG00000278644,ENSG00000056661,PCGF2,3
ENSG00000085978,ENSG00000085978,ATG16L1,2
ENSG00000281089,ENSG00000085978,ATG16L1,2
ENSG00000088053,ENSG00000088053,GP6,10
ENSG00000274050,ENSG00000088053,GP6,10
ENSG00000274566,ENSG00000088053,GP6,10
ENSG00000275633,ENSG00000088053,GP6,10
ENSG00000275931,ENSG00000088053,GP6,10
ENSG00000276065,ENSG00000088053,GP6,10
ENSG00000276211,ENSG00000088053,GP6,10
ENSG00000277439,ENSG00000088053,GP6,10
ENSG00000278316,ENSG00000088053,GP6,10
ENSG00000278670,ENSG00000088053,GP6,10
ENSG00000089486,ENSG00000089486,CDIP1,2
ENSG00000274336,ENSG00000089486,CDIP1,2
ENSG00000096155,ENSG00000096155,BAG6,3
ENSG00000229524,ENSG00000096155,BAG6,3
ENSG00000233348,ENSG00000096155,BAG6,3
ENSG00000096171,ENSG00000096171,VARS,2
ENSG00000226589,ENSG00000096171,VARS,2
ENSG00000099953,ENSG00000099953,MMP11,2
ENSG00000275365,ENSG00000099953,MMP11,2
ENSG00000099958,ENSG00000099958,DERL3,2
ENSG00000274437,ENSG00000099958,DERL3,2
ENSG00000100362,ENSG00000100362,PVALB,2
ENSG00000274665,ENSG00000100362,PVALB,2
ENSG00000103423,ENSG00000103423,DNAJA3,2
ENSG00000276726,ENSG00000103423,DNAJA3,2
ENSG00000103426,ENSG00000103426,CORO7-PAM16,2
ENSG00000278760,ENSG00000103426,CORO7-PAM16,2
ENSG00000103472,ENSG00000103472,RRN3P2,2
ENSG00000198106,ENSG00000103472,RRN3P2,2
ENSG00000104518,ENSG00000104518,GSDMD,2
ENSG00000278718,ENSG00000104518,GSDMD,2
ENSG00000104529,ENSG00000104529,EEF1D,2
ENSG00000273594,ENSG00000104529,EEF1D,2
ENSG00000105202,ENSG00000105202,FBL,2
ENSG00000280548,ENSG00000105202,FBL,2
ENSG00000105204,ENSG00000105204,DYRK1B,2
ENSG00000281320,ENSG00000105204,DYRK1B,2
ENSG00000105618,ENSG00000105618,PRPF31,10
ENSG00000274144,ENSG00000105618,PRPF31,10
ENSG00000274651,ENSG00000105618,PRPF31,10
ENSG00000274894,ENSG00000105618,PRPF31,10
ENSG00000275117,ENSG00000105618,PRPF31,10
ENSG00000275885,ENSG00000105618,PRPF31,10
ENSG00000276421,ENSG00000105618,PRPF31,10
ENSG00000277154,ENSG00000105618,PRPF31,10
ENSG00000277707,ENSG00000105618,PRPF31,10
ENSG00000277953,ENSG00000105618,PRPF31,10
ENSG00000105889,ENSG00000105889,STEAP1B,2
ENSG00000238033,ENSG00000105889,STEAP1B,2
ENSG00000106028,ENSG00000106028,SSBP1,2
ENSG00000262771,ENSG00000106028,SSBP1,2
ENSG00000108264,ENSG00000108264,TADA2A,2
ENSG00000277104,ENSG00000108264,TADA2A,2
ENSG00000108270,ENSG00000108270,AATF,2
ENSG00000276072,ENSG00000108270,AATF,2
ENSG00000108272,ENSG00000108272,DHRS11,2
ENSG00000275397,ENSG00000108272,DHRS11,2
ENSG00000108294,ENSG00000108294,PSMB3,2
ENSG00000275903,ENSG00000108294,PSMB3,2
ENSG00000108296,ENSG00000108296,CWC25,2
ENSG00000276761,ENSG00000108296,CWC25,2
ENSG00000108753,ENSG00000108753,HNF1B,2
ENSG00000276194,ENSG00000108753,HNF1B,2
ENSG00000111215,ENSG00000111215,PRR4,2
ENSG00000282269,ENSG00000111215,PRR4,2
ENSG00000111850,ENSG00000111850,SMIM8,2
ENSG00000226524,ENSG00000111850,SMIM8,2
ENSG00000111971,ENSG00000111971,LY6G5C,2
ENSG00000206404,ENSG00000111971,LY6G5C,2
ENSG00000112096,ENSG00000112096,SOD2,2
